,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,174.2222,174.2222,174.2222,1.6722,1.6722,1.6722,1.4081,1.4081,1.4081,1.7492,1.7492,1.7492,0
1,172.3333,172.3333,172.3333,5.8833,5.8833,5.8833,0.9765,0.9765,0.9765,2.2712,2.2712,2.2712,1
2,171.1111,171.1111,171.1111,-6.0389,-6.0389,-6.0389,0.7678,0.7678,0.7678,0.6754,0.6754,0.6754,2
3,163.0,163.0,163.0,-5.4,-5.4,-5.4,-0.2469,-0.2469,-0.2469,0.4002,0.4002,0.4002,3
4,162.1111,162.1111,162.1111,-10.0389,-10.0389,-10.0389,-0.8663,-0.8663,-0.8663,-0.6543,-0.6543,-0.6543,4
5,163.1111,163.1111,163.1111,-9.3389,-9.3389,-9.3389,0.1586,0.1586,0.1586,0.507,0.507,0.507,5
6,155.4444,155.4444,155.4444,-12.9056,-12.9056,-12.9056,-2.3392,-2.3392,-2.3392,-1.974,-1.974,-1.974,6
7,154.8889,154.8889,154.8889,-14.8111,-14.8111,-14.8111,-1.7348,-1.7348,-1.7348,-1.1435,-1.1435,-1.1435,7
8,160.3333,160.3333,160.3333,-10.8167,-10.8167,-10.8167,-1.166,-1.166,-1.166,-0.4715,-0.4715,-0.4715,8
9,147.2222,147.2222,147.2222,-19.5778,-19.5778,-19.5778,-3.1956,-3.1956,-3.1956,-1.9743,-1.9743,-1.9743,9
10,153.8889,153.8889,153.8889,-13.7111,-13.7111,-13.7111,-2.2931,-2.2931,-2.2931,-1.312,-1.312,-1.312,10
11,166.2222,166.2222,166.2222,-5.1278,-5.1278,-5.1278,0.2063,0.2063,0.2063,0.8489,0.8489,0.8489,11
12,171.7778,171.7778,171.7778,0.1278,0.1278,0.1278,0.7365,0.7365,0.7365,1.0513,1.0513,1.0513,12
13,161.4444,161.4444,161.4444,-8.4056,-8.4056,-8.4056,-1.2572,-1.2572,-1.2572,-0.5684,-0.5684,-0.5684,13
14,162.3333,162.3333,162.3333,-7.2167,-7.2167,-7.2167,-0.4724,-0.4724,-0.4724,0.3151,0.3151,0.3151,14
15,156.6667,156.6667,156.6667,-9.0833,-9.0833,-9.0833,-1.5978,-1.5978,-1.5978,-0.9496,-0.9496,-0.9496,15
16,155.3333,155.3333,155.3333,-10.1667,-10.1667,-10.1667,-1.7052,-1.7052,-1.7052,-0.3648,-0.3648,-0.3648,16
17,158.3333,158.3333,158.3333,-14.9167,-14.9167,-14.9167,-1.5113,-1.5113,-1.5113,-1.1051,-1.1051,-1.1051,17
18,165.4444,165.4444,165.4444,-6.9056,-6.9056,-6.9056,-0.3687,-0.3687,-0.3687,-0.133,-0.133,-0.133,18
19,156.0,156.0,156.0,-15.0,-15.0,-15.0,-1.8456,-1.8456,-1.8456,-1.4329,-1.4329,-1.4329,19
20,159.7778,159.7778,159.7778,-8.8722,-8.8722,-8.8722,-1.2056,-1.2056,-1.2056,-0.505,-0.505,-0.505,20
21,164.5556,164.5556,164.5556,0.0556,0.0556,0.0556,0.2418,0.2418,0.2418,1.5561,1.5561,1.5561,21
22,160.3333,160.3333,160.3333,-5.0167,-5.0167,-5.0167,-0.2957,-0.2957,-0.2957,1.108,1.108,1.108,22
23,159.3333,159.3333,159.3333,-6.2167,-6.2167,-6.2167,-0.2721,-0.2721,-0.2721,0.7551,0.7551,0.7551,23
24,157.4444,157.4444,157.4444,-6.7556,-6.7556,-6.7556,-0.9877,-0.9877,-0.9877,0.2917,0.2917,0.2917,24
25,159.3333,159.3333,159.3333,-8.2667,-8.2667,-8.2667,-0.1419,-0.1419,-0.1419,0.3504,0.3504,0.3504,25
26,162.5556,162.5556,162.5556,-9.3944,-9.3944,-9.3944,-0.166,-0.166,-0.166,0.1314,0.1314,0.1314,26
27,168.4444,168.4444,168.4444,3.6444,3.6444,3.6444,1.0281,1.0281,1.0281,2.5013,2.5013,2.5013,27
28,167.3333,167.3333,167.3333,-1.1667,-1.1667,-1.1667,0.6721,0.6721,0.6721,0.9855,0.9855,0.9855,28
29,156.5556,156.5556,156.5556,-10.9944,-10.9944,-10.9944,-1.1833,-1.1833,-1.1833,-0.8207,-0.8207,-0.8207,29
30,149.8889,149.8889,149.8889,-15.1611,-15.1611,-15.1611,-1.9443,-1.9443,-1.9443,-1.3124,-1.3124,-1.3124,30
31,155.3333,155.3333,155.3333,-7.6167,-7.6167,-7.6167,-1.5871,-1.5871,-1.5871,-0.6755,-0.6755,-0.6755,31
32,161.5556,161.5556,161.5556,-2.3944,-2.3944,-2.3944,-0.1697,-0.1697,-0.1697,0.559,0.559,0.559,32
33,170.3333,170.3333,170.3333,0.6333,0.6333,0.6333,1.2044,1.2044,1.2044,1.5678,1.5678,1.5678,33
34,157.1111,157.1111,157.1111,-4.6389,-4.6389,-4.6389,-0.2669,-0.2669,-0.2669,0.6844,0.6844,0.6844,34
35,159.3333,159.3333,159.3333,-5.9667,-5.9667,-5.9667,-0.4266,-0.4266,-0.4266,-0.126,-0.126,-0.126,35
36,150.0,150.0,150.0,-13.05,-13.05,-13.05,-2.0408,-2.0408,-2.0408,-0.8578,-0.8578,-0.8578,36
37,155.7778,155.7778,155.7778,-5.5722,-5.5722,-5.5722,-1.024,-1.024,-1.024,0.2533,0.2533,0.2533,37
38,153.5556,153.5556,153.5556,-10.2944,-10.2944,-10.2944,-1.5014,-1.5014,-1.5014,-0.5668,-0.5668,-0.5668,38
39,157.3333,157.3333,157.3333,-3.4167,-3.4167,-3.4167,-0.3895,-0.3895,-0.3895,0.9803,0.9803,0.9803,39
40,147.8889,147.8889,147.8889,-12.0611,-12.0611,-12.0611,-1.7415,-1.7415,-1.7415,-0.5579,-0.5579,-0.5579,40
41,156.1111,156.1111,156.1111,-7.8889,-7.8889,-7.8889,-0.5509,-0.5509,-0.5509,-0.164,-0.164,-0.164,41
42,151.7778,151.7778,151.7778,-10.2722,-10.2722,-10.2722,-0.9984,-0.9984,-0.9984,-0.1834,-0.1834,-0.1834,42
43,149.8889,149.8889,149.8889,-15.6611,-15.6611,-15.6611,-2.4415,-2.4415,-2.4415,-2.1662,-2.1662,-2.1662,43
44,158.0,158.0,158.0,-6.4,-6.4,-6.4,-0.3482,-0.3482,-0.3482,0.4033,0.4033,0.4033,44
45,158.0,158.0,158.0,-5.3,-5.3,-5.3,-0.7629,-0.7629,-0.7629,-0.0021,-0.0021,-0.0021,45
46,156.8889,156.8889,156.8889,-3.2111,-3.2111,-3.2111,-0.084,-0.084,-0.084,1.5184,1.5184,1.5184,46
47,158.2222,158.2222,158.2222,-10.4778,-10.4778,-10.4778,-0.7261,-0.7261,-0.7261,-0.0708,-0.0708,-0.0708,47
48,157.0,157.0,157.0,-3.5,-3.5,-3.5,-0.3272,-0.3272,-0.3272,0.5882,0.5882,0.5882,48
49,155.7778,155.7778,155.7778,-2.9222,-2.9222,-2.9222,-1.1757,-1.1757,-1.1757,0.0895,0.0895,0.0895,49
50,162.4444,162.4444,162.4444,2.8944,2.8944,2.8944,-0.139,-0.139,-0.139,0.6312,0.6312,0.6312,50
51,156.8889,156.8889,156.8889,-1.8611,-1.8611,-1.8611,-0.4539,-0.4539,-0.4539,1.1361,1.1361,1.1361,51
52,164.0,164.0,164.0,2.25,2.25,2.25,0.9591,0.9591,0.9591,2.2666,2.2666,2.2666,52
53,158.6667,158.6667,158.6667,-0.5833,-0.5833,-0.5833,0.0239,0.0239,0.0239,1.512,1.512,1.512,53
54,170.2222,170.2222,170.2222,8.7222,8.7222,8.7222,1.7651,1.7651,1.7651,2.6988,2.6988,2.6988,54
55,156.8889,156.8889,156.8889,-10.6111,-10.6111,-10.6111,-0.8983,-0.8983,-0.8983,-0.4956,-0.4956,-0.4956,55
56,164.5556,164.5556,164.5556,-0.2944,-0.2944,-0.2944,0.7033,0.7033,0.7033,1.4264,1.4264,1.4264,56
57,159.6667,159.6667,159.6667,0.4167,0.4167,0.4167,0.0848,0.0848,0.0848,1.4112,1.4112,1.4112,57
58,163.8889,163.8889,163.8889,4.1889,4.1889,4.1889,0.4906,0.4906,0.4906,1.7901,1.7901,1.7901,58
59,162.2222,162.2222,162.2222,2.6722,2.6722,2.6722,0.2286,0.2286,0.2286,1.8356,1.8356,1.8356,59
60,166.6667,166.6667,166.6667,2.6667,2.6667,2.6667,1.6862,1.6862,1.6862,2.8173,2.8173,2.8173,60
61,146.2222,146.2222,146.2222,-16.1778,-16.1778,-16.1778,-3.1925,-3.1925,-3.1925,-1.893,-1.893,-1.893,61
62,161.0,161.0,161.0,-5.45,-5.45,-5.45,0.0731,0.0731,0.0731,0.6721,0.6721,0.6721,62
63,157.5556,157.5556,157.5556,-2.8944,-2.8944,-2.8944,-0.8631,-0.8631,-0.8631,-0.1187,-0.1187,-0.1187,63
64,163.8889,163.8889,163.8889,0.4389,0.4389,0.4389,0.8127,0.8127,0.8127,1.8079,1.8079,1.8079,64
65,160.1111,160.1111,160.1111,0.5611,0.5611,0.5611,-0.1513,-0.1513,-0.1513,1.4779,1.4779,1.4779,65
66,162.3333,162.3333,162.3333,2.0833,2.0833,2.0833,0.2049,0.2049,0.2049,1.4168,1.4168,1.4168,66
67,160.2222,160.2222,160.2222,-8.1778,-8.1778,-8.1778,-0.3688,-0.3688,-0.3688,0.0981,0.0981,0.0981,67
68,162.4444,162.4444,162.4444,-5.0556,-5.0556,-5.0556,-0.2155,-0.2155,-0.2155,0.5096,0.5096,0.5096,68
69,151.6667,151.6667,151.6667,-3.6833,-3.6833,-3.6833,-1.298,-1.298,-1.298,-0.2851,-0.2851,-0.2851,69
70,154.5556,154.5556,154.5556,-2.5944,-2.5944,-2.5944,-1.5036,-1.5036,-1.5036,-0.4956,-0.4956,-0.4956,70
71,149.7778,149.7778,149.7778,-6.8722,-6.8722,-6.8722,-2.1699,-2.1699,-2.1699,-0.1032,-0.1032,-0.1032,71
72,158.7778,158.7778,158.7778,-5.2222,-5.2222,-5.2222,-0.2716,-0.2716,-0.2716,0.7827,0.7827,0.7827,72
73,156.5556,156.5556,156.5556,-8.9444,-8.9444,-8.9444,-0.3498,-0.3498,-0.3498,-0.0994,-0.0994,-0.0994,73
74,157.4444,157.4444,157.4444,-5.0556,-5.0556,-5.0556,-0.8829,-0.8829,-0.8829,0.1542,0.1542,0.1542,74
75,151.3333,151.3333,151.3333,-8.5167,-8.5167,-8.5167,-1.8689,-1.8689,-1.8689,-0.9669,-0.9669,-0.9669,75
76,155.3333,155.3333,155.3333,-6.0667,-6.0667,-6.0667,-0.2696,-0.2696,-0.2696,0.5007,0.5007,0.5007,76
77,154.3333,154.3333,154.3333,-6.0167,-6.0167,-6.0167,-1.0796,-1.0796,-1.0796,0.1972,0.1972,0.1972,77
78,150.1111,150.1111,150.1111,-10.4889,-10.4889,-10.4889,-1.1894,-1.1894,-1.1894,-0.2495,-0.2495,-0.2495,78
79,145.8889,145.8889,145.8889,-11.6611,-11.6611,-11.6611,-2.4171,-2.4171,-2.4171,-0.8116,-0.8116,-0.8116,79
80,155.1111,155.1111,155.1111,-3.0389,-3.0389,-3.0389,-0.0259,-0.0259,-0.0259,1.2128,1.2128,1.2128,80
81,151.1111,151.1111,151.1111,-7.7889,-7.7889,-7.7889,-1.3405,-1.3405,-1.3405,-0.2278,-0.2278,-0.2278,81
82,153.2222,153.2222,153.2222,-11.4778,-11.4778,-11.4778,-1.4948,-1.4948,-1.4948,-0.8459,-0.8459,-0.8459,82
83,150.7778,150.7778,150.7778,-7.3222,-7.3222,-7.3222,-1.0031,-1.0031,-1.0031,0.2887,0.2887,0.2887,83
84,155.8889,155.8889,155.8889,-3.4111,-3.4111,-3.4111,-0.5461,-0.5461,-0.5461,0.6844,0.6844,0.6844,84
85,144.2222,144.2222,144.2222,-10.9278,-10.9278,-10.9278,-2.1256,-2.1256,-2.1256,-0.8859,-0.8859,-0.8859,85
86,154.3333,154.3333,154.3333,-9.1167,-9.1167,-9.1167,-0.829,-0.829,-0.829,-0.2422,-0.2422,-0.2422,86
87,154.5556,154.5556,154.5556,-5.7444,-5.7444,-5.7444,-0.8943,-0.8943,-0.8943,0.4465,0.4465,0.4465,87
88,159.8889,159.8889,159.8889,-2.1111,-2.1111,-2.1111,0.428,0.428,0.428,1.1226,1.1226,1.1226,88
89,160.5556,160.5556,160.5556,1.6056,1.6056,1.6056,0.6855,0.6855,0.6855,1.9326,1.9326,1.9326,89
90,166.2222,166.2222,166.2222,4.8222,4.8222,4.8222,0.8631,0.8631,0.8631,1.8932,1.8932,1.8932,90
91,158.3333,158.3333,158.3333,-3.0167,-3.0167,-3.0167,0.3433,0.3433,0.3433,1.9106,1.9106,1.9106,91
92,164.5556,164.5556,164.5556,10.8056,10.8056,10.8056,1.1965,1.1965,1.1965,2.8111,2.8111,2.8111,92
