Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,334.0770,800.1817,1.6833,155.333
1,334.0770,800.1817,7.8444,157.444
2,334.0770,800.1817,3.0667,148.667
3,334.0770,800.1817,-1.3278,149.222
4,334.0770,800.1817,0.8444,147.444
5,334.0770,800.1817,5.0667,151.667
6,334.0770,800.1817,1.5333,152.333
7,334.0770,800.1817,-0.3167,151.333
8,334.0770,800.1817,-2.1667,146.333
9,334.0770,800.1817,-1.3722,149.778
10,334.0770,800.1817,3.0000,152.000
11,334.0770,800.1817,2.3833,154.333
12,334.0770,800.1817,-5.8944,144.556
13,334.0770,800.1817,7.1556,150.556
14,334.0770,800.1817,10.4000,153.000
15,334.0770,800.1817,-1.2833,146.667
16,334.0770,800.1817,-0.7889,148.111
17,334.0770,800.1817,9.4333,149.333
18,334.0770,800.1817,-1.6944,143.556
19,334.0770,800.1817,5.6389,153.889
20,334.0770,800.1817,6.6778,150.778
21,334.0770,800.1817,17.3111,159.111
22,334.0770,800.1817,1.9222,146.222
23,334.0770,800.1817,-0.9833,145.667
24,334.0770,800.1817,7.3056,151.556
25,334.0770,800.1817,7.8167,147.667
26,334.0770,800.1817,5.1111,149.111
27,334.0770,800.1817,10.1722,153.222
28,334.0770,800.1817,13.5722,152.222
29,334.0770,800.1817,2.2778,147.778
30,334.0770,800.1817,2.9111,143.111
31,334.0770,800.1817,6.2056,145.556
32,334.0770,800.1817,3.6944,148.444
33,334.0770,800.1817,7.0611,151.111
34,334.0770,800.1817,9.1611,153.111
35,334.0770,800.1817,7.6333,148.333
36,334.0770,800.1817,2.5167,147.667
37,334.0770,800.1817,0.6056,146.556
38,334.0770,800.1817,0.4000,141.000
39,334.0770,800.1817,8.2889,149.889
40,334.0770,800.1817,4.8389,145.889
41,334.0770,800.1817,6.2111,148.111
42,334.0770,800.1817,2.9000,146.000
43,334.0770,800.1817,-2.0500,143.000
44,334.0770,800.1817,9.5944,151.444
45,334.0770,800.1817,4.4722,143.222
46,334.0770,800.1817,0.3722,143.222
47,334.0770,800.1817,3.4167,143.667
48,334.0770,800.1817,-4.3333,135.667
49,334.0770,800.1817,9.1333,153.333
50,334.0770,800.1817,3.5000,139.000
51,334.0770,800.1817,6.4722,149.222
52,334.0770,800.1817,5.9056,146.556
53,334.0770,800.1817,0.6111,141.111
54,334.0770,800.1817,0.2667,136.667
55,334.0770,800.1817,3.8556,144.556
56,334.0770,800.1817,4.9778,143.778
57,334.0770,800.1817,7.3611,143.111
58,334.0770,800.1817,1.8667,143.667
59,334.0770,800.1817,6.3000,145.000
60,334.0770,800.1817,0.9056,138.556
61,334.0770,800.1817,1.8167,142.667
62,334.0770,800.1817,-0.1611,139.889
63,334.0770,800.1817,-0.3833,139.667
64,334.0770,800.1817,-1.9444,142.556
65,334.0770,800.1817,-3.0722,137.778
66,334.0770,800.1817,-7.0833,135.667
67,334.0770,800.1817,0.2278,144.778
68,334.0770,800.1817,1.0167,139.667
69,334.0770,800.1817,3.4000,142.000
70,334.0770,800.1817,3.8833,143.333
71,334.0770,800.1817,4.7500,139.000
72,334.0770,800.1817,9.2722,146.222
73,334.0770,800.1817,-2.4500,140.000
74,334.0770,800.1817,1.7278,141.778
75,334.0770,800.1817,5.5667,143.667
76,334.0770,800.1817,4.0778,143.778
77,334.0770,800.1817,-0.3833,138.667
78,334.0770,800.1817,8.6111,149.111
79,334.0770,800.1817,6.2000,144.000
80,334.0770,800.1817,10.8833,149.333
81,334.0770,800.1817,2.1667,146.667
82,334.0770,800.1817,6.8611,147.111
83,334.0770,800.1817,5.1722,141.222
84,334.0770,800.1817,2.5222,137.222
85,334.0770,800.1817,4.5333,142.333
86,334.0770,800.1817,5.5389,142.889
87,334.0770,800.1817,1.7500,142.000
88,334.0770,800.1817,4.3889,141.889
89,334.0770,800.1817,3.3000,142.000
90,334.0770,800.1817,-0.5889,144.111
91,334.0770,800.1817,6.1722,147.222
92,334.0770,800.1817,2.8556,141.556
93,334.0770,800.1817,4.8611,141.111
94,334.0770,800.1817,8.8778,144.778
95,334.0770,800.1817,12.2500,150.000
96,334.0770,800.1817,0.4000,142.000
97,334.0770,800.1817,5.0333,142.333
98,334.0770,800.1817,5.5944,142.444
99,334.0770,800.1817,7.8389,144.889
100,334.0770,800.1817,5.2000,144.000
101,334.0770,800.1817,19.6444,160.444
102,334.0770,800.1817,13.9667,152.667
103,334.0770,800.1817,16.6389,154.889
104,334.0770,800.1817,0.8444,145.444
105,334.0770,800.1817,7.4889,146.889
106,334.0770,800.1817,2.7111,143.111
107,334.0770,800.1817,4.0778,144.778
108,334.0770,800.1817,10.1889,151.889
109,334.0770,800.1817,8.7056,148.556
110,334.0770,800.1817,2.8333,143.333
111,334.0770,800.1817,-0.3944,143.556
112,334.0770,800.1817,9.1278,149.778
113,334.0770,800.1817,5.0278,145.778
114,334.0770,800.1817,5.5611,147.111
115,334.0770,800.1817,16.3833,158.333
116,334.0770,800.1817,12.3889,150.889
117,334.0770,800.1817,10.6167,147.667
