Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,198.5529,725.2635,2.3056,165.556
1,198.5529,725.2635,7.2389,164.889
2,198.5529,725.2635,5.4500,163.000
3,198.5529,725.2635,4.8444,157.444
4,198.5529,725.2635,1.4333,153.333
5,198.5529,725.2635,-0.1000,151.000
6,198.5529,725.2635,-2.4667,144.333
7,198.5529,725.2635,-1.1556,151.444
8,198.5529,725.2635,9.1889,154.889
9,198.5529,725.2635,-6.1278,142.222
10,198.5529,725.2635,8.6278,154.778
11,198.5529,725.2635,-0.2722,147.778
12,198.5529,725.2635,10.2556,157.556
13,198.5529,725.2635,-5.7278,144.222
14,198.5529,725.2635,-3.6111,141.889
15,198.5529,725.2635,-5.3667,145.333
16,198.5529,725.2635,-0.1389,146.111
17,198.5529,725.2635,4.6000,149.000
18,198.5529,725.2635,1.7444,150.444
19,198.5529,725.2635,3.0667,147.667
20,198.5529,725.2635,2.9722,154.222
21,198.5529,725.2635,5.8833,152.333
22,198.5529,725.2635,3.0056,151.556
23,198.5529,725.2635,0.8278,146.778
24,198.5529,725.2635,6.7889,152.889
25,198.5529,725.2635,-0.0778,150.222
26,198.5529,725.2635,0.1500,146.000
27,198.5529,725.2635,7.1278,150.778
28,198.5529,725.2635,10.6278,154.778
29,198.5529,725.2635,-0.7778,148.222
30,198.5529,725.2635,-7.2167,143.333
31,198.5529,725.2635,-0.5611,144.889
32,198.5529,725.2635,-0.6611,147.889
33,198.5529,725.2635,0.7833,143.333
34,198.5529,725.2635,11.8333,149.333
35,198.5529,725.2635,1.5500,148.000
36,198.5529,725.2635,-3.6556,140.444
37,198.5529,725.2635,3.2778,145.778
38,198.5529,725.2635,4.5944,149.444
39,198.5529,725.2635,12.9889,151.889
40,198.5529,725.2635,-0.6889,146.111
41,198.5529,725.2635,0.0833,142.333
42,198.5529,725.2635,5.2056,146.556
43,198.5529,725.2635,1.3333,139.333
44,198.5529,725.2635,2.6167,140.667
45,198.5529,725.2635,13.9000,152.000
46,198.5529,725.2635,2.6889,144.889
47,198.5529,725.2635,8.9944,149.444
48,198.5529,725.2635,4.7000,147.000
49,198.5529,725.2635,1.0167,144.667
50,198.5529,725.2635,8.6944,145.444
51,198.5529,725.2635,-1.8944,141.556
52,198.5529,725.2635,2.8944,143.444
53,198.5529,725.2635,2.0389,142.889
54,198.5529,725.2635,2.6056,145.556
55,198.5529,725.2635,11.9778,148.778
56,198.5529,725.2635,-1.0278,142.222
57,198.5529,725.2635,-0.2222,138.778
58,198.5529,725.2635,4.6333,146.333
59,198.5529,725.2635,7.8444,146.444
60,198.5529,725.2635,-4.2722,136.778
61,198.5529,725.2635,-1.8611,140.889
62,198.5529,725.2635,4.0000,146.000
63,198.5529,725.2635,-0.7000,142.000
64,198.5529,725.2635,6.9722,145.222
65,198.5529,725.2635,4.8278,144.778
66,198.5529,725.2635,1.2778,141.778
67,198.5529,725.2635,-2.2056,144.444
68,198.5529,725.2635,11.6833,149.333
69,198.5529,725.2635,2.3944,142.444
70,198.5529,725.2635,2.8722,145.222
71,198.5529,725.2635,-0.5111,141.889
72,198.5529,725.2635,3.4833,144.333
73,198.5529,725.2635,-5.1611,138.889
74,198.5529,725.2635,4.7278,143.778
75,198.5529,725.2635,6.8611,145.111
76,198.5529,725.2635,0.5167,139.667
77,198.5529,725.2635,-4.6833,138.667
78,198.5529,725.2635,4.8278,141.778
79,198.5529,725.2635,-1.0778,140.222
80,198.5529,725.2635,4.1889,141.889
81,198.5529,725.2635,2.4556,139.556
82,198.5529,725.2635,0.1111,138.111
83,198.5529,725.2635,1.4222,141.222
84,198.5529,725.2635,9.3278,150.778
85,198.5529,725.2635,4.3722,145.222
86,198.5529,725.2635,7.9611,147.111
87,198.5529,725.2635,9.3333,147.333
88,198.5529,725.2635,5.0167,141.667
89,198.5529,725.2635,2.1444,141.444
90,198.5529,725.2635,7.3667,144.667
91,198.5529,725.2635,2.5667,142.667
92,198.5529,725.2635,3.0667,142.667
93,198.5529,725.2635,4.2167,142.667
94,198.5529,725.2635,2.3889,141.889
95,198.5529,725.2635,5.5444,144.444
96,198.5529,725.2635,-1.2222,137.778
97,198.5529,725.2635,7.6889,143.889
98,198.5529,725.2635,1.2111,145.111
99,198.5529,725.2635,3.6667,146.667
100,198.5529,725.2635,-0.9333,142.667
101,198.5529,725.2635,-4.8000,139.000
102,198.5529,725.2635,2.8722,144.222
103,198.5529,725.2635,1.0500,140.000
104,198.5529,725.2635,4.2389,141.889
105,198.5529,725.2635,0.7222,143.222
106,198.5529,725.2635,0.3444,138.444
107,198.5529,725.2635,2.8389,144.889
108,198.5529,725.2635,-1.7278,138.222
109,198.5529,725.2635,-3.9278,136.222
110,198.5529,725.2635,4.3167,145.667
111,198.5529,725.2635,2.7389,145.889
112,198.5529,725.2635,3.8500,143.000
113,198.5529,725.2635,3.6278,139.778
114,198.5529,725.2635,0.1444,139.444
115,198.5529,725.2635,0.6667,139.667
116,198.5529,725.2635,0.6056,141.556
117,198.5529,725.2635,0.0611,139.111
118,198.5529,725.2635,2.6778,144.778
119,198.5529,725.2635,6.9833,144.333
120,198.5529,725.2635,8.8778,145.778
121,198.5529,725.2635,5.3722,140.222
122,198.5529,725.2635,-4.9389,134.111
123,198.5529,725.2635,0.1000,140.000
124,198.5529,725.2635,1.0889,138.889
125,198.5529,725.2635,1.7556,137.556
126,198.5529,725.2635,3.7722,141.222
127,198.5529,725.2635,-0.9667,133.333
128,198.5529,725.2635,2.0278,140.778
129,198.5529,725.2635,5.3833,141.333
130,198.5529,725.2635,0.3611,138.111
131,198.5529,725.2635,5.6444,146.444
132,198.5529,725.2635,-0.8722,138.778
133,198.5529,725.2635,0.5944,140.444
134,198.5529,725.2635,1.5889,136.889
135,198.5529,725.2635,-3.1222,134.778
136,198.5529,725.2635,-5.6833,132.667
137,198.5529,725.2635,-2.4500,134.000
138,198.5529,725.2635,1.6889,137.889
139,198.5529,725.2635,-0.5889,137.111
140,198.5529,725.2635,4.1111,136.111
141,198.5529,725.2635,5.2778,139.778
142,198.5529,725.2635,0.4167,138.667
143,198.5529,725.2635,6.4278,142.778
144,198.5529,725.2635,-3.3278,135.222
145,198.5529,725.2635,-2.3833,131.667
146,198.5529,725.2635,-0.8444,137.556
147,198.5529,725.2635,9.3056,146.556
148,198.5529,725.2635,-0.0889,134.111
149,198.5529,725.2635,3.2833,136.333
150,198.5529,725.2635,5.5056,141.556
151,198.5529,725.2635,6.7167,139.667
152,198.5529,725.2635,3.1944,135.444
153,198.5529,725.2635,1.0056,133.556
154,198.5529,725.2635,0.4111,135.111
155,198.5529,725.2635,9.2222,139.222
156,198.5529,725.2635,3.8222,138.222
157,198.5529,725.2635,-2.2278,134.222
158,198.5529,725.2635,2.1056,134.556
159,198.5529,725.2635,1.5778,138.778
160,198.5529,725.2635,-2.7278,134.222
161,198.5529,725.2635,5.9556,138.556
162,198.5529,725.2635,0.4222,134.222
163,198.5529,725.2635,1.4833,140.333
164,198.5529,725.2635,-0.1222,137.778
165,198.5529,725.2635,0.8111,138.111
166,198.5529,725.2635,1.3056,133.556
167,198.5529,725.2635,6.9667,140.667
168,198.5529,725.2635,-2.2667,133.333
169,198.5529,725.2635,5.9389,135.889
170,198.5529,725.2635,1.1000,136.000
171,198.5529,725.2635,2.5667,139.667
172,198.5529,725.2635,8.8944,141.444
173,198.5529,725.2635,0.4167,133.667
174,198.5529,725.2635,6.4833,141.333
175,198.5529,725.2635,-2.7611,132.889
176,198.5529,725.2635,1.9611,134.111
177,198.5529,725.2635,7.6389,137.889
178,198.5529,725.2635,0.3000,135.000
179,198.5529,725.2635,7.3056,138.556
180,198.5529,725.2635,5.2667,136.667
181,198.5529,725.2635,0.6500,133.000
182,198.5529,725.2635,-0.8611,131.889
183,198.5529,725.2635,-3.7056,135.444
184,198.5529,725.2635,2.7444,138.444
185,198.5529,725.2635,0.4111,132.111
186,198.5529,725.2635,-0.6667,135.333
187,198.5529,725.2635,3.0889,132.889
188,198.5529,725.2635,8.2389,138.889
189,198.5529,725.2635,4.7111,140.111
190,198.5529,725.2635,-5.5444,128.556
191,198.5529,725.2635,-6.5611,129.889
192,198.5529,725.2635,-4.8778,134.222
193,198.5529,725.2635,-4.4722,129.778
194,198.5529,725.2635,0.6833,137.333
195,198.5529,725.2635,7.4722,137.222
196,198.5529,725.2635,-0.1944,135.556
197,198.5529,725.2635,9.2278,144.778
198,198.5529,725.2635,-7.0722,129.778
199,198.5529,725.2635,0.4222,136.222
200,198.5529,725.2635,1.7389,135.889
201,198.5529,725.2635,3.7278,141.778
202,198.5529,725.2635,-1.2556,133.444
203,198.5529,725.2635,0.7833,133.333
204,198.5529,725.2635,2.3611,139.111
205,198.5529,725.2635,3.8833,140.333
206,198.5529,725.2635,6.6722,143.222
207,198.5529,725.2635,4.2056,138.556
208,198.5529,725.2635,2.9889,135.889
209,198.5529,725.2635,0.1500,134.000
210,198.5529,725.2635,-3.0667,135.333
211,198.5529,725.2635,5.1389,140.889
212,198.5529,725.2635,3.0444,136.444
213,198.5529,725.2635,3.4222,138.222
214,198.5529,725.2635,2.1389,134.889
215,198.5529,725.2635,6.2833,139.333
216,198.5529,725.2635,-2.5722,131.778
217,198.5529,725.2635,4.3833,141.333
218,198.5529,725.2635,-0.5333,131.667
219,198.5529,725.2635,2.0111,136.111
220,198.5529,725.2635,1.3278,131.778
221,198.5529,725.2635,5.6278,139.778
222,198.5529,725.2635,8.3111,142.111
223,198.5529,725.2635,-2.0722,134.778
224,198.5529,725.2635,2.5500,135.000
225,198.5529,725.2635,8.6333,142.333
226,198.5529,725.2635,-0.2778,135.222
227,198.5529,725.2635,-0.3556,132.444
228,198.5529,725.2635,0.2500,138.000
229,198.5529,725.2635,0.3389,134.889
230,198.5529,725.2635,-2.0278,135.222
231,198.5529,725.2635,9.3889,138.889
232,198.5529,725.2635,2.5278,133.778
233,198.5529,725.2635,-1.4278,132.222
234,198.5529,725.2635,3.3667,139.667
235,198.5529,725.2635,2.9333,134.333
236,198.5529,725.2635,-0.4333,132.667
237,198.5529,725.2635,0.0889,138.889
238,198.5529,725.2635,7.4500,141.000
239,198.5529,725.2635,0.2833,137.333
240,198.5529,725.2635,1.9667,133.667
241,198.5529,725.2635,1.2611,140.111
242,198.5529,725.2635,-0.4278,132.222
243,198.5529,725.2635,5.7500,136.000
244,198.5529,725.2635,-4.2889,135.111
245,198.5529,725.2635,9.7556,143.556
246,198.5529,725.2635,2.4111,134.111
247,198.5529,725.2635,9.7833,140.333
248,198.5529,725.2635,2.2778,133.778
249,198.5529,725.2635,-2.2722,132.778
250,198.5529,725.2635,3.6333,136.333
251,198.5529,725.2635,5.2222,136.222
252,198.5529,725.2635,4.9778,140.778
253,198.5529,725.2635,2.5667,135.667
254,198.5529,725.2635,8.9722,139.222
255,198.5529,725.2635,2.1889,136.889
256,198.5529,725.2635,9.3167,138.667
257,198.5529,725.2635,7.7056,141.556
258,198.5529,725.2635,9.3889,140.889
259,198.5529,725.2635,3.8556,137.556
260,198.5529,725.2635,3.5889,138.889
261,198.5529,725.2635,-6.2389,132.111
262,198.5529,725.2635,0.8222,136.222
263,198.5529,725.2635,-1.6056,135.444
264,198.5529,725.2635,6.1389,135.889
265,198.5529,725.2635,1.4667,132.667
266,198.5529,725.2635,-5.6056,129.444
267,198.5529,725.2635,0.6389,129.889
268,198.5529,725.2635,-6.8111,132.889
269,198.5529,725.2635,1.7556,135.556
270,198.5529,725.2635,1.3111,133.111
271,198.5529,725.2635,0.8167,132.667
272,198.5529,725.2635,0.4444,132.444
273,198.5529,725.2635,1.5333,131.333
274,198.5529,725.2635,2.9944,134.444
275,198.5529,725.2635,2.8333,136.333
276,198.5529,725.2635,4.4778,138.778
277,198.5529,725.2635,4.5833,133.333
278,198.5529,725.2635,1.5611,135.111
279,198.5529,725.2635,0.0944,133.444
280,198.5529,725.2635,5.6056,136.556
281,198.5529,725.2635,0.3444,134.444
282,198.5529,725.2635,-1.0611,138.889
283,198.5529,725.2635,9.0611,142.111
284,198.5529,725.2635,0.5167,133.667
285,198.5529,725.2635,4.1722,134.222
286,198.5529,725.2635,-3.9889,129.111
287,198.5529,725.2635,-1.0333,134.667
288,198.5529,725.2635,10.7389,144.889
289,198.5529,725.2635,-2.1833,134.667
290,198.5529,725.2635,5.4722,140.222
291,198.5529,725.2635,2.0556,140.556
292,198.5529,725.2635,-6.4333,131.667
293,198.5529,725.2635,4.0111,139.111
294,198.5529,725.2635,5.4944,140.444
295,198.5529,725.2635,-0.5722,136.778
296,198.5529,725.2635,0.4111,135.111
297,198.5529,725.2635,3.3167,136.667
298,198.5529,725.2635,4.1889,137.889
299,198.5529,725.2635,6.9889,139.889
300,198.5529,725.2635,6.2000,140.000
301,198.5529,725.2635,5.3444,139.444
302,198.5529,725.2635,-1.2889,136.111
303,198.5529,725.2635,4.8833,141.333
304,198.5529,725.2635,3.1667,138.667
305,198.5529,725.2635,12.4222,144.222
306,198.5529,725.2635,2.5444,138.444
307,198.5529,725.2635,1.5278,137.778
308,198.5529,725.2635,-1.0556,131.444
309,198.5529,725.2635,-0.1778,135.222
310,198.5529,725.2635,2.9278,135.778
311,198.5529,725.2635,0.6222,136.222
312,198.5529,725.2635,4.7556,137.556
313,198.5529,725.2635,3.9111,139.111
314,198.5529,725.2635,2.4444,138.444
315,198.5529,725.2635,12.3722,141.222
