Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,332.3118,569.0194,-7.5056,147.444
1,332.3118,569.0194,-8.1889,142.111
2,332.3118,569.0194,0.3278,144.778
3,332.3118,569.0194,-3.4889,147.111
4,332.3118,569.0194,-7.2722,136.778
5,332.3118,569.0194,0.6444,148.444
6,332.3118,569.0194,3.9389,148.889
7,332.3118,569.0194,-3.3389,143.111
8,332.3118,569.0194,-3.3778,144.222
9,332.3118,569.0194,7.0722,155.222
10,332.3118,569.0194,-4.5500,143.000
11,332.3118,569.0194,-11.0389,140.111
12,332.3118,569.0194,-0.4222,147.778
13,332.3118,569.0194,-1.5444,148.556
14,332.3118,569.0194,4.1722,149.222
15,332.3118,569.0194,-0.3500,149.000
16,332.3118,569.0194,0.0056,146.556
17,332.3118,569.0194,-2.2944,145.556
18,332.3118,569.0194,2.3833,148.333
19,332.3118,569.0194,-0.6222,148.778
20,332.3118,569.0194,1.7722,146.222
21,332.3118,569.0194,-1.8444,146.556
22,332.3118,569.0194,-8.4556,140.444
23,332.3118,569.0194,-7.6778,137.222
24,332.3118,569.0194,-8.3111,138.889
25,332.3118,569.0194,-4.3833,144.667
26,332.3118,569.0194,-0.1556,143.444
27,332.3118,569.0194,-0.5889,140.111
28,332.3118,569.0194,-4.1500,140.000
29,332.3118,569.0194,3.1556,143.556
30,332.3118,569.0194,-8.7000,136.000
31,332.3118,569.0194,-1.8889,141.111
32,332.3118,569.0194,-1.2167,144.333
33,332.3118,569.0194,5.0556,155.556
34,332.3118,569.0194,2.9444,149.444
35,332.3118,569.0194,-4.8000,143.000
36,332.3118,569.0194,-3.9667,142.333
37,332.3118,569.0194,-1.6944,142.556
38,332.3118,569.0194,-5.8056,133.444
39,332.3118,569.0194,-0.8333,144.667
40,332.3118,569.0194,-4.6500,139.000
41,332.3118,569.0194,0.5222,142.222
42,332.3118,569.0194,-1.1778,144.222
43,332.3118,569.0194,1.3056,144.556
44,332.3118,569.0194,5.2444,147.444
45,332.3118,569.0194,-2.5611,136.889
46,332.3118,569.0194,-1.9722,141.778
47,332.3118,569.0194,-11.6167,136.333
48,332.3118,569.0194,0.3722,142.222
49,332.3118,569.0194,-0.5722,142.778
50,332.3118,569.0194,-2.9556,142.444
51,332.3118,569.0194,-12.7444,132.556
52,332.3118,569.0194,2.6056,147.556
53,332.3118,569.0194,-3.9222,138.778
54,332.3118,569.0194,0.9500,143.000
55,332.3118,569.0194,-5.0167,139.333
56,332.3118,569.0194,-3.9222,139.778
57,332.3118,569.0194,2.9056,143.556
58,332.3118,569.0194,-4.7778,139.222
59,332.3118,569.0194,-7.2889,139.111
60,332.3118,569.0194,2.8000,150.000
61,332.3118,569.0194,8.0833,150.333
62,332.3118,569.0194,-5.1444,145.556
63,332.3118,569.0194,-4.8944,144.556
64,332.3118,569.0194,9.1056,154.556
65,332.3118,569.0194,-4.6333,139.667
66,332.3118,569.0194,-3.3222,137.778
67,332.3118,569.0194,-1.7222,144.778
68,332.3118,569.0194,6.2667,149.667
69,332.3118,569.0194,-2.0611,148.889
70,332.3118,569.0194,0.5944,145.444
71,332.3118,569.0194,0.2167,148.667
72,332.3118,569.0194,0.8778,142.778
73,332.3118,569.0194,-3.0056,141.444
74,332.3118,569.0194,-2.2778,140.222
75,332.3118,569.0194,-1.6389,137.111
76,332.3118,569.0194,-2.4889,142.111
77,332.3118,569.0194,-1.7167,141.333
78,332.3118,569.0194,5.4667,148.667
79,332.3118,569.0194,-7.8333,136.667
80,332.3118,569.0194,9.0111,150.111
81,332.3118,569.0194,-0.7833,143.667
82,332.3118,569.0194,-2.0778,141.222
83,332.3118,569.0194,-4.6778,137.222
84,332.3118,569.0194,2.4167,146.667
85,332.3118,569.0194,-0.3944,146.556
86,332.3118,569.0194,-0.0833,147.667
87,332.3118,569.0194,-4.1833,140.667
88,332.3118,569.0194,-7.9000,142.000
89,332.3118,569.0194,-3.2500,141.000
90,332.3118,569.0194,-7.0389,139.111
91,332.3118,569.0194,-1.6833,138.667
92,332.3118,569.0194,-4.4167,140.333
93,332.3118,569.0194,-5.8333,136.667
94,332.3118,569.0194,-0.2500,142.000
95,332.3118,569.0194,-2.6111,139.889
96,332.3118,569.0194,4.6444,148.444
97,332.3118,569.0194,-3.5778,139.222
