Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,115.6048,133.1627,3.2611,159.111
1,115.6048,133.1627,-5.3833,147.667
2,115.6048,133.1627,4.6111,159.111
3,115.6048,133.1627,5.6944,156.444
4,115.6048,133.1627,1.1722,150.222
5,115.6048,133.1627,-6.1444,146.556
6,115.6048,133.1627,0.1389,149.889
7,115.6048,133.1627,5.7222,153.222
8,115.6048,133.1627,-3.3000,146.000
9,115.6048,133.1627,6.2833,150.333
10,115.6048,133.1627,-4.3556,151.444
11,115.6048,133.1627,-1.3500,151.000
12,115.6048,133.1627,3.0333,146.333
13,115.6048,133.1627,-2.6556,145.444
14,115.6048,133.1627,0.2278,146.778
15,115.6048,133.1627,-1.1944,144.556
16,115.6048,133.1627,1.0833,147.333
17,115.6048,133.1627,3.6944,148.444
18,115.6048,133.1627,-3.0611,145.889
19,115.6048,133.1627,-6.4778,143.222
20,115.6048,133.1627,2.9667,146.667
21,115.6048,133.1627,-5.4167,150.333
22,115.6048,133.1627,1.8333,149.333
23,115.6048,133.1627,4.8889,149.889
24,115.6048,133.1627,-5.3389,142.111
25,115.6048,133.1627,1.0444,151.444
26,115.6048,133.1627,8.3389,152.889
27,115.6048,133.1627,4.8778,148.778
28,115.6048,133.1627,-1.3833,146.667
29,115.6048,133.1627,-9.5444,141.556
30,115.6048,133.1627,-2.6278,144.222
31,115.6048,133.1627,7.1222,155.222
32,115.6048,133.1627,0.7111,149.111
33,115.6048,133.1627,-2.1611,140.889
34,115.6048,133.1627,-1.7667,149.333
35,115.6048,133.1627,2.0889,148.889
36,115.6048,133.1627,-1.5389,146.111
37,115.6048,133.1627,1.8833,148.333
38,115.6048,133.1627,-6.8778,144.222
39,115.6048,133.1627,2.6389,148.889
40,115.6048,133.1627,8.3722,151.222
41,115.6048,133.1627,1.3778,144.778
42,115.6048,133.1627,1.2000,142.000
43,115.6048,133.1627,-2.0111,141.889
44,115.6048,133.1627,-8.8111,135.889
45,115.6048,133.1627,3.2167,146.667
46,115.6048,133.1627,9.2444,147.444
47,115.6048,133.1627,1.0722,138.222
48,115.6048,133.1627,-1.1056,140.444
49,115.6048,133.1627,-2.2944,139.556
50,115.6048,133.1627,-3.4556,138.444
51,115.6048,133.1627,-5.1778,138.222
52,115.6048,133.1627,-5.2278,140.222
53,115.6048,133.1627,6.2778,148.778
54,115.6048,133.1627,-7.3111,138.889
55,115.6048,133.1627,-4.7556,142.444
56,115.6048,133.1627,1.7222,144.222
57,115.6048,133.1627,-5.3278,139.222
58,115.6048,133.1627,-2.3944,142.556
59,115.6048,133.1627,2.8222,148.222
60,115.6048,133.1627,2.6500,145.000
61,115.6048,133.1627,-3.6944,141.556
62,115.6048,133.1627,-5.3111,135.889
63,115.6048,133.1627,-5.3500,138.000
64,115.6048,133.1627,-5.4611,141.889
65,115.6048,133.1627,-0.7389,137.111
66,115.6048,133.1627,0.1444,140.444
67,115.6048,133.1627,0.5556,142.556
68,115.6048,133.1627,1.3167,142.667
69,115.6048,133.1627,2.9000,145.000
70,115.6048,133.1627,4.6778,146.778
71,115.6048,133.1627,-0.2056,142.444
72,115.6048,133.1627,7.9333,149.333
73,115.6048,133.1627,-1.8667,143.333
74,115.6048,133.1627,-4.6778,141.222
75,115.6048,133.1627,0.1389,141.889
76,115.6048,133.1627,-0.2444,138.556
77,115.6048,133.1627,3.8722,148.222
78,115.6048,133.1627,-1.3333,140.667
79,115.6048,133.1627,1.7333,145.333
80,115.6048,133.1627,1.9333,143.333
81,115.6048,133.1627,-0.4333,143.667
82,115.6048,133.1627,4.0222,144.222
83,115.6048,133.1627,-0.0111,141.889
84,115.6048,133.1627,-1.9833,140.667
85,115.6048,133.1627,-4.7222,135.778
86,115.6048,133.1627,-2.3222,139.778
87,115.6048,133.1627,-0.6556,139.444
88,115.6048,133.1627,-2.3556,138.444
89,115.6048,133.1627,5.1944,147.444
90,115.6048,133.1627,-3.5611,136.889
91,115.6048,133.1627,-1.5667,140.333
92,115.6048,133.1627,-5.4167,136.333
93,115.6048,133.1627,1.1500,142.000
94,115.6048,133.1627,-7.2278,132.222
