Quality,I_BG,Raw_I,Radius,Distance,Cell_ID,Nu_ID,Set_ID
21.521942138671875,61.98688524590165,336.78688524590166,3.5,47.14564544838279,0,1,1
20.35433959960937,57.933372365339615,313.0655737704918,3.5,47.14564544838279,0,2,1
40.05029296875,115.8384074941452,415.40983606557376,3.5,70.94168555100812,1,1,1
25.40658569335937,76.55281030444962,362.57377049180326,3.5,70.94168555100812,1,2,1
28.12322998046875,88.15913348946131,366.7377049180328,3.5,41.5635277399823,2,1,1
24.273101806640625,72.91498829039813,375.672131147541,3.5,41.5635277399823,2,2,1
49.61593627929688,139.14086651053867,442.2622950819672,3.5,52.221768596912554,3,1,1
39.29296875,122.24215456674474,527.327868852459,3.5,52.221768596912554,3,2,1
43.97296142578125,129.027868852459,431.327868852459,3.5,81.75692912208793,4,1,1
43.007354736328125,121.33524590163933,453.75409836065575,3.5,81.75692912208793,4,2,1
53.25634765625,159.74016393442616,529.2295081967213,3.5,75.76020356837786,5,1,1
57.98028564453125,168.86756440281033,567.8032786885246,3.5,75.76020356837786,5,2,1
46.3643798828125,137.54683840749408,540.4754098360655,3.5,52.41851299128094,6,1,1
66.21844482421875,193.69274004683845,600.7213114754098,3.5,52.41851299128094,6,2,1
42.59292602539063,128.73747072599534,433.1803278688525,3.5,67.78299747257427,7,1,1
29.393707275390625,85.64742388758782,350.8688524590164,3.5,67.78299747257427,7,2,1
44.13519287109375,131.00058548009366,463.3934426229508,3.5,55.92643247709028,8,1,1
35.149078369140625,103.87810304449648,403.55737704918033,3.5,55.92643247709028,8,2,1
36.9923095703125,101.43360655737705,379.37704918032784,3.5,52.335746401257,9,1,1
38.79351806640625,113.46978922716626,369.0983606557377,3.5,52.335746401257,9,2,1
45.27337646484375,135.51885245901633,549.8688524590164,3.5,68.05132929067622,10,1,1
46.152618408203125,128.3560889929742,457.327868852459,3.5,68.05132929067622,10,2,1
58.189208984375,159.3033957845434,564.0819672131148,3.5,39.43077886948138,11,1,1
46.89794921875,137.5591334894614,551.7377049180328,3.5,39.43077886948138,11,2,1
50.6651611328125,154.88056206089,540.7377049180328,3.5,49.93208539810198,12,1,1
52.32177734375,156.68407494145194,570.0983606557377,3.5,49.93208539810198,12,2,1
45.02804565429688,138.83489461358312,450.0491803278688,3.5,51.302138032294955,13,1,1
34.30010986328125,101.16510538641687,412.1147540983607,3.5,51.302138032294955,13,2,1
34.47320556640625,102.38946135831385,398.9180327868853,3.5,67.54643602536461,14,1,1
38.03948974609375,108.49519906323185,432.57377049180326,3.5,67.54643602536461,14,2,1
42.83831787109375,124.5610070257611,438.1967213114754,3.5,73.16380850570911,15,1,1
41.55029296875,121.18360655737706,426.9836065573771,3.5,73.16380850570911,15,2,1
51.66867065429688,150.31978922716627,515.983606557377,3.5,63.327685082862644,16,1,1
56.5396728515625,165.42868852459014,558.0327868852459,3.5,63.327685082862644,16,2,1
50.15826416015625,141.49625292740052,530.0819672131148,3.5,45.38810146191629,17,1,1
46.6973876953125,136.63161592505858,499.24590163934425,3.5,45.38810146191629,17,2,1
46.560791015625,130.62576112412177,496.3114754098361,3.5,51.42576834915134,18,1,1
47.7314453125,135.72611241217794,575.1475409836065,3.5,51.42576834915134,18,2,1
40.594329833984375,119.50081967213117,447.344262295082,3.5,85.48245527556534,19,1,1
44.928955078125,132.09496487119438,454.7377049180328,3.5,85.48245527556534,19,2,1
62.70611572265625,179.46943793911004,569.0983606557377,3.5,28.845265663361534,20,1,1
40.53228759765625,123.24789227166276,530.1311475409836,3.5,28.845265663361534,20,2,1
