Quality,I_BG,Raw_I,Radius,Frames,Set_ID
24.713134765625,62.011904761904766,487.3333333333333,1.5,5,1
22.27227783203125,50.40476190476187,393.3333333333333,1.5,8,1
24.30844116210937,55.333333333333314,469.3333333333333,1.5,4,1
18.40765380859375,42.38095238095236,406.0952380952381,1.5,6,1
23.202423095703125,51.452380952380956,389.95238095238096,1.5,4,1
17.25360107421875,41.964285714285715,315.7142857142857,1.5,4,1
26.68466186523437,56.88095238095241,452.2380952380952,1.5,3,1
13.27520751953125,28.380952380952408,327.95238095238096,1.5,4,1
17.841583251953125,42.1190476190476,330.95238095238096,1.5,4,1
19.447998046875,36.904761904761926,363.1428571428572,1.5,4,1
30.979248046875,71.40476190476187,417.3333333333333,1.5,4,1
13.07012939453125,33.60714285714283,323.85714285714283,1.5,4,1
18.64535522460937,40.48809523809524,365.3809523809524,1.5,3,1
10.67840576171875,25.630952380952408,287.0,1.5,3,1
14.956634521484377,34.26190476190476,348.04761904761904,1.5,3,1
16.764923095703125,34.58333333333337,352.8095238095238,1.5,6,1
22.90966796875,51.07142857142861,388.95238095238096,1.5,5,1
24.365692138671875,52.64285714285711,398.57142857142856,1.5,5,1
20.27191162109375,50.690476190476204,460.04761904761904,1.5,7,1
18.935577392578125,39.95238095238096,355.5238095238095,1.5,4,1
17.85882568359375,40.21428571428573,372.4285714285714,1.5,4,1
14.437042236328123,37.095238095238074,339.5238095238095,1.5,4,1
23.0343017578125,51.6190476190476,370.6190476190476,1.5,6,1
