,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,162.3333,154.7778,154.7778,2.4833,-5.0722,-5.0722,-0.3931,-0.8718,-0.8718,0.0316,-0.4471,-0.4471,0
1,163.8889,163.8889,163.8889,-1.5111,-1.5111,-1.5111,-0.2945,0.2676,0.2676,-0.2738,0.2883,0.2883,1
2,164.5556,157.0,157.0,4.7056,-2.85,-2.85,-0.3768,-1.0891,-1.0891,0.0811,-0.6312,-0.6312,2
3,161.8889,155.5556,155.5556,1.7389,-4.5944,-4.5944,-0.125,-1.2719,-1.2719,0.518,-0.6288,-0.6288,3
4,165.1111,160.8889,160.8889,-3.6889,-7.9111,-7.9111,-0.3247,-1.382,-1.382,-0.4409,-1.4981,-1.4981,4
5,168.2222,166.1111,166.1111,1.1222,-0.9889,-0.9889,0.5156,0.0547,0.0547,0.2214,-0.2395,-0.2395,5
6,156.8889,157.6667,157.6667,-3.7111,-2.9333,-2.9333,-1.3689,-1.0812,-1.0812,-0.9686,-0.6809,-0.6809,6
7,173.0,162.8889,162.8889,7.35,-2.7611,-2.7611,1.6663,0.0354,0.0354,1.3249,-0.306,-0.306,7
8,162.4444,169.7778,169.7778,-3.5056,3.8278,3.8278,-0.1188,1.4724,1.4724,-0.7972,0.794,0.794,8
9,166.2222,156.8889,156.8889,7.5722,-1.7611,-1.7611,0.5333,-0.6379,-0.6379,0.8685,-0.3027,-0.3027,9
10,165.3333,159.1111,159.1111,-2.9167,-9.1389,-9.1389,0.2962,0.0311,0.0311,-0.4625,-0.7277,-0.7277,10
11,170.0,166.4444,166.4444,6.65,3.0944,3.0944,1.5069,0.6952,0.6952,1.9451,1.1334,1.1334,11
12,163.2222,157.0,157.0,-2.8778,-9.1,-9.1,-0.3774,-1.1807,-1.1807,-0.7823,-1.5856,-1.5856,12
13,161.4444,163.3333,163.3333,1.1944,3.0833,3.0833,0.4844,0.6783,0.6783,0.5511,0.7449,0.7449,13
14,161.3333,156.5556,156.5556,-3.9167,-8.6944,-8.6944,-0.1248,-0.8182,-0.8182,-0.1833,-0.8767,-0.8767,14
15,159.7778,158.7778,158.7778,-2.0722,-3.0722,-3.0722,-0.6728,0.0372,0.0372,-0.6577,0.0524,0.0524,15
16,163.3333,163.0,163.0,-4.0167,-4.35,-4.35,-0.0483,-0.53,-0.53,-0.2551,-0.7368,-0.7368,16
17,174.6667,160.0,160.0,11.4167,-3.25,-3.25,1.7716,-0.1708,-0.1708,1.6516,-0.2909,-0.2909,17
18,162.1111,166.7778,166.7778,-4.3889,0.2778,0.2778,-0.109,0.7357,0.7357,-0.3158,0.5289,0.5289,18
19,180.8889,164.7778,164.7778,19.3889,3.2778,3.2778,2.7831,0.8967,0.8967,2.9319,1.0456,1.0456,19
20,174.0,165.3333,165.3333,6.15,-2.5167,-2.5167,1.5663,0.2004,0.2004,1.1017,-0.2642,-0.2642,20
21,166.0,162.7778,162.7778,0.5,-2.7222,-2.7222,0.3748,-0.0951,-0.0951,0.1618,-0.3081,-0.3081,21
22,167.8889,158.3333,158.3333,3.6889,-5.8667,-5.8667,0.4283,-0.525,-0.525,0.1385,-0.8149,-0.8149,22
23,178.5556,160.5556,160.5556,11.6056,-6.3944,-6.3944,2.232,-0.3549,-0.3549,1.6082,-0.9787,-0.9787,23
24,165.7778,157.2222,157.2222,4.1278,-4.4278,-4.4278,0.4221,-1.1979,-1.1979,0.6745,-0.9456,-0.9456,24
25,165.5556,163.5556,163.5556,0.8056,-1.1944,-1.1944,0.0324,-0.3505,-0.3505,0.1322,-0.2507,-0.2507,25
26,173.2222,162.5556,162.5556,6.7222,-3.9444,-3.9444,0.4757,-0.4389,-0.4389,-0.0462,-0.9608,-0.9608,26
27,164.4444,161.4444,161.4444,-0.3556,-3.3556,-3.3556,0.1227,-0.2023,-0.2023,-0.5606,-0.8856,-0.8856,27
28,175.5556,167.6667,167.6667,11.0556,3.1667,3.1667,2.0692,1.1343,1.1343,1.511,0.5761,0.5761,28
29,160.0,151.1111,151.1111,-6.15,-15.0389,-15.0389,-1.0637,-2.0347,-2.0347,-1.1795,-2.1506,-2.1506,29
30,164.0,159.8889,159.8889,2.75,-1.3611,-1.3611,0.0646,-0.1719,-0.1719,0.0912,-0.1453,-0.1453,30
31,164.0,156.5556,156.5556,2.9,-4.5444,-4.5444,0.4926,-0.3571,-0.3571,0.9255,0.0758,0.0758,31
32,157.0,154.5556,154.5556,-4.65,-7.0944,-7.0944,-0.3448,-1.4708,-1.4708,-0.4843,-1.6102,-1.6102,32
33,171.1111,162.0,162.0,10.6111,1.5,1.5,1.8229,0.0454,0.0454,1.8771,0.0996,0.0996,33
34,160.6667,156.3333,156.3333,1.6667,-2.6667,-2.6667,0.2023,0.1006,0.1006,0.2699,0.1682,0.1682,34
35,169.2222,161.7778,161.7778,11.5722,4.1278,4.1278,1.2914,0.1525,0.1525,1.6397,0.5008,0.5008,35
36,164.0,157.1111,157.1111,2.0,-4.8889,-4.8889,0.4542,-0.7216,-0.7216,0.2802,-0.8955,-0.8955,36
37,174.1111,161.6667,161.6667,10.7611,-1.6833,-1.6833,2.7711,0.0255,0.0255,2.4117,-0.3339,-0.3339,37
38,164.5556,158.8889,158.8889,1.6556,-4.0111,-4.0111,0.3697,-0.4664,-0.4664,0.5175,-0.3185,-0.3185,38
39,156.8889,146.7778,146.7778,0.4889,-9.6222,-9.6222,-1.3853,-2.2192,-2.2192,-1.3649,-2.1988,-2.1988,39
40,164.7778,154.7778,154.7778,-0.5722,-10.5722,-10.5722,0.9574,-1.2799,-1.2799,0.1079,-2.1294,-2.1294,40
41,171.6667,159.1111,159.1111,11.3667,-1.1889,-1.1889,2.4284,-0.2314,-0.2314,1.9961,-0.6637,-0.6637,41
42,179.2222,169.8889,169.8889,9.8222,0.4889,0.4889,3.1054,1.9856,1.9856,2.522,1.4022,1.4022,42
43,179.2222,165.8889,165.8889,12.7722,-0.5611,-0.5611,3.2967,1.3814,1.3814,2.3961,0.4807,0.4807,43
44,171.7778,155.4444,155.4444,8.2778,-8.0556,-8.0556,2.2048,-0.0916,-0.0916,1.6414,-0.655,-0.655,44
45,165.3333,156.4444,156.4444,-1.1667,-10.0556,-10.0556,0.6737,-0.7965,-0.7965,-0.3265,-1.7967,-1.7967,45
46,169.6667,158.7778,158.7778,6.8167,-4.0722,-4.0722,1.6817,0.0863,0.0863,1.0086,-0.5867,-0.5867,46
47,164.8889,157.8889,157.8889,4.9389,-2.0611,-2.0611,1.4683,-0.0222,-0.0222,1.1628,-0.3277,-0.3277,47
48,164.7778,159.7778,159.7778,1.3278,-3.6722,-3.6722,1.0581,0.1918,0.1918,0.2475,-0.6188,-0.6188,48
49,160.4444,158.0,158.0,-0.8556,-3.3,-3.3,0.3722,-0.4926,-0.4926,-0.0122,-0.8769,-0.8769,49
50,169.0,158.6667,158.6667,7.45,-2.8833,-2.8833,1.2325,-0.4117,-0.4117,1.0223,-0.6219,-0.6219,50
51,164.2222,158.0,158.0,-0.4278,-6.65,-6.65,1.0131,-1.0252,-1.0252,0.2969,-1.7414,-1.7414,51
52,163.1111,156.5556,156.5556,3.7611,-2.7944,-2.7944,0.73,-0.5751,-0.5751,0.3414,-0.9637,-0.9637,52
53,161.8889,155.3333,155.3333,-1.0611,-7.6167,-7.6167,0.1078,-1.092,-1.092,-0.5141,-1.7139,-1.7139,53
54,171.5556,161.5556,161.5556,6.9556,-3.0444,-3.0444,1.5029,0.4273,0.4273,0.9915,-0.0841,-0.0841,54
55,174.3333,157.3333,157.3333,13.1833,-3.8167,-3.8167,2.5545,-0.0198,-0.0198,2.1472,-0.4272,-0.4272,55
56,174.3333,164.3333,164.3333,12.5833,2.5833,2.5833,2.6032,1.2262,1.2262,2.2111,0.8341,0.8341,56
57,164.2222,157.0,157.0,5.0222,-2.2,-2.2,0.9211,-0.0571,-0.0571,0.7003,-0.2778,-0.2778,57
58,174.2222,166.7778,166.7778,6.3222,-1.1222,-1.1222,1.9295,0.8282,0.8282,0.7713,-0.33,-0.33,58
59,178.3333,166.6667,166.6667,13.4833,1.8167,1.8167,3.1898,1.2107,1.2107,2.5846,0.6056,0.6056,59
60,167.2222,154.2222,154.2222,3.9222,-9.0778,-9.0778,1.549,-0.7339,-0.7339,0.9503,-1.3325,-1.3325,60
61,168.8889,159.1111,159.1111,5.3889,-4.3889,-4.3889,1.8924,-0.0115,-0.0115,1.2534,-0.6504,-0.6504,61
62,182.4444,164.5556,164.5556,21.1944,3.3056,3.3056,3.8069,1.5101,1.5101,3.6192,1.3223,1.3223,62
63,174.5556,155.2222,155.2222,12.4556,-6.8778,-6.8778,2.7766,-0.2761,-0.2761,2.6386,-0.4141,-0.4141,63
64,174.5556,162.4444,162.4444,9.9056,-2.2056,-2.2056,2.6955,0.9547,0.9547,2.2816,0.5408,0.5408,64
65,173.8889,164.5556,164.5556,10.1389,0.8056,0.8056,1.9156,0.6092,0.6092,1.3042,-0.0022,-0.0022,65
66,170.8889,160.1111,160.1111,10.4389,-0.3389,-0.3389,1.4863,0.6755,0.6755,1.1921,0.3813,0.3813,66
67,172.0,166.8889,166.8889,8.85,3.7389,3.7389,2.2338,1.3659,1.3659,1.5966,0.7287,0.7287,67
68,173.0,155.8889,155.8889,11.95,-5.1611,-5.1611,2.8295,-0.3655,-0.3655,2.676,-0.519,-0.519,68
69,172.8889,154.8889,154.8889,13.7889,-4.2111,-4.2111,2.3818,-0.5456,-0.5456,2.0947,-0.8327,-0.8327,69
70,176.6667,161.2222,161.2222,11.8167,-3.6278,-3.6278,3.3167,0.8721,0.8721,2.5166,0.072,0.072,70
71,168.0,156.3333,156.3333,8.1,-3.5667,-3.5667,1.9495,-0.3749,-0.3749,1.5886,-0.7359,-0.7359,71
72,175.0,159.5556,159.5556,11.35,-4.0944,-4.0944,2.4836,-0.1828,-0.1828,1.6352,-1.0312,-1.0312,72
73,174.6667,158.6667,158.6667,17.3167,1.3167,1.3167,3.1629,0.8978,0.8978,2.796,0.5309,0.5309,73
74,177.0,163.3333,163.3333,16.55,2.8833,2.8833,3.8834,1.2639,1.2639,3.0219,0.4024,0.4024,74
75,175.0,164.5556,164.5556,12.4,1.9556,1.9556,2.9152,0.7174,0.7174,2.5657,0.3679,0.3679,75
76,170.3333,164.0,164.0,8.5333,2.2,2.2,2.0762,1.2959,1.2959,1.0498,0.2694,0.2694,76
77,172.7778,161.5556,161.5556,12.8278,1.6056,1.6056,3.4887,0.9539,0.9539,2.8867,0.3519,0.3519,77
78,171.2222,158.1111,158.1111,10.9722,-2.1389,-2.1389,2.3598,0.0425,0.0425,1.6822,-0.6351,-0.6351,78
79,161.4444,156.0,156.0,-2.1056,-7.55,-7.55,0.7779,0.4313,0.4313,-0.2991,-0.6457,-0.6457,79
80,165.1111,155.7778,155.7778,6.2111,-3.1222,-3.1222,1.9206,0.1935,0.1935,1.7741,0.047,0.047,80
81,173.3333,155.7778,155.7778,12.3833,-5.1722,-5.1722,3.1053,0.1904,0.1904,2.069,-0.846,-0.846,81
82,170.8889,164.8889,164.8889,11.9389,5.9389,5.9389,2.6435,1.7909,1.7909,2.2936,1.4411,1.4411,82
83,164.3333,158.6667,158.6667,11.5333,5.8667,5.8667,2.1586,1.1892,1.1892,2.1522,1.1828,1.1828,83
84,169.3333,158.4444,158.4444,10.3333,-0.5556,-0.5556,2.194,1.0209,1.0209,1.7293,0.5562,0.5562,84
85,162.3333,161.5556,161.5556,4.5333,3.7556,3.7556,1.4453,1.0543,1.0543,1.0931,0.7021,0.7021,85
86,157.8889,154.4444,154.4444,0.8889,-2.5556,-2.5556,0.1785,-0.06,-0.06,-0.0071,-0.2457,-0.2457,86
87,163.5556,153.0,153.0,7.6556,-2.9,-2.9,1.2947,0.0344,0.0344,1.0857,-0.1745,-0.1745,87
88,166.0,159.3333,159.3333,6.4,-0.2667,-0.2667,1.5481,0.4502,0.4502,1.035,-0.0628,-0.0628,88
89,168.2222,157.1111,157.1111,12.6722,1.5611,1.5611,2.6312,0.6965,0.6965,2.5733,0.6387,0.6387,89
90,165.5556,158.4444,158.4444,6.5056,-0.6056,-0.6056,1.6212,0.9849,0.9849,1.3928,0.7564,0.7564,90
91,170.6667,161.5556,161.5556,11.8167,2.7056,2.7056,2.2451,1.0287,1.0287,2.1974,0.9811,0.9811,91
92,154.6667,149.4444,149.4444,-0.3833,-5.6056,-5.6056,-0.5636,-0.7453,-0.7453,-0.5834,-0.7651,-0.7651,92
93,158.7778,154.7778,154.7778,3.3278,-0.6722,-0.6722,1.186,0.8929,0.8929,1.0174,0.7243,0.7243,93
94,166.0,157.7778,157.7778,7.65,-0.5722,-0.5722,1.6747,0.279,0.279,1.5526,0.1568,0.1568,94
95,163.7778,156.4444,156.4444,-0.6722,-8.0056,-8.0056,0.7427,0.2626,0.2626,-0.1773,-0.6574,-0.6574,95
96,166.7778,159.3333,159.3333,11.3778,3.9333,3.9333,1.9442,0.458,0.458,2.0035,0.5174,0.5174,96
97,157.5556,155.4444,155.4444,2.9056,0.7944,0.7944,0.8402,0.2692,0.2692,0.8826,0.3116,0.3116,97
98,174.1111,167.0,167.0,10.8111,3.7,3.7,2.8442,1.8609,1.8609,2.1242,1.1409,1.1409,98
99,163.7778,156.5556,156.5556,1.9278,-5.2944,-5.2944,1.0225,-0.1999,-0.1999,0.4065,-0.816,-0.816,99
100,174.3333,163.7778,163.7778,12.5333,1.9778,1.9778,2.2945,1.1518,1.1518,1.9568,0.8142,0.8142,100
101,163.4444,155.6667,155.6667,-1.5056,-9.2833,-9.2833,0.4918,-0.141,-0.141,-0.3759,-1.0087,-1.0087,101
102,160.6667,156.1111,156.1111,-0.5333,-5.0889,-5.0889,0.5105,-0.5912,-0.5912,0.0188,-1.0828,-1.0828,102
103,169.8889,164.7778,164.7778,8.6389,3.5278,3.5278,2.3956,1.2199,1.2199,2.1691,0.9934,0.9934,103
104,164.1111,151.7778,151.7778,3.8111,-8.5222,-8.5222,0.9019,-0.4734,-0.4734,0.0557,-1.3196,-1.3196,104
105,166.1111,151.8889,151.8889,1.2611,-12.9611,-12.9611,1.1449,-0.9296,-0.9296,0.2776,-1.797,-1.797,105
106,168.2222,155.8889,155.8889,8.4722,-3.8611,-3.8611,1.9481,0.0154,0.0154,1.7767,-0.156,-0.156,106
107,165.6667,162.5556,162.5556,3.2167,0.1056,0.1056,1.4817,1.0381,1.0381,0.7728,0.3293,0.3293,107
108,162.7778,158.2222,158.2222,2.6778,-1.8778,-1.8778,0.3679,0.4437,0.4437,0.2311,0.307,0.307,108
109,162.3333,155.3333,155.3333,0.5333,-6.4667,-6.4667,1.0115,0.4542,0.4542,0.1686,-0.3887,-0.3887,109
110,157.4444,153.1111,153.1111,3.0444,-1.2889,-1.2889,0.5934,-0.6304,-0.6304,0.3428,-0.8811,-0.8811,110
111,159.4444,161.8889,161.8889,4.3444,6.7889,6.7889,0.7671,1.6384,1.6384,0.8042,1.6755,1.6755,111
112,157.7778,153.2222,153.2222,2.3278,-2.2278,-2.2278,-0.0331,0.0658,0.0658,-0.3404,-0.2415,-0.2415,112
113,157.4444,152.5556,152.5556,0.9944,-3.8944,-3.8944,-0.1132,-0.6763,-0.6763,-0.6451,-1.2083,-1.2083,113
114,163.8889,160.6667,160.6667,3.9889,0.7667,0.7667,1.0841,0.8129,0.8129,0.5344,0.2632,0.2632,114
115,161.4444,158.0,158.0,0.5944,-2.85,-2.85,0.2744,0.2898,0.2898,-0.1203,-0.1049,-0.1049,115
116,164.2222,157.7778,157.7778,4.8722,-1.5722,-1.5722,0.8976,0.8176,0.8176,0.5916,0.5116,0.5116,116
117,166.8889,155.2222,155.2222,8.2389,-3.4278,-3.4278,1.4958,0.2253,0.2253,1.3152,0.0447,0.0447,117
118,170.8889,161.5556,161.5556,12.2889,2.9556,2.9556,2.5158,1.1339,1.1339,2.4629,1.081,1.081,118
119,153.6667,154.7778,154.7778,-2.9833,-1.8722,-1.8722,-0.2743,-0.0868,-0.0868,-0.7031,-0.5156,-0.5156,119
120,160.7778,156.7778,156.7778,2.6778,-1.3222,-1.3222,0.5552,0.3543,0.3543,0.0097,-0.1912,-0.1912,120
121,164.6667,156.0,156.0,3.6167,-5.05,-5.05,1.1831,0.0928,0.0928,0.6406,-0.4497,-0.4497,121
122,162.0,160.2222,160.2222,5.55,3.7722,3.7722,0.9186,1.3162,1.3162,0.7182,1.1158,1.1158,122
123,169.0,157.6667,157.6667,11.65,0.3167,0.3167,1.363,0.9019,0.9019,0.9167,0.4556,0.4556,123
124,154.4444,156.4444,156.4444,-1.3556,0.6444,0.6444,0.2329,-0.1954,-0.1954,0.344,-0.0843,-0.0843,124
125,159.4444,154.1111,154.1111,3.3444,-1.9889,-1.9889,0.8934,-0.1098,-0.1098,0.4753,-0.5278,-0.5278,125
126,154.2222,153.1111,153.1111,-4.5778,-5.6889,-5.6889,-0.6465,-0.1593,-0.1593,-1.3184,-0.8311,-0.8311,126
127,165.0,162.5556,162.5556,8.55,6.1056,6.1056,1.3839,1.4683,1.4683,0.9105,0.9949,0.9949,127
128,162.0,154.1111,154.1111,5.55,-2.3389,-2.3389,0.9683,0.2932,0.2932,0.5367,-0.1384,-0.1384,128
129,160.3333,155.6667,155.6667,3.5333,-1.1333,-1.1333,0.6059,0.6227,0.6227,0.2638,0.2806,0.2806,129
130,153.5556,154.1111,154.1111,-3.4944,-2.9389,-2.9389,-0.2969,0.2762,0.2762,-0.7707,-0.1975,-0.1975,130
131,159.8889,153.4444,153.4444,8.3389,1.8944,1.8944,0.586,0.2553,0.2553,0.943,0.6123,0.6123,131
132,169.5556,161.4444,161.4444,12.3556,4.2444,4.2444,2.2935,1.3755,1.3755,2.1852,1.2672,1.2672,132
133,169.2222,163.3333,163.3333,9.0722,3.1833,3.1833,2.442,1.7881,1.7881,1.8938,1.24,1.24,133
134,165.0,159.2222,159.2222,12.1,6.3222,6.3222,1.3806,1.1807,1.1807,1.3169,1.1169,1.1169,134
135,163.2222,163.2222,163.2222,7.4222,7.4222,7.4222,0.9865,1.6884,1.6884,0.6107,1.3125,1.3125,135
136,157.3333,154.7778,154.7778,-1.0667,-3.6222,-3.6222,-0.1842,-0.0231,-0.0231,-0.3485,-0.1874,-0.1874,136
137,156.8889,162.4444,162.4444,-1.7611,3.7944,3.7944,-0.226,1.2257,1.2257,-0.4264,1.0252,1.0252,137
138,156.2222,157.1111,157.1111,-3.7778,-2.8889,-2.8889,-0.4758,0.5515,0.5515,-1.241,-0.2137,-0.2137,138
139,159.1111,162.8889,162.8889,3.1111,6.8889,6.8889,0.7281,1.5279,1.5279,0.5072,1.307,1.307,139
140,162.2222,162.6667,162.6667,4.6722,5.1167,5.1167,1.4333,1.6913,1.6913,0.9226,1.1806,1.1806,140
141,156.6667,160.8889,160.8889,-4.9333,-0.7111,-0.7111,-0.3501,1.3379,1.3379,-1.2095,0.4784,0.4784,141
142,159.7778,163.6667,163.6667,6.8278,10.7167,10.7167,0.9882,1.4561,1.4561,1.0927,1.5606,1.5606,142
143,160.8889,159.5556,159.5556,8.5889,7.2556,7.2556,0.8256,1.0662,1.0662,0.8484,1.089,1.089,143
144,153.6667,156.1111,156.1111,-2.8333,-0.3889,-0.3889,-0.0892,0.2655,0.2655,-0.4633,-0.1087,-0.1087,144
145,148.0,155.8889,155.8889,-4.5,3.3889,3.3889,-1.0547,0.4163,0.4163,-0.9293,0.5417,0.5417,145
146,157.0,152.4444,152.4444,3.55,-1.0056,-1.0056,0.5181,-0.3961,-0.3961,0.6113,-0.3029,-0.3029,146
147,157.3333,156.7778,156.7778,1.0333,0.4778,0.4778,0.2767,1.0612,1.0612,-0.0018,0.7826,0.7826,147
148,159.6667,153.7778,153.7778,5.5667,-0.3222,-0.3222,0.8325,0.0955,0.0955,0.8765,0.1395,0.1395,148
149,150.0,147.8889,147.8889,-4.15,-6.2611,-6.2611,-1.1649,-0.9824,-0.9824,-1.2568,-1.0743,-1.0743,149
150,151.7778,152.4444,152.4444,0.7778,1.4444,1.4444,-0.4446,0.1515,0.1515,-0.2244,0.3716,0.3716,150
151,151.1111,145.7778,145.7778,-1.1889,-6.5222,-6.5222,-0.1875,-0.7016,-0.7016,-0.1978,-0.7119,-0.7119,151
152,158.0,156.0,156.0,-3.55,-5.55,-5.55,-0.0347,0.2798,0.2798,-0.8397,-0.5252,-0.5252,152
153,157.6667,152.4444,152.4444,5.5167,0.2944,0.2944,0.6976,0.3973,0.3973,0.6186,0.3183,0.3183,153
154,155.0,155.1111,155.1111,1.0,1.1111,1.1111,-0.1453,0.5027,0.5027,-0.3959,0.2522,0.2522,154
