,Unnamed: 0,Unnamed: 0.1,MANUAL_ID,TRACK_ID,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,MAX_DISTANCE_TRAVELED,TRACK_MEAN_Q_ENV,TRACK_MEAN_Q_IN,TRACK_MEAN_Q_IN_BEFORE,TRACK_MEAN_Q_IN_AFTER,Protein,FILE_ID,SET_ID,X_TH,Y_TH,CONFINEMENT_RATIO,Area,Radius,Ecc,Cell_X,Cell_Y,C,B,Tau,Tc,Offset,R2_C1,Dur,To,Mat_T,ID,To_CH2,Tf_CH2,To_CH2_TfC1,Tf_CH2_TfC1,FR,Imax_C1,C_C1,B_C1,Tau_C1,Tc_C1,Offset_C1,Imax_C2,C_C2,B_C2,Tau_C2,Tc_C2,Offset_C2,R2_C2
0,0,2,Good,1852.0,8.74,196.0,272.0,0.0163643402128876,1852.0,370.6259346963993,274.5739380523416,0.0699311080666968,0.1866732900823079,0.0119079822672043,0.0664605442291759,0.0402184834450653,5.687953701266995,0.7015536490993226,0.0123384475708007,4.534670599955329,0.0338339124407087,0.1014460003565228,Sec2,9,0,370.6007284426704,274.5905687030732,0.0030790340938639,478.54748493784,12.3766802425997,0.998750461954474,50.4467762755536,42.037191844025,19.807894386656898,1.080112082314489,4.246339988403867,0.2788823584283655,-2.835029811843543,0.8738711178982221,8.74,-3.91,2.996593064521217,12.0,-1.38,6.9,-10.12,-1.84,0.115,22.39723333333334,30.57724765037359,0.8000000008849464,5.4138567203234045,0.2625312595131417,-9.815259938652133,17.22778333333334,11.95057460835543,4.999999999748836,5.6101986524833825,-0.365163681509995,-0.7735970528855065,0.6022676368969332
1,1,5,Good,783.0,6.095000000000001,131.0,184.0,0.8813265950544931,783.0,164.87437443882186,493.644541793332,0.0923138782322005,0.5350040160740027,0.0085989615049035,0.0741969655319078,0.0884028075031832,4.433442009819879,0.8813265950544931,0.7345209510238081,4.0093039367424606,1.0912549457852805,0.85706180996365,Sec2,2,0,164.9027207341477,493.66424886187497,0.1801333017170642,838.399733429288,16.3388489748993,0.999629267948281,48.9994603343291,51.2642767625367,11.773631773005896,2.1932713700604163,3.91069556668365,-0.636745288300518,-5.927670219395059,0.7782113035080349,6.095000000000001,-3.91,4.682566090442023,60.0,-3.565,8.280000000000001,-9.66,2.1850000000000005,0.115,10.04721666666667,12.092191483191089,2.375642957339485,3.7220996788655083,-0.6904668703733039,-5.523165601801484,17.58983333333334,16.74832775379076,4.999999965900443,5.607267464690254,-0.91714991815304,-6.30453398642411,0.7615028513390248
2,2,6,Good,1209.0,4.83,182.0,224.0,1.375223984104463,1209.0,351.2893214050646,413.1967392961137,0.092024729689327,0.3249524710470519,0.0114777854651452,0.0596451117819518,0.0836850370029935,6.427748924077943,1.375223984104463,0.420866567035054,4.747346528124748,-0.2286930386982266,0.3827651493133061,Sec2,2,0,351.2754828713676,413.1139280502572,0.3558111857921643,607.783262916896,13.9415566546012,0.997236040731815,52.8296869935605,39.0544900806274,19.45502054005684,3.402913186019762,2.298864065044305,-0.2558902512120573,3.806771951078447,0.9015757695882849,4.83,-2.53,3.3032579367891373,61.0,0.0,5.75,-4.83,0.92,0.115,28.44168333333334,21.32792190952525,3.4977960092617355,2.267642628826598,-0.2521322047534378,4.745187941378831,111.17685000000003,102.82584005993023,0.8000000073998969,1.7723207204103653,-0.8166905648396812,10.067625865967825,0.8956578906788569
3,3,7,Good,910.0,5.405,98.0,145.0,0.350365162329009,910.0,302.55775484346,329.8625065690176,0.0854453632674609,0.3283423579603137,0.0043716236719056,0.0671240330996361,0.0704306716117702,5.527612050374349,0.9608882322192632,0.360869065920512,3.47800350189209,-0.0609627375527033,0.7247875153072296,Sec2,4,0,302.51895546908696,329.8621907066665,0.087243796934415,457.957464752734,12.0907184454016,0.999194295193744,48.2899902281004,46.1379126465468,16.503642626969675,1.2435608833346203,1.403433615173777,0.6874316589589489,-0.0409383749247476,0.7098485365089753,5.405,0.0,1.1357135537878342,66.0,0.23,5.98,-5.175,0.5750000000000002,0.115,21.528700000000004,21.891466251349428,0.9169856104516949,1.6482020034294609,0.5286572039225086,-1.987900687625517,38.985200000000006,32.09615652043448,1.67243702787191,2.4355019084444223,-0.6107826492912707,5.050868391295639,0.829633064164582
4,4,8,Good,2455.0,9.775,228.0,313.0,0.4569332789010361,2455.0,223.0882297282832,406.5932017712684,0.0507338774159643,0.1417653036916857,0.0096810223055675,0.0457899455794414,0.0280778050952013,6.101292410562205,0.6126841181141965,0.1297862064006716,4.480009581691536,0.7432208893791078,0.8222440235198489,Sec2,4,0,223.0798585591756,406.5826661720296,0.1059585016547207,790.948773573536,15.942180667154,0.99600941232408,27.7967580936695,44.4806634466562,16.642875725662137,2.137923640358096,4.313393790347073,0.8962712517133458,0.9056524417091428,0.8343158818353871,9.775,-3.22,5.096605818270825,68.0,-0.805,11.73,-10.58,1.955,0.115,24.700000000000006,18.640647246171113,2.201525177342476,4.20321049117344,0.8764773044133172,2.4905202203368395,40.938900000000004,22.24116533169793,4.999986254051336,4.847305671201106,-0.7738996849409032,10.936884951821051,0.7527154933313807
5,5,9,Good,997.0,8.97,172.0,250.0,0.5641436421901299,997.0,295.89759493946946,675.3352870081069,0.0655712104552652,0.1799744330972825,0.0040146803502299,0.0597866594423215,0.0389348935130854,5.536264540273932,0.8774062405077525,1.1035969384108917,4.724175685233374,0.7649485270182291,1.024597137693375,Sec2,5,0,295.9000044112594,675.3450172482663,0.1103016208957093,849.768319258076,16.5009018142385,0.997161963366446,38.3307795303867,24.1788434669418,11.64189438335201,4.999999229095288,4.27057752670868,-0.4865292701612875,0.1061947875595838,0.7520689865723319,8.97,-4.37,6.820000078623235,73.0,-0.5750000000000001,8.625,-9.545,-0.3450000000000006,0.115,18.126866666666672,12.230908312867408,4.999999998813878,4.122271507703475,-0.5981243744046885,1.554178288711556,25.33426666666667,22.49202858725013,0.9853563844368267,4.334808672895601,-1.42745111601613,-1.0655024997522229,0.7444303531090755
6,6,10,Good,417.0,5.865,101.0,152.0,0.8729978222991741,417.0,83.90815740344071,299.04685291027164,0.064445261605716,0.1511022286508042,0.0032460345286532,0.0609894339678202,0.035039794424934,4.66090437082144,0.8729978222991741,0.6960179475637582,3.3201781867915736,0.7494285220191594,0.8702763148716519,Sec9,0,0,83.89518104348109,299.0629292249165,0.2656146306540755,591.341611478801,13.716029629109,0.99947800583932,35.7517338154815,36.6647652293561,16.802925939188324,2.560163571219331,4.767339427319317,-0.6161381036235212,-3.289172481489297,0.7321820422023164,5.865,-5.175,6.143771293773751,0.0,1.265,8.280000000000001,-4.6000000000000005,2.415000000000001,0.115,18.637016666666668,17.670388593785344,3.210341840550708,4.508245792887057,-0.6110026716126846,-2.994825837716503,20.386133333333337,48.0685940533435,0.8000000000001929,7.055677188416359,2.271664977292494,-29.39497436104058,0.8823933952219575
7,7,11,Good,470.0,12.19,84.0,190.0,0.7900275911249814,470.0,180.01428413376647,297.64093215781224,0.0792247556091049,0.4455224684551764,0.0074861345278519,0.0669459568343525,0.0685543682258533,5.127306144928264,1.0245840443857743,0.7539847507655068,4.494165394784009,1.002313704717727,0.4056183042980376,Sec9,11,0,180.00667690647634,297.6107389517227,0.0940752726216633,313.325480647787,10.0014087860369,0.998841784679679,44.7348837342154,45.1970347912051,18.42508147253137,1.4431823412417992,5.392644851239642,-0.5487519027261936,2.1851291824911425,0.7683774009039582,12.19,-5.75,4.945749899497479,3.0,6.095000000000001,14.375,-6.094999999999999,2.1850000000000005,0.115,28.595383333333338,30.032200041706343,1.1426563708887096,6.985923898827311,-0.5792293004059514,-6.040906449080702,27.607400000000005,12.041404794768143,2.832290664405982,1.9698444372997723,4.67321660253444,11.45957761108543,0.3817451388544053
8,8,12,Good,701.0,10.925,137.0,232.0,0.4018326134705834,701.0,351.7940152779791,289.53990462434234,0.0572349166557101,0.128122312320842,0.0060770488651161,0.053963764200042,0.0275325343283075,4.264439026514689,0.6851676965042891,0.4809339274962742,3.510096565440848,0.244135508461604,0.4701181744772291,Sec9,11,0,351.7752248625003,289.52608099459763,0.0739027368440995,1055.75582885376,18.474588875652,0.992110905714568,31.9715503403804,57.8894904725176,13.623075781365872,1.4899935363041297,6.027311745792328,0.1558251741612917,0.0950247208330714,0.7779131391268623,10.925,-4.945,5.6648939915330105,4.0,7.36,13.915,-3.5650000000000004,2.9899999999999984,0.115,20.932400000000005,145.94254075492776,0.800000846731198,30.678385399015642,0.1431472349570031,-128.95187248236414,20.779616666666673,14.368047943313943,0.9862770488382007,2.881670146366112,4.388776992278494,4.289594644942759,0.6237000332938462
9,9,13,Good,1476.0,11.96,248.0,352.0,0.5408860221029358,1476.0,181.05043909883125,293.1391424595053,0.0478033484080537,0.2018543371569978,0.0042839573219054,0.0422926717284643,0.0334523977572368,7.31413094656808,0.915881726889578,0.6366760453723724,5.853478172342611,0.6844796074761286,-0.1166456010606553,Sec9,13,0,181.025257347976,293.1662585271079,0.1087962937493454,371.046226050018,10.8941300764906,0.999335055425269,41.9552094888521,39.5518809723674,25.248528801764166,2.1603083293662406,5.381488799271122,0.2540493416695168,1.4780756416018217,0.9288183366296159,11.96,-5.405,6.393412926151598,10.0,4.140000000000001,15.295,-7.82,3.334999999999999,0.115,35.26943333333334,27.518639862642864,2.2388118556908028,5.224927436977497,0.25600881897288374,3.32629842352732,30.768516666666674,25.835671441234407,1.5307771245665056,5.928306716827739,3.9144597478679968,0.9752644488264868,0.8149043854681483
10,10,14,Good,2772.0,11.27,292.0,390.0,0.8722728562996191,2772.0,84.5217842125593,596.283059416856,0.0874877809937768,0.7166956454186365,0.0056680172790805,0.0682354702243011,0.100799692608091,5.301665026732166,1.2551502108432675,0.286838589292584,4.37367481869613,0.1487555428156777,0.8126113225543311,Sec9,14,0,84.50213234958471,596.2534586532929,0.1017369892175216,810.938496403411,16.1140013867831,0.997790919974023,52.7386397402078,40.6551645095041,12.092060766220037,3.208605828748809,5.124201353753247,0.2335268159630557,1.707014687532053,0.7660155287389566,11.27,-4.37,7.217041091762309,12.0,7.705,11.73,-3.5649999999999995,0.4600000000000008,0.115,22.33981666666667,14.712388438401263,3.0390535432147843,5.150007416859275,0.2649411510980739,1.7074477052151964,12.069433333333336,9.997364887769525,1.0342563064131924,2.7672575881725705,4.372941455982859,-1.5220662057689922,0.5789249582914664
11,11,15,Good,266.0,10.58,33.0,125.0,0.5944895181513584,266.0,323.2033843358529,640.6166818204931,0.0396537660970961,0.1581001302322558,0.0016350287336643,0.0346192577162141,0.0224529495991907,7.869900529102613,0.6598435920649113,0.693145534556399,6.7090350872299584,-0.0175009227934337,0.7912765987335687,Sec9,3,0,323.1853602183064,640.6361137630474,0.1629565921375326,263.328892886667,9.15951319895351,0.99995398940114,41.4593958399868,47.5462010894035,28.77774551906642,1.7750051825824067,4.438146475858029,0.5618918115830827,0.8449551566901705,0.7939312129344668,10.58,-4.255,4.709018834424908,19.0,5.0600000000000005,12.19,-5.52,1.6099999999999994,0.115,45.26666666666668,39.982069396090886,1.276274566864748,4.794782755627276,0.7252780368256575,-4.064519868420944,38.72408333333334,37.66177589983005,2.6972808837260285,2.8315833082424837,3.727971377637814,-3.6707441172137645,0.9261779501076564
12,12,16,Good,679.0,13.11,141.0,255.0,0.7015692219849109,679.0,90.92848724250344,496.7120055861709,0.0415925065715223,0.295756685822829,0.0067727962041001,0.0358507025596768,0.0320118271076094,6.954160607379416,0.7673338836001079,1.0086161290044366,5.087345989430009,0.9321103777204242,-0.0313288370768229,Sec9,4,0,90.92575901488829,496.7118606480889,0.1479621328361416,996.685600411582,18.1232154513461,0.986212831879007,35.5178000446345,26.43904229448,18.21370614530156,2.7553663064951257,6.79488802072223,-0.2667827444722164,6.909592722718876,0.7805110038688835,13.11,-6.9,9.033653860964268,22.0,4.025,13.685,-9.085,0.5750000000000011,0.115,35.87131666666667,24.564213041857577,2.3148717018156835,7.249356553568292,-0.2866774871549467,4.6521378184625775,21.069450000000007,19.859500575664466,2.9669873809270957,5.83577436407884,2.0740176260208063,-5.4621622855874135,0.7994218122579146
13,13,17,Good,255.0,8.625,53.0,128.0,0.6499608154987744,255.0,59.63537532965376,283.99368365211427,0.0599768764476954,0.2000505755673995,0.0076200871153847,0.0526658292071476,0.0383015230750142,5.139324288619192,0.7867665702325521,0.4458645368877211,3.759767114070424,0.8034540206666977,-0.2802586328415644,Sec9,5,0,59.62743250529711,284.0124518501472,0.1444914226936765,271.999561863923,9.35593483281265,0.998541074441763,37.6596107125432,40.7190782707017,13.638213093529696,4.851007882630671,4.44298545920933,0.1119189427279971,1.247591970419312,0.7312350663235307,8.625,-4.025,7.046459566147181,29.0,1.15,11.155,-7.475,2.53,0.115,22.00555,14.209001591886096,4.999999965630257,4.365913764597248,0.05168765725647706,2.9997468435118417,21.599066666666673,18.468790302279714,2.007527157500917,5.0066042389826135,2.5839837410144155,-1.8490213616100242,0.7609499332386159
14,14,18,Good,1217.0,9.775,177.0,262.0,0.8566382573262303,1217.0,322.665349001188,82.61323224534927,0.0778142946028706,0.2186124255983929,0.0093554991575348,0.0684014984987242,0.0515452116424545,5.226795107819314,0.8566382573262303,0.0944973091746485,3.3950969883329822,0.6360437907869855,0.109627193874783,Sec9,7,0,322.66617321200283,82.57729167132283,0.1295147272933414,1023.8421434053,18.3708205250772,0.984551146965728,57.5447482138896,45.3487001134467,17.179712423115237,0.8000000353705019,5.521437512553581,1.3448469207847698,-2.7169298594273874,0.6623987261965746,9.775,-3.68,2.705551866016011,34.0,4.6000000000000005,11.155,-5.175,1.379999999999999,0.115,21.004650000000005,13.488436087761393,2.0659979514028732,2.4693735063126203,2.097609191690574,4.963741187400753,18.023150000000005,9.728890041725327,2.9798242131970065,2.841620992926531,3.7104865525232387,6.352035514812881,0.8001041997036192
15,15,19,Good,1386.0,10.12,205.0,293.0,0.3496562282246755,1386.0,323.69606638195233,86.12824265901078,0.0674841101969192,0.1684366085952852,0.0081978215474306,0.0638078795532466,0.0348685697313472,4.884659113508932,0.9044954591589116,0.7673027852947791,4.146248982937895,0.4902963941059415,0.8895335727267796,Sec9,7,0,323.6974581171561,86.1136248048613,0.0588785451602088,895.248515499106,17.1000635260591,0.98918137818921,54.5434337535288,41.2512963271395,11.449136166733185,4.999996811242645,5.294514808563394,0.2276488382865951,-0.8988965052721645,0.7401877214062287,10.12,-4.6000000000000005,8.455200088387652,35.0,4.945,14.03,-5.174999999999999,3.91,0.115,17.260200000000005,13.797820919563549,4.999999999396393,5.352932188143791,0.2540966982652506,-1.5523326426344084,24.971300000000006,9.968250878508881,1.9937142890517092,5.064741517211653,3.604694330485478,9.383702999398192,0.5315963230008858
