,Unnamed: 0,MANUAL_ID,TRACK_ID,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,MAX_DISTANCE_TRAVELED,TRACK_MEAN_Q_ENV,TRACK_MEAN_Q_IN,TRACK_MEAN_Q_IN_BEFORE,TRACK_MEAN_Q_IN_AFTER,Protein,FILE_ID,SET_ID,CONFINEMENT_RATIO,Dur,To_CH2,Tf_CH2,To_CH2_TfC1,Tf_CH2_TfC1,FR,Imax_C1,Imax_C2,TRACK_START_CH2,TRACK_STOP_CH2,COLOCALIZE_ID,index,EXPERIMENT,CHANNEL,NOTES,CORRELATION_FACTOR,REASON_DISCARDED
0,0,Good,1852.0,8.74,196.0,272.0,0.0163643402128876,1852.0,370.6259346963993,274.5739380523416,0.0699311080666968,0.1866732900823079,0.0119079822672043,0.0664605442291759,0.0402184834450653,5.687953701266995,0.7015536490993226,0.0123384475708007,4.534670599955329,0.0338339124407087,0.1014460003565228,Sec2,9,0,0.0030790340938639,8.74,-1.38,6.9,-10.12,-1.84,0.115,22.39723333333334,17.22778333333334,184.0,256.0,0,,,,,,
1,1,Good,783.0,6.095000000000001,131.0,184.0,0.8813265950544931,783.0,164.87437443882186,493.644541793332,0.0923138782322005,0.5350040160740027,0.0085989615049035,0.0741969655319078,0.0884028075031832,4.433442009819879,0.8813265950544931,0.7345209510238081,4.0093039367424606,1.0912549457852805,0.85706180996365,Sec2,2,0,0.1801333017170642,6.095000000000001,-3.565,8.280000000000001,-9.66,2.1850000000000005,0.115,10.04721666666667,17.58983333333334,100.0,203.0,1,,,,,,
2,2,Good,1209.0,4.83,182.0,224.0,1.375223984104463,1209.0,351.2893214050646,413.1967392961137,0.092024729689327,0.3249524710470519,0.0114777854651452,0.0596451117819518,0.0836850370029935,6.427748924077943,1.375223984104463,0.420866567035054,4.747346528124748,-0.2286930386982266,0.3827651493133061,Sec2,2,0,0.3558111857921643,4.83,0.0,5.75,-4.83,0.92,0.115,28.44168333333334,111.17685000000004,182.0,232.0,2,,,,,,
3,3,Good,910.0,5.405,98.0,145.0,0.350365162329009,910.0,302.55775484346,329.8625065690176,0.0854453632674609,0.3283423579603137,0.0043716236719056,0.0671240330996361,0.0704306716117702,5.527612050374349,0.9608882322192632,0.360869065920512,3.47800350189209,-0.0609627375527033,0.7247875153072296,Sec2,4,0,0.087243796934415,5.405,0.23,5.98,-5.175,0.5750000000000002,0.115,21.528700000000004,38.985200000000006,100.0,150.0,3,,,,,,
4,4,Good,2455.0,9.775,228.0,313.0,0.4569332789010361,2455.0,223.0882297282832,406.5932017712684,0.0507338774159643,0.1417653036916857,0.0096810223055675,0.0457899455794414,0.0280778050952013,6.101292410562205,0.6126841181141965,0.1297862064006716,4.480009581691536,0.7432208893791078,0.8222440235198489,Sec2,4,0,0.1059585016547207,9.775,-0.805,11.73,-10.58,1.955,0.115,24.700000000000006,40.9389,221.0,330.0,4,,,,,,
5,5,Good,997.0,8.97,172.0,250.0,0.5641436421901299,997.0,295.89759493946946,675.3352870081069,0.0655712104552652,0.1799744330972825,0.0040146803502299,0.0597866594423215,0.0389348935130854,5.536264540273932,0.8774062405077525,1.1035969384108917,4.724175685233374,0.7649485270182291,1.024597137693375,Sec2,5,0,0.1103016208957093,8.97,-0.5750000000000001,8.625,-9.545,-0.3450000000000006,0.115,18.126866666666672,25.33426666666667,167.0,247.0,5,,,,,,
6,6,Good,417.0,5.865,101.0,152.0,0.8729978222991741,417.0,83.90815740344071,299.04685291027164,0.064445261605716,0.1511022286508042,0.0032460345286532,0.0609894339678202,0.035039794424934,4.66090437082144,0.8729978222991741,0.6960179475637582,3.3201781867915736,0.7494285220191594,0.8702763148716519,Sec9,0,0,0.2656146306540755,5.865,1.265,8.280000000000001,-4.6000000000000005,2.415000000000001,0.115,18.637016666666668,20.386133333333337,112.0,173.0,0,,,,,,
7,7,Good,470.0,12.19,84.0,190.0,0.7900275911249814,470.0,180.01428413376647,297.64093215781224,0.0792247556091049,0.4455224684551764,0.0074861345278519,0.0669459568343525,0.0685543682258533,5.127306144928264,1.0245840443857743,0.7539847507655068,4.494165394784009,1.002313704717727,0.4056183042980376,Sec9,11,0,0.0940752726216633,12.19,6.095000000000001,14.375,-6.094999999999999,2.1850000000000005,0.115,28.59538333333333,27.607400000000005,137.0,209.0,1,,,,,,
8,8,Good,701.0,10.925,137.0,232.0,0.4018326134705834,701.0,351.7940152779791,289.53990462434234,0.0572349166557101,0.128122312320842,0.0060770488651161,0.053963764200042,0.0275325343283075,4.264439026514689,0.6851676965042891,0.4809339274962742,3.510096565440848,0.244135508461604,0.4701181744772291,Sec9,11,0,0.0739027368440995,10.925,7.36,13.915,-3.5650000000000004,2.9899999999999984,0.115,20.932400000000005,20.77961666666668,201.0,258.0,2,,,,,,
9,9,Good,1476.0,11.96,248.0,352.0,0.5408860221029358,1476.0,181.05043909883125,293.1391424595053,0.0478033484080537,0.2018543371569978,0.0042839573219054,0.0422926717284643,0.0334523977572368,7.31413094656808,0.915881726889578,0.6366760453723724,5.853478172342611,0.6844796074761286,-0.1166456010606553,Sec9,13,0,0.1087962937493454,11.96,4.140000000000001,15.295,-7.82,3.334999999999999,0.115,35.26943333333334,30.76851666666668,284.0,381.0,3,,,,,,
10,10,Good,2772.0,11.27,292.0,390.0,0.8722728562996191,2772.0,84.5217842125593,596.283059416856,0.0874877809937768,0.7166956454186365,0.0056680172790805,0.0682354702243011,0.100799692608091,5.301665026732166,1.2551502108432675,0.286838589292584,4.37367481869613,0.1487555428156777,0.8126113225543311,Sec9,14,0,0.1017369892175216,11.27,7.705,11.73,-3.5649999999999995,0.4600000000000008,0.115,22.33981666666667,12.069433333333336,359.0,394.0,4,,,,,,
11,11,Good,266.0,10.58,33.0,125.0,0.5944895181513584,266.0,323.2033843358529,640.6166818204931,0.0396537660970961,0.1581001302322558,0.0016350287336643,0.0346192577162141,0.0224529495991907,7.869900529102613,0.6598435920649113,0.693145534556399,6.7090350872299584,-0.0175009227934337,0.7912765987335687,Sec9,3,0,0.1629565921375326,10.58,5.0600000000000005,12.19,-5.52,1.6099999999999994,0.115,45.26666666666668,38.72408333333334,77.0,139.0,5,,,,,,
12,12,Good,679.0,13.11,141.0,255.0,0.7015692219849109,679.0,90.92848724250344,496.7120055861709,0.0415925065715223,0.295756685822829,0.0067727962041001,0.0358507025596768,0.0320118271076094,6.954160607379416,0.7673338836001079,1.0086161290044366,5.087345989430009,0.9321103777204242,-0.0313288370768229,Sec9,4,0,0.1479621328361416,13.11,4.025,13.685,-9.085,0.5750000000000011,0.115,35.87131666666667,21.069450000000007,176.0,260.0,6,,,,,,
13,13,Good,255.0,8.625,53.0,128.0,0.6499608154987744,255.0,59.63537532965376,283.99368365211427,0.0599768764476954,0.2000505755673995,0.0076200871153847,0.0526658292071476,0.0383015230750142,5.139324288619192,0.7867665702325521,0.4458645368877211,3.759767114070424,0.8034540206666977,-0.2802586328415644,Sec9,5,0,0.1444914226936765,8.625,1.15,11.155,-7.475,2.53,0.115,22.00555,21.59906666666668,63.0,150.0,7,,,,,,
14,14,Good,1217.0,9.775,177.0,262.0,0.8566382573262303,1217.0,322.665349001188,82.61323224534927,0.0778142946028706,0.2186124255983929,0.0093554991575348,0.0684014984987242,0.0515452116424545,5.226795107819314,0.8566382573262303,0.0944973091746485,3.3950969883329822,0.6360437907869855,0.109627193874783,Sec9,7,0,0.1295147272933414,9.775,4.6000000000000005,11.155,-5.175,1.379999999999999,0.115,21.004650000000005,18.023150000000005,217.0,274.0,8,,,,,,
15,15,Good,1386.0,10.12,205.0,293.0,0.3496562282246755,1386.0,323.69606638195233,86.12824265901078,0.0674841101969192,0.1684366085952852,0.0081978215474306,0.0638078795532466,0.0348685697313472,4.884659113508932,0.9044954591589116,0.7673027852947791,4.146248982937895,0.4902963941059415,0.8895335727267796,Sec9,7,0,0.0588785451602088,10.12,4.945,14.03,-5.174999999999999,3.91,0.115,17.260200000000005,24.971300000000006,248.0,327.0,9,,,,,,
16,16,Good,699.0,8.51,159.0,233.0,1.287975317618597,699.0,233.190304817124,321.54639831876864,0.0943181843744349,0.7130729550017588,0.0,0.0717299295365522,0.0973281112767959,4.1194302876790365,1.287975317618597,0.4014371287027994,3.1303748801902485,0.4466554853651258,-0.0742254711332775,Sec9,8,0,0.1845356966437653,8.51,2.53,11.385,-5.98,2.875,0.115,17.946300000000004,20.528700000000004,181.0,258.0,10,,,,,,
17,17,Good,1137.0,11.155,116.0,213.0,1.1821648286122062,1137.0,61.36118266133624,246.76554637983887,0.0565694005908008,0.2716259471452808,0.0001622731298583,0.0448068776736514,0.0418188104008539,5.568074596171477,1.1821648286122062,0.9348175107216348,4.4684134286547454,0.9456649356418186,0.3129180726550874,Sec17,9,0,0.2154391976416677,11.155,9.66,15.065,-1.4949999999999992,3.91,0.115,25.12313333333334,45.50743333333335,200.0,247.0,0,,,,,,
18,18,Good,2966.0,5.5200000000000005,266.0,314.0,0.7614449116210615,2966.0,52.81791104698256,627.267833860133,0.0860164327787354,0.3115176561075555,0.0080117418295538,0.0621546927979749,0.0698140480818153,5.422324511469627,0.9967080626469662,0.9850525291598572,4.942857668783659,-0.0728055257645864,1.0363817063588945,Sec17,9,0,0.1844233147819372,5.5200000000000005,6.095000000000001,12.19,0.5750000000000002,6.669999999999999,0.115,24.794433333333338,43.57686666666668,319.0,372.0,1,,,,,,
