Protein,Count,T_arrival,SD_arrival,T_departure,SD_departure,Dur_C2,SD_Dur_C2
Sec2,34,-9.479705882352942,2.7248828001420176,-0.7949999999999999,2.7762993136165774,8.68470588235294,3.615418568578879
Sec9,42,-6.305119047619048,2.633892947454913,2.5005952380952374,1.2393104900340666,8.805714285714286,3.1991078351263105
Sec17,21,-0.5533333333333333,2.712540475888486,5.087142857142858,2.371933584350841,5.640476190476189,2.082889762302547
Sec18,14,-0.3014285714285717,1.6598892787118116,4.327142857142856,1.1097447979078419,4.628571428571429,2.0520790850814135
