Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,316.5392,324.3302,-2.4667,173.333
1,316.5392,324.3302,-6.1556,162.444
2,316.5392,324.3302,3.3444,171.444
3,316.5392,324.3302,5.6833,171.333
4,316.5392,324.3302,7.3111,170.111
5,316.5392,324.3302,-2.5444,160.556
6,316.5392,324.3302,3.8944,165.444
7,316.5392,324.3302,9.4556,166.556
8,316.5392,324.3302,3.9111,162.111
9,316.5392,324.3302,-0.2889,161.111
10,316.5392,324.3302,6.7389,165.889
11,316.5392,324.3302,2.5278,164.778
12,316.5392,324.3302,-2.5167,159.333
13,316.5392,324.3302,1.3833,159.333
14,316.5392,324.3302,4.8556,159.556
15,316.5392,324.3302,1.1944,156.444
16,316.5392,324.3302,-3.7889,155.111
17,316.5392,324.3302,2.0556,160.556
18,316.5392,324.3302,0.0833,162.333
19,316.5392,324.3302,-0.1611,156.889
20,316.5392,324.3302,2.9222,160.222
21,316.5392,324.3302,0.2611,159.111
22,316.5392,324.3302,1.2389,159.889
23,316.5392,324.3302,-1.0111,155.889
24,316.5392,324.3302,4.3333,154.333
25,316.5392,324.3302,-3.3944,153.556
26,316.5392,324.3302,-0.1611,154.889
27,316.5392,324.3302,-1.3167,155.333
28,316.5392,324.3302,-3.4833,153.667
29,316.5392,324.3302,-3.6667,150.333
30,316.5392,324.3302,3.1056,157.556
31,316.5392,324.3302,-1.9944,149.556
32,316.5392,324.3302,-2.2556,149.444
33,316.5392,324.3302,-0.8500,154.000
34,316.5392,324.3302,-1.2944,158.556
35,316.5392,324.3302,-0.2222,161.778
36,316.5392,324.3302,6.4556,164.556
37,316.5392,324.3302,-1.5556,157.444
38,316.5392,324.3302,6.8889,159.889
39,316.5392,324.3302,-5.0833,148.667
40,316.5392,324.3302,-2.6278,158.222
41,316.5392,324.3302,3.5667,156.667
42,316.5392,324.3302,-1.9056,155.444
43,316.5392,324.3302,-5.1667,152.333
44,316.5392,324.3302,-0.3778,151.222
45,316.5392,324.3302,9.7500,163.000
46,316.5392,324.3302,7.0833,158.333
47,316.5392,324.3302,-1.3611,152.889
48,316.5392,324.3302,1.9944,156.444
49,316.5392,324.3302,3.0722,160.222
50,316.5392,324.3302,7.3056,161.556
51,316.5392,324.3302,-0.1444,155.556
52,316.5392,324.3302,5.5500,160.000
53,316.5392,324.3302,-1.1167,156.333
54,316.5392,324.3302,-2.5111,152.889
55,316.5392,324.3302,-6.1778,148.222
56,316.5392,324.3302,-2.9056,150.444
57,316.5392,324.3302,-13.7778,143.222
58,316.5392,324.3302,-3.9500,151.000
