Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,311.3037,360.9211,1.3500,157.000
1,311.3037,360.9211,1.8278,153.778
2,311.3037,360.9211,0.8111,145.111
3,311.3037,360.9211,6.0278,148.778
4,311.3037,360.9211,1.9000,146.000
5,311.3037,360.9211,-4.3222,145.778
6,311.3037,360.9211,13.4556,159.556
7,311.3037,360.9211,2.9833,150.333
8,311.3037,360.9211,7.4611,151.111
9,311.3037,360.9211,2.5722,144.222
10,311.3037,360.9211,-0.3889,144.111
11,311.3037,360.9211,-0.9167,147.333
12,311.3037,360.9211,-0.6333,145.667
13,311.3037,360.9211,0.2667,140.667
14,311.3037,360.9211,-2.1111,139.889
15,311.3037,360.9211,4.4500,148.000
16,311.3037,360.9211,2.0167,143.667
17,311.3037,360.9211,-1.7056,143.444
18,311.3037,360.9211,2.1944,145.444
19,311.3037,360.9211,3.1278,141.778
20,311.3037,360.9211,3.0667,146.667
21,311.3037,360.9211,2.8000,143.000
22,311.3037,360.9211,-1.4500,143.000
23,311.3037,360.9211,-1.5167,142.333
24,311.3037,360.9211,-1.4556,142.444
25,311.3037,360.9211,2.7333,147.333
26,311.3037,360.9211,2.9056,145.556
27,311.3037,360.9211,7.1444,148.444
28,311.3037,360.9211,-4.1500,136.000
29,311.3037,360.9211,2.6000,146.000
30,311.3037,360.9211,1.4667,144.667
31,311.3037,360.9211,0.0278,143.778
32,311.3037,360.9211,2.6056,143.556
33,311.3037,360.9211,3.9167,148.667
34,311.3037,360.9211,-0.5333,143.667
35,311.3037,360.9211,-2.1111,143.889
36,311.3037,360.9211,3.4444,144.444
37,311.3037,360.9211,1.8167,146.667
38,311.3037,360.9211,2.2778,144.778
39,311.3037,360.9211,9.0000,146.000
40,311.3037,360.9211,1.5000,144.000
41,311.3037,360.9211,0.4222,142.222
42,311.3037,360.9211,6.5722,147.222
43,311.3037,360.9211,1.1722,142.222
44,311.3037,360.9211,-1.6000,143.000
45,311.3037,360.9211,3.9000,146.000
46,311.3037,360.9211,-0.4444,141.556
47,311.3037,360.9211,-2.2333,142.667
48,311.3037,360.9211,3.1611,146.111
49,311.3037,360.9211,4.3056,146.556
50,311.3037,360.9211,-0.0056,139.444
51,311.3037,360.9211,2.0389,144.889
52,311.3037,360.9211,1.4056,140.556
53,311.3037,360.9211,1.5722,144.222
54,311.3037,360.9211,-1.6333,143.667
55,311.3037,360.9211,2.7111,142.111
56,311.3037,360.9211,9.2278,147.778
57,311.3037,360.9211,0.5278,136.778
58,311.3037,360.9211,1.6278,142.778
59,311.3037,360.9211,-1.8333,138.667
60,311.3037,360.9211,-3.4833,136.667
61,311.3037,360.9211,2.8944,143.444
62,311.3037,360.9211,-1.9722,136.778
63,311.3037,360.9211,1.2222,140.222
64,311.3037,360.9211,4.9333,143.333
65,311.3037,360.9211,-1.4222,139.778
66,311.3037,360.9211,-0.9889,145.111
67,311.3037,360.9211,0.8889,141.889
68,311.3037,360.9211,1.2000,141.000
69,311.3037,360.9211,0.9000,139.000
70,311.3037,360.9211,6.2667,146.667
71,311.3037,360.9211,-0.8944,138.556
72,311.3037,360.9211,1.4667,140.667
73,311.3037,360.9211,1.2556,142.556
74,311.3037,360.9211,-3.8611,134.889
75,311.3037,360.9211,4.9944,145.444
76,311.3037,360.9211,-2.3611,138.889
77,311.3037,360.9211,2.2333,140.333
78,311.3037,360.9211,2.3278,143.778
79,311.3037,360.9211,2.1000,140.000
80,311.3037,360.9211,1.5222,141.222
81,311.3037,360.9211,13.8444,153.444
82,311.3037,360.9211,4.9500,143.000
83,311.3037,360.9211,5.5500,146.000
84,311.3037,360.9211,0.3333,141.333
85,311.3037,360.9211,5.0389,142.889
86,311.3037,360.9211,-2.8222,142.778
87,311.3037,360.9211,3.5667,143.667
