Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,416.5119,521.5793,-3.7667,178.333
1,416.5119,521.5793,-8.5667,165.333
2,416.5119,521.5793,-1.9000,166.000
3,416.5119,521.5793,-7.5611,165.889
4,416.5119,521.5793,-3.3722,162.778
5,416.5119,521.5793,-11.9611,158.889
6,416.5119,521.5793,0.1611,165.111
7,416.5119,521.5793,-6.5333,158.667
8,416.5119,521.5793,-4.0944,158.556
9,416.5119,521.5793,-0.9000,161.000
10,416.5119,521.5793,-5.8889,160.111
11,416.5119,521.5793,3.2500,167.000
12,416.5119,521.5793,5.5500,169.000
13,416.5119,521.5793,-0.7722,161.778
14,416.5119,521.5793,1.7389,162.889
15,416.5119,521.5793,-4.9611,154.889
16,416.5119,521.5793,-8.8778,155.222
17,416.5119,521.5793,-5.9278,155.222
18,416.5119,521.5793,-2.0611,163.889
19,416.5119,521.5793,-0.4111,163.889
20,416.5119,521.5793,-0.9667,163.333
21,416.5119,521.5793,-11.1333,154.667
22,416.5119,521.5793,1.1444,164.444
23,416.5119,521.5793,-1.3167,159.333
24,416.5119,521.5793,-4.7611,155.889
25,416.5119,521.5793,6.5778,163.778
26,416.5119,521.5793,-3.2833,155.667
27,416.5119,521.5793,2.0556,163.556
28,416.5119,521.5793,-2.3722,160.778
29,416.5119,521.5793,1.2889,162.889
30,416.5119,521.5793,9.1778,161.778
31,416.5119,521.5793,1.6667,159.667
32,416.5119,521.5793,-5.6222,156.778
33,416.5119,521.5793,-2.5778,156.222
34,416.5119,521.5793,-1.8333,159.667
35,416.5119,521.5793,-4.7833,154.667
36,416.5119,521.5793,-3.1667,158.333
37,416.5119,521.5793,-2.8556,157.444
38,416.5119,521.5793,-2.4389,153.111
39,416.5119,521.5793,-2.3500,157.000
40,416.5119,521.5793,-5.2500,152.000
41,416.5119,521.5793,-3.5056,159.444
42,416.5119,521.5793,0.9444,157.444
43,416.5119,521.5793,1.4556,158.556
44,416.5119,521.5793,3.1167,159.667
45,416.5119,521.5793,-5.0333,152.667
46,416.5119,521.5793,-7.2667,153.333
47,416.5119,521.5793,-2.1944,152.556
48,416.5119,521.5793,-1.4889,155.111
49,416.5119,521.5793,-0.2889,158.111
50,416.5119,521.5793,1.2944,158.444
51,416.5119,521.5793,3.1389,163.889
52,416.5119,521.5793,3.5556,160.556
53,416.5119,521.5793,-7.1278,151.222
54,416.5119,521.5793,3.2167,160.667
55,416.5119,521.5793,5.9444,162.444
56,416.5119,521.5793,6.8278,161.778
57,416.5119,521.5793,3.8722,163.222
58,416.5119,521.5793,6.3833,165.333
59,416.5119,521.5793,-8.5500,151.000
60,416.5119,521.5793,1.9500,162.000
61,416.5119,521.5793,-4.6167,157.333
62,416.5119,521.5793,-2.1444,149.556
63,416.5119,521.5793,4.8111,160.111
64,416.5119,521.5793,6.3444,157.444
65,416.5119,521.5793,-6.5500,149.000
66,416.5119,521.5793,-5.7778,153.222
67,416.5119,521.5793,-1.6722,158.778
68,416.5119,521.5793,8.9111,167.111
69,416.5119,521.5793,4.5333,159.333
70,416.5119,521.5793,-3.6833,153.667
71,416.5119,521.5793,0.5778,156.778
72,416.5119,521.5793,-0.0056,156.444
73,416.5119,521.5793,0.4611,156.111
74,416.5119,521.5793,1.7833,159.333
75,416.5119,521.5793,3.2500,155.000
76,416.5119,521.5793,2.6722,157.222
77,416.5119,521.5793,2.8111,159.111
78,416.5119,521.5793,-4.5333,146.667
79,416.5119,521.5793,2.6833,154.333
80,416.5119,521.5793,-0.8833,157.667
81,416.5119,521.5793,1.6556,153.556
82,416.5119,521.5793,-2.1278,157.222
83,416.5119,521.5793,-3.5222,153.778
84,416.5119,521.5793,1.3389,151.889
85,416.5119,521.5793,-2.6722,149.778
86,416.5119,521.5793,0.2667,155.667
87,416.5119,521.5793,4.2556,156.556
88,416.5119,521.5793,0.9111,154.111
89,416.5119,521.5793,-8.8111,147.889
90,416.5119,521.5793,7.7000,164.000
91,416.5119,521.5793,-4.8167,157.333
92,416.5119,521.5793,3.5833,158.333
93,416.5119,521.5793,9.9611,162.111
94,416.5119,521.5793,1.1167,159.667
95,416.5119,521.5793,11.1611,165.111
96,416.5119,521.5793,-1.6056,157.444
97,416.5119,521.5793,9.8556,163.556
98,416.5119,521.5793,4.7944,162.444
99,416.5119,521.5793,3.6944,159.444
100,416.5119,521.5793,8.7000,165.000
101,416.6440,521.5505,2.3333,157.333
102,416.7083,521.3965,8.4778,162.778
103,416.7513,521.3342,11.6167,167.667
104,416.7810,521.2931,15.8056,172.556
