Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
174.1111,186.7778,186.7778,3.0111,15.6778,15.6778,1.4771,2.5403,2.5403,1.4757,2.5389,2.5389,0
158.1111,162.4444,162.4444,-7.1389,-2.8056,-2.8056,-1.1133,-0.4171,-0.4171,-0.9259,-0.2296,-0.2296,1
152.8889,164.3333,164.3333,-14.1111,-2.6667,-2.6667,-1.3359,-0.2508,-0.2508,-1.2885,-0.2034,-0.2034,2
156.3333,172.6667,172.6667,-13.0167,3.3167,3.3167,-1.5082,0.2907,0.2907,-2.1310,-0.3321,-0.3321,3
163.6667,176.5556,176.5556,-9.7333,3.1556,3.1556,-0.3692,1.6413,1.6413,-0.9984,1.0121,1.0121,4
160.8889,172.6667,172.6667,-12.3611,-0.5833,-0.5833,-0.4638,0.4269,0.4269,-1.3223,-0.4317,-0.4317,5
166.6667,184.4444,184.4444,-0.7333,17.0444,17.0444,-0.0146,1.4544,1.4544,0.4353,1.9043,1.9043,6
162.5556,179.3333,179.3333,-11.9444,4.8333,4.8333,-0.8656,0.8766,0.8766,-1.3309,0.4113,0.4113,7
159.7778,168.5556,168.5556,-3.3722,5.4056,5.4056,-0.0763,0.8225,0.8225,0.2864,1.1852,1.1852,8
163.4444,175.8889,175.8889,-6.4556,5.9889,5.9889,-0.3914,1.1842,1.1842,-0.5137,1.0619,1.0619,9
154.3333,168.0000,168.0000,-15.9167,-2.2500,-2.2500,-1.3495,0.4828,0.4828,-1.7110,0.1213,0.1213,10
164.7778,163.3333,163.3333,-12.7722,-14.2167,-14.2167,-0.3218,-0.5377,-0.5377,-1.3877,-1.6036,-1.6036,11
162.2222,178.7778,178.7778,-10.3278,6.2278,6.2278,-0.5295,1.1830,1.1830,-0.6959,1.0166,1.0166,12
163.7778,171.5556,171.5556,-8.2222,-0.4444,-0.4444,-0.5086,0.9399,0.9399,-0.6073,0.8412,0.8412,13
165.8889,177.2222,177.2222,-2.6111,8.7222,8.7222,0.3572,1.4525,1.4525,0.4890,1.5843,1.5843,14
163.0000,178.2222,178.2222,-6.2000,9.0222,9.0222,-0.6420,1.0423,1.0423,-1.2380,0.4463,0.4463,15
158.0000,168.0000,168.0000,-3.8500,6.1500,6.1500,-0.2921,0.4633,0.4633,0.5521,1.3076,1.3076,16
155.5556,163.0000,163.0000,-6.7444,0.7000,0.7000,-1.6496,-0.7163,-0.7163,-1.4670,-0.5338,-0.5338,17
169.3333,175.6667,175.6667,0.1333,6.4667,6.4667,1.0608,1.7608,1.7608,1.0806,1.7806,1.7806,18
160.4444,167.6667,167.6667,-5.8556,1.3667,1.3667,0.0922,-0.5492,-0.5492,-0.1863,-0.8277,-0.8277,19
155.3333,171.7778,171.7778,-15.5167,0.9278,0.9278,-1.9715,0.4274,0.4274,-2.6765,-0.2776,-0.2776,20
161.2222,176.0000,176.0000,-11.0278,3.7500,3.7500,-1.0100,0.8672,0.8672,-1.3273,0.5499,0.5499,21
159.2222,169.0000,169.0000,-11.2778,-1.5000,-1.5000,-0.9278,0.1086,0.1086,-1.0681,-0.0316,-0.0316,22
165.1111,170.5556,170.5556,-1.1389,4.3056,4.3056,0.4196,0.8170,0.8170,0.2446,0.6420,0.6420,23
158.8889,173.8889,173.8889,-8.6111,6.3889,6.3889,0.0200,1.1290,1.1290,-0.0873,1.0218,1.0218,24
157.6667,166.4444,166.4444,-6.8333,1.9444,1.9444,-1.2097,-0.7352,-0.7352,-1.0404,-0.5659,-0.5659,25
165.5556,168.4444,168.4444,-1.6944,1.1944,1.1944,-0.1063,0.2974,0.2974,-0.0621,0.3416,0.3416,26
155.7778,169.1111,169.1111,-15.7222,-2.3889,-2.3889,-1.0600,0.3517,0.3517,-1.4646,-0.0529,-0.0529,27
167.7778,171.7778,171.7778,-3.2222,0.7778,0.7778,0.6086,0.1068,0.1068,0.2438,-0.2579,-0.2579,28
162.3333,166.4444,166.4444,-2.2667,1.8444,1.8444,-0.1698,-0.6311,-0.6311,0.2137,-0.2476,-0.2476,29
159.7778,167.2222,167.2222,-9.5722,-2.1278,-2.1278,0.0241,0.2584,0.2584,-0.1094,0.1248,0.1248,30
164.1111,171.3333,171.3333,-5.5889,1.6333,1.6333,-0.7603,-0.2070,-0.2070,-0.6609,-0.1076,-0.1076,31
159.6667,174.8889,174.8889,-6.6333,8.5889,8.5889,-0.2699,1.4723,1.4723,0.2721,2.0143,2.0143,32
166.8889,181.8889,181.8889,-5.3611,9.6389,9.6389,0.4286,2.0638,2.0638,0.4234,2.0586,2.0586,33
159.4444,172.2222,172.2222,-8.7056,4.0722,4.0722,-1.1204,0.5844,0.5844,-2.0149,-0.3101,-0.3101,34
