,Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
46,179.0,179.3333,179.3333,11.65,11.9833,11.9833,3.0775,2.3608,2.3608,2.6555,1.9388,1.9388,46.0
47,175.2222,170.0,170.0,12.8722,7.65,7.65,0.8487,-0.2179,-0.2179,1.1459,0.0793,0.0793,47.0
48,194.4444,181.6667,181.6667,24.9444,12.1667,12.1667,4.7311,2.1921,2.1921,4.1633,1.6243,1.6243,48.0
49,180.6667,180.6667,180.6667,8.7667,8.7667,8.7667,2.7527,2.7527,2.7527,2.2635,2.2635,2.2635,49.0
50,175.5556,175.5556,175.5556,12.9556,12.9556,12.9556,2.1715,2.1715,2.1715,2.0834,2.0834,2.0834,50.0
51,177.5556,177.5556,177.5556,10.6556,10.6556,10.6556,1.7289,1.7289,1.7289,1.4854,1.4854,1.4854,51.0
52,181.0,181.0,181.0,17.6,17.6,17.6,2.5067,2.5067,2.5067,2.6675,2.6675,2.6675,52.0
53,192.6667,192.6667,192.6667,18.9667,18.9667,18.9667,4.3875,4.3875,4.3875,3.5181,3.5181,3.5181,53.0
54,185.1111,185.1111,185.1111,10.7611,10.7611,10.7611,2.6607,2.6607,2.6607,1.7187,1.7187,1.7187,54.0
55,187.2222,187.2222,187.2222,18.1222,18.1222,18.1222,3.7098,3.7098,3.7098,3.5599,3.5599,3.5599,55.0
56,190.6667,190.6667,190.6667,20.3167,20.3167,20.3167,3.7868,3.7868,3.7868,3.0759,3.0759,3.0759,56.0
57,189.3333,189.3333,189.3333,19.3833,19.3833,19.3833,3.6041,3.6041,3.6041,2.9968,2.9968,2.9968,57.0
58,186.2222,186.2222,186.2222,17.1222,17.1222,17.1222,2.9023,2.9023,2.9023,2.7468,2.7468,2.7468,58.0
59,184.1111,179.3333,179.3333,14.8111,10.0333,10.0333,2.3895,1.0135,1.0135,2.1103,0.7343,0.7343,59.0
60,187.8889,173.8889,173.8889,27.2389,13.2389,13.2389,2.9097,1.7908,1.7908,3.5888,2.4699,2.4699,60.0
61,168.0,168.0,168.0,5.55,5.55,5.55,0.5435,0.5435,0.5435,0.4174,0.4174,0.4174,61.0
62,182.7778,182.7778,182.7778,14.5778,14.5778,14.5778,1.2048,1.2048,1.2048,0.9666,0.9666,0.9666,62.0
63,188.5556,188.5556,188.5556,20.6056,20.6056,20.6056,3.4054,3.4054,3.4054,3.217,3.217,3.217,63.0
64,181.4444,181.4444,181.4444,1.4944,9.2944,9.2944,1.9785,1.9785,1.9785,1.0536,1.5078,1.5078,64.0
65,192.6667,192.6667,192.6667,18.4667,18.6667,18.6667,3.8367,3.8367,3.8367,3.2797,3.5432,3.5432,65.0
66,176.3333,176.3333,176.3333,1.5333,7.3333,7.3333,1.2915,1.2915,1.2915,0.8662,1.1893,1.1893,66.0
67,191.0,191.0,191.0,26.0,26.0,26.0,3.6002,3.6002,3.6002,3.7366,3.7366,3.7366,67.0
68,184.5556,184.5556,184.5556,20.6556,20.6556,20.6556,2.8048,2.8048,2.8048,2.8028,2.8028,2.8028,68.0
69,188.1111,188.1111,188.1111,25.0111,25.0111,25.0111,4.2052,4.2052,4.2052,4.1816,4.1816,4.1816,69.0
70,188.7778,188.7778,188.7778,19.7278,19.7278,19.7278,4.1501,4.1501,4.1501,3.6543,3.6543,3.6543,70.0
71,189.3333,189.3333,189.3333,13.2333,13.2333,13.2333,3.9938,3.9938,3.9938,3.0625,3.0625,3.0625,71.0
72,197.3333,197.3333,197.3333,31.3833,31.3833,31.3833,5.236,5.236,5.236,5.4081,5.4081,5.4081,72.0
73,183.2222,183.2222,183.2222,18.5722,18.5722,18.5722,2.8621,2.8621,2.8621,2.7154,2.7154,2.7154,73.0
74,192.8889,192.8889,192.8889,27.9889,27.9889,27.9889,4.9494,4.9494,4.9494,4.4524,4.4524,4.4524,74.0
75,194.8889,194.8889,194.8889,24.9389,24.9389,24.9389,4.994,4.994,4.994,4.5617,4.5617,4.5617,75.0
76,191.6667,191.6667,191.6667,21.1667,21.1667,21.1667,4.4709,4.4709,4.4709,3.621,3.621,3.621,76.0
77,179.5556,179.5556,179.5556,18.1056,18.1056,18.1056,2.8396,2.8396,2.8396,2.7299,2.7299,2.7299,77.0
78,183.0,183.0,183.0,21.8,21.8,21.8,3.4016,3.4016,3.4016,3.5382,3.5382,3.5382,78.0
79,183.1111,183.1111,183.1111,19.1611,19.1611,19.1611,3.3053,3.3053,3.3053,3.0326,3.0326,3.0326,79.0
80,201.1111,201.1111,201.1111,32.5111,32.5111,32.5111,5.7319,5.7319,5.7319,5.5989,5.5989,5.5989,80.0
81,205.0,205.0,205.0,35.45,35.45,35.45,6.7539,6.7539,6.7539,6.31,6.31,6.31,81.0
82,177.8889,177.8889,177.8889,6.6389,6.6389,6.6389,2.6772,2.6772,2.6772,1.4759,1.4759,1.4759,82.0
83,187.8889,187.8889,187.8889,17.7389,17.7389,17.7389,3.9937,3.9937,3.9937,3.7753,3.7753,3.7753,83.0
84,182.8889,182.8889,182.8889,13.6389,13.6389,13.6389,3.1122,3.1122,3.1122,3.0437,3.0437,3.0437,84.0
85,194.3333,194.3333,194.3333,22.3333,22.3333,22.3333,4.6964,4.6964,4.6964,4.2802,4.2802,4.2802,85.0
86,191.7778,191.7778,191.7778,20.3778,20.3778,20.3778,3.5937,3.5937,3.5937,2.7678,2.7678,2.7678,86.0
87,192.4444,192.4444,192.4444,24.3944,24.3944,24.3944,5.3121,5.3121,5.3121,4.8042,4.8042,4.8042,87.0
88,184.5556,184.5556,184.5556,19.8056,19.8056,19.8056,2.9002,2.9002,2.9002,2.7686,2.7686,2.7686,88.0
89,198.3333,198.3333,198.3333,25.9333,25.9333,25.9333,4.8293,4.8293,4.8293,4.022,4.022,4.022,89.0
90,200.3333,200.3333,200.3333,34.9333,34.9333,34.9333,6.0527,6.0527,6.0527,5.5975,5.5975,5.5975,90.0
91,191.0,191.0,191.0,23.8,23.8,23.8,4.9575,4.9575,4.9575,4.3219,4.3219,4.3219,91.0
92,192.7778,192.7778,192.7778,23.6778,23.6778,23.6778,5.1661,5.1661,5.1661,4.6544,4.6544,4.6544,92.0
93,195.7778,195.7778,195.7778,24.5778,24.5778,24.5778,5.3246,5.3246,5.3246,4.6985,4.6985,4.6985,93.0
94,200.1111,200.1111,200.1111,28.8111,28.8111,28.8111,6.4901,6.4901,6.4901,5.8337,5.8337,5.8337,94.0
95,191.6667,191.6667,191.6667,16.6167,21.9167,21.9167,4.76,4.76,4.76,3.2782,3.6412,3.6412,95.0
96,192.6667,192.6667,192.6667,15.1667,15.1667,15.1667,5.1367,5.1367,5.1367,3.7857,3.7857,3.7857,96.0
97,180.6667,180.6667,180.6667,21.0167,21.0167,21.0167,3.503,3.503,3.503,3.1677,3.1677,3.1677,97.0
98,196.0,196.0,196.0,23.6,23.6,23.6,5.039,5.039,5.039,4.3684,4.3684,4.3684,98.0
99,203.8889,203.8889,203.8889,37.9389,37.9389,37.9389,7.119,7.119,7.119,6.9879,6.9879,6.9879,99.0
100,198.7778,198.7778,198.7778,28.1778,28.1778,28.1778,6.2596,6.2596,6.2596,5.6187,5.6187,5.6187,100.0
101,193.1111,193.1111,193.1111,25.7611,25.7611,25.7611,4.4124,4.4124,4.4124,3.2964,3.2964,3.2964,101.0
102,184.5556,184.5556,184.5556,24.3056,24.3056,24.3056,3.4095,3.4095,3.4095,3.4192,3.4192,3.4192,102.0
103,196.7778,196.7778,196.7778,19.3778,19.3778,19.3778,5.3684,5.3684,5.3684,3.8161,3.8161,3.8161,103.0
104,198.2222,198.2222,198.2222,28.2722,28.2722,28.2722,5.4936,5.4936,5.4936,4.7907,4.7907,4.7907,104.0
105,190.5556,190.5556,190.5556,20.8056,20.8056,20.8056,4.1157,4.1157,4.1157,3.5668,3.5668,3.5668,105.0
106,189.7778,189.7778,189.7778,17.4278,17.4278,17.4278,3.5867,3.5867,3.5867,2.4756,2.4756,2.4756,106.0
107,201.5556,201.5556,201.5556,28.2056,28.2056,28.2056,6.6758,6.6758,6.6758,5.1791,5.1791,5.1791,107.0
108,195.2222,195.2222,195.2222,25.2722,25.2722,25.2722,5.6642,5.6642,5.6642,5.1422,5.1422,5.1422,108.0
109,191.6667,191.6667,191.6667,21.3667,21.3667,21.3667,4.7514,4.7514,4.7514,3.7591,3.7591,3.7591,109.0
110,192.0,192.0,192.0,30.2,30.2,30.2,4.7192,4.7192,4.7192,4.677,4.677,4.677,110.0
111,188.8889,188.8889,188.8889,27.8889,27.8889,27.8889,5.1183,5.1183,5.1183,5.1215,5.1215,5.1215,111.0
