,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,166.3333,166.3333,166.3333,5.2833,8.3333,8.3333,0.6409,0.6409,0.6409,0.5469,1.1917,1.1917,0
1,156.5556,156.5556,156.5556,-3.7444,0.3556,0.3556,-0.5575,-0.5575,-0.5575,-0.6603,-0.2687,-0.2687,1
2,155.8889,155.8889,155.8889,-0.8111,-2.0111,-2.0111,-0.7245,-0.7245,-0.7245,-0.9766,-0.8393,-0.8393,2
3,160.5556,160.5556,160.5556,4.5556,6.7556,6.7556,0.8843,0.8843,0.8843,1.2664,1.5311,1.5311,3
4,158.7778,158.7778,158.7778,7.1778,7.6778,7.6778,0.7902,0.7902,0.7902,0.655,1.269,1.269,4
5,159.8889,159.8889,159.8889,1.7889,5.4889,5.4889,0.7921,0.7921,0.7921,0.751,1.1972,1.1972,5
6,152.1111,152.1111,152.1111,-3.0389,-7.6389,-7.6389,-0.7487,-0.7487,-0.7487,-0.6742,-0.6527,-0.6527,6
7,152.0,152.0,152.0,-1.8,-0.1,-0.1,-0.4029,-0.4029,-0.4029,-0.0383,0.5655,0.5655,7
8,161.6667,161.6667,161.6667,6.4667,9.0667,9.0667,0.5633,0.5633,0.5633,1.1004,1.3234,1.3234,8
9,152.8889,152.8889,152.8889,-2.5111,-0.1111,-0.1111,-0.3702,-0.3702,-0.3702,-0.2324,0.3674,0.3674,9
10,159.3333,159.3333,159.3333,4.9333,5.6333,5.6333,0.5013,0.5013,0.5013,0.5974,1.2572,1.2572,10
11,159.2222,159.2222,159.2222,1.5722,-1.5778,-1.5778,0.5294,0.5294,0.5294,0.445,0.2815,0.2815,11
12,161.7778,161.7778,161.7778,3.7778,4.1278,4.1278,1.572,1.572,1.572,1.8526,1.9146,1.9146,12
13,166.4444,166.4444,166.4444,8.2444,6.2444,6.2444,0.923,0.923,0.923,0.9486,0.8534,0.8534,13
14,155.4444,155.4444,155.4444,0.8944,5.0944,5.0944,0.4148,0.4148,0.4148,0.7605,1.4607,1.4607,14
15,157.8889,157.8889,157.8889,-0.6611,-0.9611,-0.9611,0.9069,0.9069,0.9069,0.4743,0.7415,0.7415,15
16,157.8889,157.8889,157.8889,5.5389,7.2889,7.2889,1.1771,1.1771,1.1771,1.3132,1.8629,1.8629,16
17,161.3333,161.3333,161.3333,2.9333,3.4833,3.4833,1.59,1.59,1.59,1.3953,1.4353,1.4353,17
18,154.6667,154.6667,154.6667,4.0667,4.4167,4.4167,0.594,0.594,0.594,0.6228,0.6712,0.6712,18
19,165.7778,165.7778,165.7778,10.7778,9.6778,9.6778,1.2937,1.2937,1.2937,1.2776,1.9478,1.9478,19
20,165.2222,165.2222,165.2222,15.0722,14.5722,14.5722,1.9561,1.9561,1.9561,2.317,2.7351,2.7351,20
21,156.0,156.0,156.0,-3.35,0.9,0.9,0.4391,0.4391,0.4391,-0.3562,0.0701,0.0701,21
22,155.8889,155.8889,155.8889,2.1389,0.3389,0.3389,0.9211,0.9211,0.9211,0.6477,1.061,1.061,22
23,156.0,156.0,156.0,-3.7,-3.65,-3.65,0.4887,0.4887,0.4887,-0.6065,0.063,0.063,23
24,149.4444,149.4444,149.4444,-4.3056,-7.4556,-7.4556,-0.245,-0.245,-0.245,-0.0848,-0.3241,-0.3241,24
25,156.5556,156.5556,156.5556,7.0556,5.2056,5.2056,1.4357,1.4357,1.4357,1.6802,2.0912,2.0912,25
26,153.7778,153.7778,153.7778,1.2278,-3.0222,-3.0222,0.2408,0.2408,0.2408,-0.3188,-0.0166,-0.0166,26
27,166.4444,166.4444,166.4444,8.5944,12.2944,12.2944,2.1877,2.1877,2.1877,1.5473,2.1447,2.1447,27
28,158.8889,158.8889,158.8889,1.8389,2.2889,2.2889,0.8964,0.8964,0.8964,0.6518,0.6092,0.6092,28
29,166.3333,166.3333,166.3333,14.1833,13.7833,13.7833,2.08,2.08,2.08,1.9842,2.1703,2.1703,29
30,165.3333,165.3333,165.3333,13.0333,10.3833,10.3833,2.4554,2.4554,2.4554,2.3522,2.3593,2.3593,30
31,153.2222,153.2222,153.2222,-4.7278,-2.7278,-2.7278,0.2137,0.2137,0.2137,-0.2755,0.3994,0.3994,31
32,163.7778,163.7778,163.7778,12.3278,12.3778,12.3778,1.6933,1.6933,1.6933,1.653,1.5141,1.5141,32
33,171.5556,171.5556,171.5556,14.4556,13.5056,13.5056,2.9863,2.9863,2.9863,2.6557,2.4375,2.4375,33
34,161.2222,161.2222,161.2222,5.7722,1.9222,1.9222,0.7839,0.7839,0.7839,0.4652,0.6105,0.6105,34
35,160.3333,160.3333,160.3333,3.0833,2.6333,2.6333,0.8179,0.8179,0.8179,0.402,0.7507,0.7507,35
36,158.4444,158.4444,158.4444,6.0944,7.4444,7.4444,1.4314,1.4314,1.4314,1.3345,1.4843,1.4843,36
37,158.6667,158.6667,158.6667,7.3667,0.9167,0.9167,1.0921,1.0921,1.0921,1.3525,0.8204,0.8204,37
38,151.5556,151.5556,151.5556,0.8556,-1.2944,-1.2944,-0.2981,-0.2981,-0.2981,-0.1007,-0.4584,-0.4584,38
39,153.1111,153.1111,153.1111,-4.8389,-0.2889,-0.2889,0.2234,0.2234,0.2234,-0.4727,0.0102,0.0102,39
40,158.4444,158.4444,158.4444,0.0444,-4.2056,-4.2056,-0.3848,-0.3848,-0.3848,-0.7948,-1.3324,-1.3324,40
41,172.7778,172.7778,172.7778,12.5778,14.3778,14.3778,2.6944,2.6944,2.6944,1.6009,1.7457,1.7457,41
42,166.5556,166.5556,166.5556,6.5556,9.5556,9.5556,2.6797,2.6797,2.6797,1.8832,2.4722,2.4722,42
43,164.4444,164.4444,164.4444,10.1944,11.6444,11.6444,1.5096,1.5096,1.5096,1.4429,1.3889,1.3889,43
44,168.6667,168.6667,168.6667,7.9667,6.7667,6.7667,2.6065,2.6065,2.6065,1.6882,1.6574,1.6574,44
45,164.7778,164.7778,164.7778,6.4278,7.7278,7.7278,2.2553,2.2553,2.2553,1.1586,1.6974,1.6974,45
46,163.2222,163.2222,163.2222,11.9722,11.7222,11.7222,1.948,1.948,1.948,1.9962,1.8578,1.8578,46
47,159.7778,159.7778,159.7778,11.3778,3.6278,3.6278,1.5595,1.5595,1.5595,1.4835,1.1095,1.1095,47
48,162.8889,162.8889,162.8889,7.6889,4.9889,4.9889,1.2878,1.2878,1.2878,0.7182,0.9187,0.9187,48
49,165.0,165.0,165.0,13.1,8.55,8.55,2.9751,2.9751,2.9751,2.7524,2.4921,2.4921,49
50,171.1111,171.1111,171.1111,10.4111,9.0111,9.0111,4.0748,4.0748,4.0748,2.6399,2.6652,2.6652,50
