Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
179.2222,160.2222,179.2222,-0.0778,-19.0778,-0.0778,-0.0600,-1.8433,-0.0600,-0.6177,-2.4011,-0.6177,0
192.3333,169.5556,192.3333,25.2333,2.4556,25.2333,2.9996,1.0648,2.9996,3.4433,1.5085,3.4433,1
169.4444,153.3333,169.4444,-1.2056,-17.3167,-1.2056,-0.4465,-1.9470,-0.4465,-0.4346,-1.9350,-0.4346,2
177.0000,158.6667,177.0000,11.2500,-7.0833,11.2500,0.3874,-0.9337,0.3874,0.2399,-1.0812,0.2399,3
167.7778,158.0000,167.7778,3.9778,-5.8000,3.9778,-0.4622,-0.6882,-0.4622,-0.1161,-0.3421,-0.1161,4
177.2222,159.8889,177.2222,4.7722,-12.5611,4.7722,0.2955,-0.7323,0.2955,-0.3596,-1.3875,-0.3596,5
169.7778,157.6667,169.7778,-4.7722,-16.8833,-4.7722,-0.5343,-1.1093,-0.5343,-1.5848,-2.1598,-1.5848,6
164.8889,152.1111,164.8889,-2.2111,-14.9889,-2.2111,-1.8741,-2.8391,-1.8741,-1.7300,-2.6950,-1.7300,7
177.8889,159.6667,177.8889,13.2389,-4.9833,13.2389,0.6289,-0.5445,0.6289,0.9277,-0.2458,0.9277,8
183.5556,165.8889,183.5556,13.4556,-4.2111,13.4556,1.7142,0.5520,1.7142,1.3518,0.1896,1.3518,9
172.2222,162.8889,172.2222,8.9722,-0.3611,8.9722,0.9147,0.5887,0.9147,1.5976,1.2717,1.5976,10
157.3333,152.0000,157.3333,0.0333,-5.3000,0.0333,-1.6424,-2.0626,-1.6424,-0.7646,-1.1849,-0.7646,11
167.2222,153.0000,167.2222,7.0722,-7.1500,7.0722,-0.8731,-1.6011,-0.8731,-0.4626,-1.1906,-0.4626,12
166.4444,152.4444,166.4444,2.2944,-11.7056,2.2944,-0.6494,-1.9063,-0.6494,-0.5351,-1.7921,-0.5351,13
168.1111,154.7778,168.1111,4.5111,-8.8222,4.5111,0.0333,-1.1415,0.0333,0.0595,-1.1154,0.0595,14
175.2222,156.7778,175.2222,10.2222,-8.2222,10.2222,0.4164,-1.1873,0.4164,0.3047,-1.2991,0.3047,15
171.7778,159.1111,171.7778,11.1278,-1.5389,11.1278,0.7791,-0.1090,0.7791,1.1563,0.2683,1.1563,16
169.4444,156.5556,169.4444,-0.4056,-13.2944,-0.4056,0.7128,-1.2154,0.7128,-0.2943,-2.2225,-0.2943,17
163.5556,155.2222,163.5556,5.4056,-2.9278,5.4056,-0.0692,-0.2894,-0.0692,0.2545,0.0343,0.2545,18
