Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
172.6667,172.6667,172.6667,15.9667,15.9667,15.9667,2.9870,2.9870,2.9870,2.6941,2.6941,2.6941,0
175.7778,175.7778,175.7778,26.3278,26.3278,26.3278,4.5670,4.5670,4.5670,4.5666,4.5666,4.5666,1
155.1111,155.1111,155.1111,2.1111,2.1111,2.1111,1.1605,1.1605,1.1605,0.4350,0.4350,0.4350,2
162.8889,162.8889,162.8889,9.2389,9.2389,9.2389,2.8959,2.8959,2.8959,2.0273,2.0273,2.0273,3
170.7778,170.7778,170.7778,18.1778,18.1778,18.1778,4.3135,4.3135,4.3135,4.4183,4.4183,4.4183,4
176.5556,176.5556,176.5556,12.1056,12.1056,12.1056,4.2566,4.2566,4.2566,3.3308,3.3308,3.3308,5
196.1111,196.1111,196.1111,32.1111,32.1111,32.1111,8.8545,8.8545,8.8545,6.9506,6.9506,6.9506,6
163.8889,163.8889,163.8889,12.1389,12.1389,12.1389,3.5305,3.5305,3.5305,2.8334,2.8334,2.8334,7
173.5556,173.5556,173.5556,19.2056,19.2056,19.2056,4.8119,4.8119,4.8119,4.2199,4.2199,4.2199,8
167.1111,167.1111,167.1111,14.9111,14.9111,14.9111,3.6972,3.6972,3.6972,3.3277,3.3277,3.3277,9
176.8889,176.8889,176.8889,27.6389,27.6389,27.6389,5.5427,5.5427,5.5427,5.0293,5.0293,5.0293,10
186.4444,186.4444,186.4444,33.4944,33.4944,33.4944,7.6989,7.6989,7.6989,6.5874,6.5874,6.5874,11
181.3333,181.3333,181.3333,32.5833,32.5833,32.5833,7.1260,7.1260,7.1260,6.7188,6.7188,6.7188,12
171.2222,171.2222,171.2222,25.1222,25.1222,25.1222,5.1155,5.1155,5.1155,5.2697,5.2697,5.2697,13
182.3333,182.3333,182.3333,26.8333,26.8333,26.8333,6.6188,6.6188,6.6188,5.7484,5.7484,5.7484,14
188.1111,188.1111,188.1111,33.1111,33.1111,33.1111,6.9491,6.9491,6.9491,6.2304,6.2304,6.2304,15
183.5556,183.5556,183.5556,29.9556,29.9556,29.9556,7.1996,7.1996,7.1996,6.2436,6.2436,6.2436,16
174.1111,174.1111,174.1111,23.1611,23.1611,23.1611,5.2673,5.2673,5.2673,4.6557,4.6557,4.6557,17
171.0000,171.0000,171.0000,18.2500,18.2500,18.2500,4.6980,4.6980,4.6980,3.8362,3.8362,3.8362,18
175.1111,175.1111,175.1111,25.3611,25.3611,25.3611,5.1903,5.1903,5.1903,4.7712,4.7712,4.7712,19
168.3333,168.3333,168.3333,24.7333,18.0833,18.0833,4.5073,4.5073,4.5073,4.6665,4.5891,4.5891,20
182.0000,182.0000,182.0000,31.5500,30.7500,30.7500,6.0346,6.0346,6.0346,6.0169,5.5969,5.5969,21
168.0000,168.0000,168.0000,19.9500,17.9000,17.9000,4.7533,4.7533,4.7533,4.2666,3.9408,3.9408,22
173.2222,173.2222,173.2222,33.2222,30.6222,30.6222,5.9227,5.9227,5.9227,5.9527,6.3479,6.3479,23
157.4444,157.4444,157.4444,20.7944,17.8444,17.8444,3.8349,3.8349,3.8349,4.6543,4.3606,4.3606,24
172.8889,172.8889,172.8889,29.5389,23.2389,23.2389,5.2216,5.2216,5.2216,5.1477,4.3380,4.3380,25
165.4444,165.4444,165.4444,23.0444,19.6444,19.6444,4.1726,4.1726,4.1726,4.4141,4.0485,4.0485,26
171.4444,170.8889,170.8889,21.7444,21.1889,21.1889,3.7965,5.1519,5.1519,3.4027,4.7580,4.7580,27
174.0000,174.0000,174.0000,22.8500,16.5000,16.5000,5.4236,5.4236,5.4236,3.9368,4.1759,4.1759,28
179.6667,179.6667,179.6667,31.1667,33.8167,33.8167,6.8217,6.8217,6.8217,6.3422,6.8486,6.8486,29
189.2222,189.2222,189.2222,37.8722,34.2222,34.2222,8.1268,8.1268,8.1268,6.6067,6.9663,6.9663,30
178.0000,178.0000,178.0000,28.9500,23.4500,23.4500,5.3043,5.3043,5.3043,4.6862,4.8304,4.8304,31
177.7778,177.7778,177.7778,25.7278,27.5778,27.5778,5.6816,5.6816,5.6816,5.3556,5.2622,5.2622,32
183.4444,183.4444,183.4444,30.8444,30.8444,30.8444,7.0460,7.0460,7.0460,6.4108,6.4108,6.4108,33
177.0000,177.0000,177.0000,24.9500,24.9500,24.9500,5.4101,5.4101,5.4101,4.7287,4.7287,4.7287,34
179.2222,179.2222,179.2222,25.1722,25.1722,25.1722,5.8541,5.8541,5.8541,5.0122,5.0122,5.0122,35
