Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
174.1111,159.4444,159.4444,-3.2389,-1.1056,-1.1056,-0.1755,-1.4727,-1.4727,-1.3889,-1.0568,-1.0568,0
184.7778,172.2222,172.2222,2.5778,8.6722,8.6722,2.5645,1.1120,1.1120,1.2104,0.4983,0.4983,1
191.1111,174.4444,174.4444,10.7611,6.8444,6.8444,3.0025,1.1982,1.1982,1.4607,0.3261,0.3261,2
176.8889,165.1111,165.1111,3.8889,8.0611,8.0611,0.9400,0.1355,0.1355,-0.0534,0.3114,0.3114,3
181.5556,171.6667,171.6667,6.9556,11.8667,11.8667,2.3010,1.5121,1.5121,0.4361,1.2436,1.2436,4
174.5556,161.4444,161.4444,3.6056,1.3944,1.3944,0.6561,-0.3371,-0.3371,-0.3932,-0.3820,-0.3820,5
175.0000,163.4444,163.4444,0.5000,6.5444,6.5444,1.2479,0.6049,0.6049,-0.3418,-0.0051,-0.0051,6
178.6667,172.2222,172.2222,0.5667,8.6722,8.6722,1.9937,1.5063,1.5063,0.0712,0.8456,0.8456,7
173.2222,162.7778,162.7778,0.8222,3.7278,3.7278,0.9185,0.8197,0.8197,-0.7010,0.2859,0.2859,8
167.6667,159.1111,159.1111,1.6667,8.2611,8.2611,0.5558,0.1090,0.1090,-0.9400,-0.0191,-0.0191,9
176.7778,172.0000,172.0000,12.4778,15.7500,15.7500,2.2646,2.4886,2.4886,1.8677,2.1057,2.1057,10
171.7778,167.8889,167.8889,7.3778,15.4889,15.4889,1.7446,2.0430,2.0430,0.8739,2.1760,2.1760,11
180.3333,163.1111,163.1111,10.0333,-1.2389,-1.2389,2.4762,0.4784,0.4784,0.9868,-1.1096,-1.1096,12
176.4444,167.3333,167.3333,8.8444,6.8333,6.8333,1.5984,1.8266,1.8266,0.5658,1.0612,1.0612,13
180.4444,162.0000,162.0000,13.5944,2.9500,2.9500,1.9202,0.5718,0.5718,0.6177,-0.2429,-0.2429,14
177.0000,162.6667,162.6667,14.5500,10.8667,10.8667,2.0529,0.9575,0.9575,1.7696,1.0373,1.0373,15
159.6667,145.0000,145.0000,-8.6333,-7.5500,-7.5500,-0.6934,-2.2843,-2.2843,-2.2760,-2.5823,-2.5823,16
185.5556,171.7778,171.7778,12.0556,11.9778,11.9778,4.8812,2.4706,2.4706,3.6231,1.5106,1.5106,17
