Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
166.3333,166.3333,166.3333,5.2833,8.3333,8.3333,0.6409,0.6409,0.6409,0.5469,1.1917,1.1917,0
156.5556,156.5556,156.5556,-3.7444,0.3556,0.3556,-0.5575,-0.5575,-0.5575,-0.6603,-0.2687,-0.2687,1
155.8889,155.8889,155.8889,-0.8111,-2.0111,-2.0111,-0.7245,-0.7245,-0.7245,-0.9766,-0.8393,-0.8393,2
160.5556,160.5556,160.5556,4.5556,6.7556,6.7556,0.8843,0.8843,0.8843,1.2664,1.5311,1.5311,3
158.7778,158.7778,158.7778,7.1778,7.6778,7.6778,0.7902,0.7902,0.7902,0.6550,1.2690,1.2690,4
159.8889,159.8889,159.8889,1.7889,5.4889,5.4889,0.7921,0.7921,0.7921,0.7510,1.1972,1.1972,5
152.1111,152.1111,152.1111,-3.0389,-7.6389,-7.6389,-0.7487,-0.7487,-0.7487,-0.6742,-0.6527,-0.6527,6
152.0000,152.0000,152.0000,-1.8000,-0.1000,-0.1000,-0.4029,-0.4029,-0.4029,-0.0383,0.5655,0.5655,7
161.6667,161.6667,161.6667,6.4667,9.0667,9.0667,0.5633,0.5633,0.5633,1.1004,1.3234,1.3234,8
152.8889,152.8889,152.8889,-2.5111,-0.1111,-0.1111,-0.3702,-0.3702,-0.3702,-0.2324,0.3674,0.3674,9
159.3333,159.3333,159.3333,4.9333,5.6333,5.6333,0.5013,0.5013,0.5013,0.5974,1.2572,1.2572,10
159.2222,159.2222,159.2222,1.5722,-1.5778,-1.5778,0.5294,0.5294,0.5294,0.4450,0.2815,0.2815,11
161.7778,161.7778,161.7778,3.7778,4.1278,4.1278,1.5720,1.5720,1.5720,1.8526,1.9146,1.9146,12
166.4444,166.4444,166.4444,8.2444,6.2444,6.2444,0.9230,0.9230,0.9230,0.9486,0.8534,0.8534,13
155.4444,155.4444,155.4444,0.8944,5.0944,5.0944,0.4148,0.4148,0.4148,0.7605,1.4607,1.4607,14
157.8889,157.8889,157.8889,-0.6611,-0.9611,-0.9611,0.9069,0.9069,0.9069,0.4743,0.7415,0.7415,15
157.8889,157.8889,157.8889,5.5389,7.2889,7.2889,1.1771,1.1771,1.1771,1.3132,1.8629,1.8629,16
161.3333,161.3333,161.3333,2.9333,3.4833,3.4833,1.5900,1.5900,1.5900,1.3953,1.4353,1.4353,17
154.6667,154.6667,154.6667,4.0667,4.4167,4.4167,0.5940,0.5940,0.5940,0.6228,0.6712,0.6712,18
165.7778,165.7778,165.7778,10.7778,9.6778,9.6778,1.2937,1.2937,1.2937,1.2776,1.9478,1.9478,19
165.2222,165.2222,165.2222,15.0722,14.5722,14.5722,1.9561,1.9561,1.9561,2.3170,2.7351,2.7351,20
156.0000,156.0000,156.0000,-3.3500,0.9000,0.9000,0.4391,0.4391,0.4391,-0.3562,0.0701,0.0701,21
155.8889,155.8889,155.8889,2.1389,0.3389,0.3389,0.9211,0.9211,0.9211,0.6477,1.0610,1.0610,22
156.0000,156.0000,156.0000,-3.7000,-3.6500,-3.6500,0.4887,0.4887,0.4887,-0.6065,0.0630,0.0630,23
149.4444,149.4444,149.4444,-4.3056,-7.4556,-7.4556,-0.2450,-0.2450,-0.2450,-0.0848,-0.3241,-0.3241,24
156.5556,156.5556,156.5556,7.0556,5.2056,5.2056,1.4357,1.4357,1.4357,1.6802,2.0912,2.0912,25
153.7778,153.7778,153.7778,1.2278,-3.0222,-3.0222,0.2408,0.2408,0.2408,-0.3188,-0.0166,-0.0166,26
166.4444,166.4444,166.4444,8.5944,12.2944,12.2944,2.1877,2.1877,2.1877,1.5473,2.1447,2.1447,27
158.8889,158.8889,158.8889,1.8389,2.2889,2.2889,0.8964,0.8964,0.8964,0.6518,0.6092,0.6092,28
166.3333,166.3333,166.3333,14.1833,13.7833,13.7833,2.0800,2.0800,2.0800,1.9842,2.1703,2.1703,29
165.3333,165.3333,165.3333,13.0333,10.3833,10.3833,2.4554,2.4554,2.4554,2.3522,2.3593,2.3593,30
153.2222,153.2222,153.2222,-4.7278,-2.7278,-2.7278,0.2137,0.2137,0.2137,-0.2755,0.3994,0.3994,31
163.7778,163.7778,163.7778,12.3278,12.3778,12.3778,1.6933,1.6933,1.6933,1.6530,1.5141,1.5141,32
171.5556,171.5556,171.5556,14.4556,13.5056,13.5056,2.9863,2.9863,2.9863,2.6557,2.4375,2.4375,33
161.2222,161.2222,161.2222,5.7722,1.9222,1.9222,0.7839,0.7839,0.7839,0.4652,0.6105,0.6105,34
160.3333,160.3333,160.3333,3.0833,2.6333,2.6333,0.8179,0.8179,0.8179,0.4020,0.7507,0.7507,35
158.4444,158.4444,158.4444,6.0944,7.4444,7.4444,1.4314,1.4314,1.4314,1.3345,1.4843,1.4843,36
158.6667,158.6667,158.6667,7.3667,0.9167,0.9167,1.0921,1.0921,1.0921,1.3525,0.8204,0.8204,37
151.5556,151.5556,151.5556,0.8556,-1.2944,-1.2944,-0.2981,-0.2981,-0.2981,-0.1007,-0.4584,-0.4584,38
153.1111,153.1111,153.1111,-4.8389,-0.2889,-0.2889,0.2234,0.2234,0.2234,-0.4727,0.0102,0.0102,39
158.4444,158.4444,158.4444,0.0444,-4.2056,-4.2056,-0.3848,-0.3848,-0.3848,-0.7948,-1.3324,-1.3324,40
172.7778,172.7778,172.7778,12.5778,14.3778,14.3778,2.6944,2.6944,2.6944,1.6009,1.7457,1.7457,41
166.5556,166.5556,166.5556,6.5556,9.5556,9.5556,2.6797,2.6797,2.6797,1.8832,2.4722,2.4722,42
164.4444,164.4444,164.4444,10.1944,11.6444,11.6444,1.5096,1.5096,1.5096,1.4429,1.3889,1.3889,43
168.6667,168.6667,168.6667,7.9667,6.7667,6.7667,2.6065,2.6065,2.6065,1.6882,1.6574,1.6574,44
164.7778,164.7778,164.7778,6.4278,7.7278,7.7278,2.2553,2.2553,2.2553,1.1586,1.6974,1.6974,45
163.2222,163.2222,163.2222,11.9722,11.7222,11.7222,1.9480,1.9480,1.9480,1.9962,1.8578,1.8578,46
159.7778,159.7778,159.7778,11.3778,3.6278,3.6278,1.5595,1.5595,1.5595,1.4835,1.1095,1.1095,47
162.8889,162.8889,162.8889,7.6889,4.9889,4.9889,1.2878,1.2878,1.2878,0.7182,0.9187,0.9187,48
165.0000,165.0000,165.0000,13.1000,8.5500,8.5500,2.9751,2.9751,2.9751,2.7524,2.4921,2.4921,49
171.1111,171.1111,171.1111,10.4111,9.0111,9.0111,4.0748,4.0748,4.0748,2.6399,2.6652,2.6652,50
169.2222,169.2222,169.2222,18.3222,12.0722,12.0722,3.2035,3.2035,3.2035,3.4113,2.9882,2.9882,51
161.8889,161.8889,161.8889,6.2389,6.2889,6.2889,2.0040,2.0040,2.0040,1.2149,1.8170,1.8170,52
155.5556,155.5556,155.5556,6.7056,5.0556,5.0556,1.2222,1.2222,1.2222,1.0923,1.3857,1.3857,53
162.1111,162.1111,162.1111,9.4111,6.5611,6.5611,2.2817,2.2817,2.2817,1.6389,1.9365,1.9365,54
173.4444,173.4444,173.4444,19.1444,19.6444,19.6444,3.7734,3.7734,3.7734,3.4296,3.9530,3.9530,55
161.2222,161.2222,161.2222,6.5722,11.2722,11.2722,1.7363,1.7363,1.7363,1.3057,1.6846,1.6846,56
173.1111,173.1111,173.1111,13.2111,15.3111,15.3111,3.9040,3.9040,3.9040,3.0329,3.0967,3.0967,57
165.5556,165.5556,165.5556,11.2056,13.7056,13.7056,2.9882,2.9882,2.9882,2.3531,2.5442,2.5442,58
160.6667,160.6667,160.6667,2.4667,6.2667,6.2667,1.5883,1.5883,1.5883,0.8823,1.4007,1.4007,59
173.6667,173.6667,173.6667,19.0667,20.7167,20.7167,3.8917,3.8917,3.8917,3.9332,3.7509,3.7509,60
165.5556,165.5556,165.5556,12.0556,10.2556,10.2556,2.7143,2.7143,2.7143,2.1868,2.2791,2.2791,61
163.1111,163.1111,163.1111,18.8111,15.4611,15.4611,3.1819,3.1819,3.1819,3.7087,3.5776,3.5776,62
168.1111,168.1111,168.1111,17.0111,16.6611,16.6611,3.8708,3.8708,3.8708,2.9931,3.4160,3.4160,63
168.6667,168.6667,168.6667,16.9667,16.1667,16.1667,3.3005,3.3005,3.3005,2.9794,3.0095,3.0095,64
159.2222,159.2222,159.2222,2.9722,2.1222,2.1222,1.2225,1.2225,1.2225,0.3570,0.5337,0.5337,65
150.3333,150.3333,150.3333,-7.4667,-0.4667,-0.4667,-0.0013,-0.0013,-0.0013,-1.1740,-0.1911,-0.1911,66
154.8889,154.8889,154.8889,-2.2611,-2.9611,-2.9611,0.6443,0.6443,0.6443,-0.3469,-0.1921,-0.1921,67
149.3333,149.3333,149.3333,-0.4167,2.5833,2.5833,0.3689,0.3689,0.3689,-0.1016,0.3937,0.3937,68
153.2222,153.2222,153.2222,4.5722,6.3222,6.3222,0.8623,0.8623,0.8623,0.9528,1.4637,1.4637,69
157.1111,157.1111,157.1111,2.3111,-0.5389,-0.5389,1.9142,1.9142,1.9142,0.9867,0.9702,0.9702,70
151.1111,151.1111,151.1111,5.9111,4.2111,4.2111,0.6086,0.6086,0.6086,1.1873,1.3938,1.3938,71
159.1111,159.1111,159.1111,2.8611,1.6611,1.6611,1.1580,1.1580,1.1580,0.3838,0.2799,0.2799,72
160.1111,160.1111,160.1111,8.5611,3.9611,3.9611,1.7224,1.7224,1.7224,1.7815,1.4987,1.4987,73
150.8889,150.8889,150.8889,0.3889,-2.2111,-2.2111,-0.2291,-0.2291,-0.2291,-0.2381,-0.1336,-0.1336,74
165.4444,165.4444,165.4444,8.1444,6.9944,6.9944,1.4007,1.4007,1.4007,0.7303,1.0696,1.0696,75
162.8889,162.8889,162.8889,9.0889,5.7389,5.7389,1.9451,1.9451,1.9451,1.4955,1.0748,1.0748,76
172.0000,172.0000,172.0000,23.1500,22.4000,22.4000,3.0186,3.0186,3.0186,3.4674,3.7436,3.7436,77
154.2222,154.2222,154.2222,3.6222,1.6722,1.6722,1.5909,1.5909,1.5909,1.8813,1.9048,1.9048,78
156.5556,156.5556,156.5556,5.9056,5.9556,5.9556,0.4072,0.4072,0.4072,0.9090,0.9561,0.9561,79
158.6667,158.6667,158.6667,6.8167,2.5667,2.5667,1.1616,1.1616,1.1616,1.2314,1.0616,1.0616,80
161.8889,161.8889,161.8889,17.7389,8.4889,8.4889,1.3698,1.3698,1.3698,2.2393,1.5903,1.5903,81
161.4444,161.4444,161.4444,10.2944,1.9444,1.9444,1.2386,1.2386,1.2386,1.0789,0.8716,0.8716,82
164.1111,164.1111,164.1111,6.3611,4.4611,4.4611,1.5991,1.5991,1.5991,0.7455,0.8220,0.8220,83
158.4444,158.4444,158.4444,7.8944,6.1944,6.1944,0.3724,0.3724,0.3724,0.3677,0.4736,0.4736,84
163.4444,163.4444,163.4444,8.9944,7.2444,7.2444,2.0523,2.0523,2.0523,1.6456,1.6346,1.6346,85
161.1111,161.1111,161.1111,8.9111,1.5111,1.5111,0.9417,0.9417,0.9417,1.0637,0.5966,0.5966,86
154.2222,154.2222,154.2222,4.9222,2.1722,2.1722,0.6174,0.6174,0.6174,0.9409,0.9730,0.9730,87
156.2222,156.2222,156.2222,1.2222,-0.7778,-0.7778,1.1688,1.1688,1.1688,0.8734,0.8269,0.8269,88
153.8889,153.8889,153.8889,5.3889,-2.6611,-2.6611,0.2229,0.2229,0.2229,0.5043,-0.0303,-0.0303,89
156.5556,156.5556,156.5556,-3.5444,-2.9944,-2.9944,0.5134,0.5134,0.5134,-0.3639,0.1621,0.1621,90
169.8889,169.8889,169.8889,17.2389,19.8889,19.8889,3.6324,3.6324,3.6324,3.9380,4.2253,4.2253,91
162.0000,162.0000,162.0000,10.9500,5.1000,5.1000,2.1532,2.1532,2.1532,2.3064,1.9580,1.9580,92
157.4444,157.4444,157.4444,4.4444,4.7944,4.7944,0.9377,0.9377,0.9377,0.3069,0.6435,0.6435,93
156.8889,156.8889,156.8889,2.2389,-1.2111,-1.2111,0.8593,0.8593,0.8593,0.6646,0.4538,0.4538,94
164.8889,164.8889,164.8889,15.1389,11.2389,11.2389,2.0072,2.0072,2.0072,2.0976,2.0157,2.0157,95
163.7778,163.7778,163.7778,5.6278,7.9778,7.9778,2.1888,2.1888,2.1888,1.3849,2.1999,2.1999,96
164.8889,164.8889,164.8889,11.9389,16.3389,16.3389,2.5507,2.5507,2.5507,2.4251,2.8636,2.8636,97
161.3333,161.3333,161.3333,9.3833,8.1833,8.1833,2.7260,2.7260,2.7260,2.5059,2.2693,2.2693,98
159.1111,159.1111,159.1111,8.3111,13.9611,13.9611,2.4644,2.4644,2.4644,2.3238,3.1122,3.1122,99
159.0000,159.0000,159.0000,10.5500,10.4500,10.4500,2.6093,2.6093,2.6093,2.7682,3.0184,3.0184,100
163.3333,163.3333,163.3333,10.3333,12.9333,12.9333,2.5241,2.5241,2.5241,2.0240,2.9402,2.9402,101
162.1111,162.1111,162.1111,7.9611,8.8611,8.8611,2.6059,2.6059,2.6059,1.3285,2.2262,2.2262,102
170.0000,170.0000,170.0000,17.2000,10.7500,10.7500,3.2537,3.2537,3.2537,2.6808,2.3152,2.3152,103
160.1111,160.1111,160.1111,4.1111,2.5611,2.5611,2.1663,2.1663,2.1663,1.2954,1.8718,1.8718,104
163.5556,163.5556,163.5556,6.6056,4.7056,4.7056,1.7349,1.7349,1.7349,0.6953,1.0049,1.0049,105
159.8889,159.8889,159.8889,13.8889,15.8889,15.8889,2.8857,2.8857,2.8857,3.7099,3.7334,3.7334,106
163.8889,163.8889,163.8889,9.1389,8.9389,8.9389,2.1039,2.1039,2.1039,1.5137,1.6102,1.6102,107
158.5556,158.5556,158.5556,5.5556,5.3556,5.3556,1.6758,1.6758,1.6758,1.2532,2.0011,2.0011,108
157.4444,157.4444,157.4444,2.4444,1.7944,1.7944,1.1309,1.1309,1.1309,0.6741,0.9072,0.9072,109
155.5556,155.5556,155.5556,8.9056,3.6556,3.6556,0.6743,0.6743,0.6743,1.0689,0.6541,0.6541,110
168.0000,168.0000,168.0000,21.9000,16.3500,16.3500,3.1724,3.1724,3.1724,3.6108,3.1919,3.1919,111
165.8889,165.8889,165.8889,15.6389,11.0889,11.0889,3.5829,3.5829,3.5829,3.3371,3.3142,3.3142,112
155.1111,155.1111,155.1111,-2.2889,-3.3389,-3.3389,1.0175,1.0175,1.0175,-0.0873,0.1865,0.1865,113
164.1111,164.1111,164.1111,13.3611,13.5111,13.5111,2.1062,2.1062,2.1062,1.7887,1.8503,1.8503,114
165.2222,165.2222,165.2222,6.4722,7.3222,7.3222,2.9507,2.9507,2.9507,1.4985,1.5375,1.5375,115
170.4444,170.4444,170.4444,15.1944,11.0444,11.0444,3.8918,3.8918,3.8918,2.9640,3.3051,3.3051,116
169.8889,169.8889,169.8889,17.0889,16.7389,16.7389,3.2860,3.2860,3.2860,2.8760,3.1785,3.1785,117
169.3333,169.3333,169.3333,14.1333,9.6833,9.6833,3.3504,3.3504,3.3504,2.7347,2.8682,2.8682,118
155.8889,155.8889,155.8889,5.4889,4.3889,4.3889,0.7427,0.7427,0.7427,0.6093,0.7729,0.7729,119
156.1111,156.1111,156.1111,6.2111,0.9111,0.9111,1.3851,1.3851,1.3851,1.1834,0.9158,0.9158,120
157.4444,157.4444,157.4444,0.8944,0.6444,0.6444,1.8450,1.8450,1.8450,0.7251,1.2592,1.2592,121
166.0000,166.0000,166.0000,15.4500,16.4500,16.4500,3.6105,3.6105,3.6105,3.3420,3.6383,3.6383,122
161.7778,161.7778,161.7778,9.6278,7.8278,7.8278,1.7513,1.7513,1.7513,1.9711,1.8728,1.8728,123
154.4444,154.4444,154.4444,4.9944,3.7444,3.7444,1.3502,1.3502,1.3502,0.7319,1.1073,1.1073,124
160.0000,160.0000,160.0000,12.3500,6.3000,6.3000,1.7169,1.7169,1.7169,1.7961,1.2502,1.2502,125
154.1111,154.1111,154.1111,7.8611,7.0111,7.0111,1.3743,1.3743,1.3743,1.7745,1.4995,1.4995,126
157.4444,157.4444,157.4444,7.5944,7.4944,7.4944,1.3568,1.3568,1.3568,1.0305,1.2456,1.2456,127
155.6667,155.6667,155.6667,9.1167,1.0667,1.0667,1.3639,1.3639,1.3639,1.0720,1.0293,1.0293,128
157.2222,157.2222,157.2222,6.9222,4.3722,4.3722,1.3012,1.3012,1.3012,0.7125,0.7425,0.7425,129
160.0000,160.0000,160.0000,12.7500,8.3500,8.3500,2.2035,2.2035,2.2035,2.1960,1.9277,1.9277,130
148.5556,148.5556,148.5556,3.1056,0.8056,0.8056,0.1227,0.1227,0.1227,0.0320,0.4098,0.4098,131
156.1111,156.1111,156.1111,4.2111,-1.9889,-1.9889,1.6962,1.6962,1.6962,1.0337,0.3659,0.3659,132
157.2222,157.2222,157.2222,11.1222,4.8222,4.8222,2.3642,2.3642,2.3642,2.0940,2.0347,2.0347,133
157.4444,157.4444,157.4444,7.3944,-0.8556,-0.8556,2.3636,2.3636,2.3636,1.5549,1.4150,1.4150,134
158.8889,158.8889,158.8889,10.0889,5.9389,5.9389,2.9016,2.9016,2.9016,2.2359,2.1553,2.1553,135
152.2222,152.2222,152.2222,4.1722,1.0722,1.0722,0.6877,0.6877,0.6877,0.3789,0.4451,0.4451,136
158.1111,158.1111,158.1111,11.6111,7.8611,7.8611,1.9075,1.9075,1.9075,1.9918,1.8743,1.8743,137
156.2222,156.2222,156.2222,10.4722,12.8222,12.8222,2.2264,2.2264,2.2264,2.5402,2.8106,2.8106,138
156.0000,156.0000,156.0000,10.3000,11.2000,11.2000,2.2632,2.2632,2.2632,1.8756,2.0664,2.0664,139
153.7778,153.7778,153.7778,3.0778,-0.7222,-0.7222,1.2189,1.2189,1.2189,0.6653,0.4790,0.4790,140
153.7778,153.7778,153.7778,5.5778,7.0778,7.0778,0.5533,0.5533,0.5533,0.6666,0.8193,0.8193,141
161.0000,161.0000,161.0000,11.6000,7.9500,7.9500,2.2863,2.2863,2.2863,1.9660,1.5880,1.5880,142
157.4444,157.4444,157.4444,5.1944,5.6944,5.6944,2.4615,2.4615,2.4615,1.7822,2.0810,2.0810,143
150.6667,150.6667,150.6667,4.9167,1.0167,1.0167,1.0573,1.0573,1.0573,1.0107,1.1010,1.1010,144
153.3333,153.3333,153.3333,2.6333,0.5333,0.5333,0.9562,0.9562,0.9562,0.2403,-0.0325,-0.0325,145
151.6667,151.6667,151.6667,7.0667,5.5667,5.5667,1.4247,1.4247,1.4247,0.9768,1.2053,1.2053,146
141.8889,141.8889,141.8889,-9.6611,-11.2111,-11.2111,-0.5991,-0.5991,-0.5991,-1.5133,-1.3332,-1.3332,147
154.0000,154.0000,154.0000,3.3000,6.2000,6.2000,1.7293,1.7293,1.7293,1.3751,1.6722,1.6722,148
147.7778,147.7778,147.7778,0.3778,0.2778,0.2778,1.3219,1.3219,1.3219,1.1969,1.2942,1.2942,149
150.2222,150.2222,150.2222,5.9722,4.6722,4.6722,1.0328,1.0328,1.0328,1.1525,1.2507,1.2507,150
163.6667,163.6667,163.6667,15.9667,16.6667,16.6667,2.7080,2.7080,2.7080,1.9721,2.2919,2.2919,151
150.7778,150.7778,150.7778,6.4278,6.6778,6.6778,0.8718,0.8718,0.8718,0.9096,0.9184,0.9184,152
156.3333,156.3333,156.3333,8.5333,8.5833,8.5833,2.0534,2.0534,2.0534,1.9526,2.2252,2.2252,153
145.8889,145.8889,145.8889,0.5889,-3.4611,-3.4611,-0.1561,-0.1561,-0.1561,-0.3285,-0.6851,-0.6851,154
144.5556,144.5556,144.5556,5.8056,4.1056,4.1056,0.7824,0.7824,0.7824,1.2101,0.9943,0.9943,155
145.3333,145.3333,145.3333,1.3833,0.6833,0.6833,0.3625,0.3625,0.3625,-0.3321,-0.1475,-0.1475,156
141.3333,141.3333,141.3333,1.3833,-0.8667,-0.8667,-0.1012,-0.1012,-0.1012,0.5490,0.2683,0.2683,157
145.2222,145.2222,145.2222,1.0722,-1.9778,-1.9778,0.6685,0.6685,0.6685,0.5933,0.6003,0.6003,158
155.4444,155.4444,155.4444,12.5944,8.1944,8.1944,2.1898,2.1898,2.1898,2.2882,2.5310,2.5310,159
141.5556,141.5556,141.5556,1.1056,0.9556,0.9556,0.6841,0.6841,0.6841,0.9386,1.3297,1.3297,160
144.8889,144.8889,144.8889,-1.1611,2.8389,2.8389,1.2642,1.2642,1.2642,0.7626,1.1227,1.1227,161
140.0000,140.0000,140.0000,0.7500,-3.5500,-3.5500,-0.3480,-0.3480,-0.3480,0.1230,-0.0158,-0.0158,162
150.7778,150.7778,150.7778,8.7278,7.2778,7.2778,1.6521,1.6521,1.6521,1.6371,1.6635,1.6635,163
