Quality,I_BG,Raw_I,Radius,Distance,Cell_ID,Nu_ID,Set_ID
45.47601318359375,134.9091334894614,639.8196721311475,3.5,28.91911818941869,0,1,1
56.675048828125,161.95327868852462,640.1639344262295,3.5,28.91911818941869,0,2,1
34.27490234375,103.8255269320843,484.75409836065575,3.5,46.925863837105524,1,1,1
41.197296142578125,115.34800936768153,430.7049180327869,3.5,46.925863837105524,1,2,1
52.930908203125,142.62318501170958,482.78688524590166,3.5,62.47069981076661,2,1,1
32.284759521484375,97.24098360655739,397.5245901639344,3.5,62.47069981076661,2,2,1
50.11480712890625,145.24929742388755,560.327868852459,3.5,67.54447329108417,3,1,1
56.1815185546875,166.7682669789227,551.4754098360655,3.5,67.54447329108417,3,2,1
41.74185180664063,125.12096018735359,420.0491803278688,3.5,64.45818046689313,4,1,1
45.42218017578125,135.80316159250583,478.5245901639344,3.5,64.45818046689313,4,2,1
31.308013916015625,95.47576112412177,384.3114754098361,3.5,56.38715383536081,5,1,1
34.634490966796875,97.95468384074944,392.1475409836066,3.5,56.38715383536081,5,2,1
49.001220703125,139.76709601873534,469.6885245901639,3.5,66.667434286356,6,1,1
57.60186767578125,171.74660421545659,607.9180327868852,3.5,66.667434286356,6,2,1
31.419647216796875,93.49402810304451,343.78688524590166,3.5,67.19346575234849,7,1,1
39.03829956054688,119.19918032786879,415.0491803278688,3.5,67.19346575234849,7,2,1
33.59197998046875,96.87939110070262,386.5245901639344,3.5,37.10187159705995,8,1,1
39.373382568359375,111.5687353629977,457.0819672131148,3.5,37.10187159705995,8,2,1
23.85162353515625,66.53501170960186,322.4918032786885,3.5,69.17760470122948,9,1,1
32.970489501953125,98.73805620608896,388.57377049180326,3.5,69.17760470122948,9,2,1
51.38372802734375,153.19192037470725,559.7704918032787,3.5,37.76695039115756,10,1,1
55.0675048828125,163.79215456674473,542.327868852459,3.5,37.76695039115756,10,2,1
41.3079833984375,120.1533957845433,469.0819672131148,3.5,46.11780775042314,11,1,1
41.267913818359375,120.08348946135834,451.7049180327869,3.5,46.11780775042314,11,2,1
52.47607421875,158.5389929742389,628.8032786885246,3.5,54.62307675971581,12,1,1
54.270263671875,170.36592505854807,612.0491803278688,3.5,54.62307675971581,12,2,1
36.497344970703125,101.58618266978925,448.4918032786885,3.5,982.0643452863521,13,1,1
31.15679931640625,89.92576112412178,383.0655737704918,3.5,982.0643452863521,13,2,1
36.497344970703125,101.58618266978925,448.4918032786885,3.5,75.25891991496795,14,1,1
33.37518310546875,97.99484777517563,431.7377049180328,3.5,75.25891991496795,14,2,1
27.39437866210937,80.29496487119434,354.21311475409834,3.5,68.59804546349321,15,1,1
31.87921142578125,99.27283372365342,412.344262295082,3.5,68.59804546349321,15,2,1
40.91839599609375,113.48829039812645,524.1311475409836,3.5,48.59287779111435,16,1,1
35.8050537109375,97.74168618266975,411.2131147540984,3.5,48.59287779111435,16,2,1
58.42404174804688,172.594262295082,476.344262295082,3.5,65.02314525414643,17,1,1
43.74118041992188,127.3621779859485,453.9836065573771,3.5,65.02314525414643,17,2,1
