Quality,I_BG,Raw_I,Radius,Frames,Set_ID
16.613006591796875,30.702380952380967,315.6666666666667,1.5,4,1
14.033935546875,33.845238095238074,358.0952380952381,1.5,5,1
23.20733642578125,52.845238095238074,373.8095238095238,1.5,3,1
28.216278076171875,68.54761904761904,392.1904761904762,1.5,4,1
14.7314453125,32.583333333333314,279.04761904761904,1.5,3,1
19.9423828125,41.916666666666686,356.95238095238096,1.5,3,1
20.4249267578125,43.6190476190476,362.6190476190476,1.5,4,1
15.057952880859377,36.678571428571445,321.42857142857144,1.5,4,1
16.186676025390625,38.95238095238096,375.5238095238095,1.5,3,1
16.38214111328125,48.3571428571429,396.1428571428572,1.5,6,1
21.204559326171875,51.333333333333314,383.6190476190476,1.5,4,1
19.6878662109375,45.166666666666686,382.04761904761904,1.5,4,1
17.910125732421875,42.28571428571428,416.2857142857143,1.5,4,1
20.97119140625,47.559523809523796,405.8095238095238,1.5,3,1
19.05438232421875,45.226190476190425,384.6190476190476,1.5,4,1
19.078826904296875,40.88095238095235,395.5238095238095,1.5,4,1
19.509307861328125,41.630952380952415,343.6666666666667,1.5,4,1
18.97186279296875,43.0,346.85714285714283,1.5,5,1
12.282257080078123,27.48809523809524,294.6666666666667,1.5,3,1
15.042999267578123,30.500000000000004,355.85714285714283,1.5,4,1
17.2147216796875,36.75,382.04761904761904,1.5,5,1
18.07186889648437,43.404761904761926,348.9047619047619,1.5,5,1
