Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
352.6667,352.6667,352.6667,14.6667,2.2167,22.5167,-0.4488,-0.4488,-0.4488,2.2254,0.2973,1.9017,0
357.4444,357.4444,357.4444,10.1944,9.0444,20.8944,1.4511,1.4511,1.4511,3.2305,2.4142,3.3174,1
340.1111,340.1111,340.1111,8.3611,-2.3389,18.8111,-0.7967,-0.7967,-0.7967,2.0376,1.1174,2.6460,2
325.4444,325.4444,325.4444,-2.8556,-2.0556,14.6944,-3.6186,-3.6186,-3.6186,-0.6954,-2.2812,-0.3967,3
317.0000,317.0000,317.0000,3.0500,2.8500,17.1000,-3.4985,-3.4985,-3.4985,0.8399,-0.5944,0.6127,4
343.2222,343.2222,343.2222,21.3222,17.7722,40.8722,2.0809,2.0809,2.0809,4.7189,3.8696,5.9829,5
320.1111,320.1111,320.1111,-12.1389,-9.3889,-0.0889,-4.1027,-4.1027,-4.1027,-1.9073,-2.5729,-1.6944,6
308.7778,308.7778,308.7778,-29.7722,-21.8722,-4.8722,-5.6178,-5.6178,-5.6178,-4.7306,-4.3863,-3.5558,7
320.4444,320.4444,320.4444,-30.8556,-19.7556,-7.8056,-5.8677,-5.8677,-5.8677,-5.0670,-3.6815,-3.1968,8
318.2222,318.2222,318.2222,-19.8278,-27.3778,0.5722,-6.0263,-6.0263,-6.0263,-3.4473,-4.7735,-2.4296,9
323.6667,323.6667,323.6667,-0.2833,-9.7333,23.9167,-5.8306,-5.8306,-5.8306,-0.5535,-2.4156,0.6830,10
289.6667,289.6667,289.6667,-39.8333,-29.3333,-4.6833,-10.1009,-10.1009,-10.1009,-5.9701,-5.3292,-3.5674,11
304.4444,304.4444,304.4444,-16.8556,-9.5056,6.7444,-7.1904,-7.1904,-7.1904,-3.0228,-2.6861,-0.8246,12
312.8889,312.8889,312.8889,-24.0111,-29.6611,-5.9111,-7.6125,-7.6125,-7.6125,-5.6213,-7.2672,-4.7721,13
312.7778,312.7778,312.7778,-11.7222,-2.8722,7.9278,-4.3770,-4.3770,-4.3770,-0.8241,-0.7896,0.3790,14
309.3333,309.3333,309.3333,-15.4167,-14.0667,6.0333,-5.8537,-5.8537,-5.8537,-2.6833,-4.4050,-1.5841,15
315.3333,315.3333,315.3333,0.2833,-3.6167,16.3833,-3.2662,-3.2662,-3.2662,0.5220,-1.3195,0.9513,16
319.1111,319.1111,319.1111,-5.2389,-2.3389,3.6611,-4.0924,-4.0924,-4.0924,-0.5129,-1.4740,-0.3284,17
330.1111,330.1111,330.1111,4.3611,-4.9889,13.1111,-3.5283,-3.5283,-3.5283,-1.0098,-2.2018,-1.2492,18
288.1111,288.1111,288.1111,-41.0889,-26.7889,-12.5889,-8.6422,-8.6422,-8.6422,-6.6398,-5.5498,-4.9933,19
313.6667,313.6667,313.6667,-13.8333,-10.2833,0.1667,-5.0253,-5.0253,-5.0253,-2.0245,-1.6109,-0.7380,20
335.2222,335.2222,335.2222,2.6222,4.8222,21.5222,0.0541,0.0541,0.0541,1.6336,2.2263,3.1601,21
308.2222,308.2222,308.2222,-12.5278,-16.1278,4.8722,-5.5591,-5.5591,-5.5591,-1.5231,-2.4379,-0.1730,22
326.7778,326.7778,326.7778,-1.8222,-12.5222,6.2778,-2.6469,-2.6469,-2.6469,-0.0952,-1.7638,-0.3952,23
351.4444,351.4444,351.4444,-4.7056,-5.1056,16.0944,0.4461,0.4461,0.4461,1.6874,0.3277,2.2384,24
311.3333,311.3333,311.3333,-32.5167,-33.0667,-3.6167,-6.5760,-6.5760,-6.5760,-4.9920,-5.5755,-3.5047,25
307.7778,307.7778,307.7778,-36.8722,-22.5222,-8.8722,-7.2086,-7.2086,-7.2086,-5.9930,-4.4577,-3.6807,26
