Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
205.0000,202.4444,202.4444,22.3500,19.7944,19.7944,4.6444,5.7346,5.7346,3.4299,4.5200,4.5200,0
216.1111,206.8889,206.8889,36.3111,27.0889,27.0889,6.3726,6.8706,6.8706,5.8677,6.3658,6.3658,1
209.1111,203.4444,203.4444,20.8611,15.1944,15.1944,5.3952,6.4170,6.4170,3.6225,4.6444,4.6444,2
206.7778,205.6667,205.6667,25.3278,24.2167,24.2167,4.6988,5.7843,5.7843,4.1770,5.2625,5.2625,3
216.4444,216.4444,216.4444,39.6444,39.6444,39.6444,8.7118,8.7118,8.7118,8.0185,8.0185,8.0185,4
197.4444,197.4444,197.4444,16.1444,16.1444,16.1444,5.6367,5.6367,5.6367,3.9899,3.9899,3.9899,5
210.8889,210.8889,210.8889,26.1389,26.1389,26.1389,6.6621,6.6621,6.6621,5.1408,5.1408,5.1408,6
206.0000,206.0000,206.0000,25.2000,25.2000,25.2000,7.6071,7.6071,7.6071,6.1378,6.1378,6.1378,7
203.3333,203.3333,203.3333,26.9833,26.9833,26.9833,6.3101,6.3101,6.3101,5.4998,5.4998,5.4998,8
204.1111,204.1111,204.1111,22.2111,22.2111,22.2111,7.4373,7.4373,7.4373,5.7299,5.7299,5.7299,9
214.1111,214.1111,214.1111,34.1111,34.1111,34.1111,8.6090,8.6090,8.6090,7.3888,7.3888,7.3888,10
183.4444,183.4444,183.4444,8.5444,8.5444,8.5444,2.8589,2.8589,2.8589,2.1683,2.1683,2.1683,11
190.2222,190.2222,190.2222,11.1722,11.1722,11.1722,5.0637,5.0637,5.0637,3.4638,3.4638,3.4638,12
204.4444,204.4444,204.4444,27.9444,27.9444,27.9444,6.4964,6.4964,6.4964,5.3686,5.3686,5.3686,13
203.4444,203.4444,203.4444,22.2944,22.2944,22.2944,6.2708,6.2708,6.2708,4.7144,4.7144,4.7144,14
185.1111,185.1111,185.1111,8.5111,8.5111,8.5111,3.8804,3.8804,3.8804,2.7871,2.7871,2.7871,15
195.7778,195.7778,195.7778,12.1278,12.1278,12.1278,5.6947,5.6947,5.6947,3.5651,3.5651,3.5651,16
196.3333,196.3333,196.3333,19.5333,19.5333,19.5333,6.6256,6.6256,6.6256,5.5259,5.5259,5.5259,17
199.1111,199.1111,199.1111,26.7611,26.7611,26.7611,6.4083,6.4083,6.4083,5.8295,5.8295,5.8295,18
199.0000,199.0000,199.0000,15.2500,15.2500,15.2500,6.0957,6.0957,6.0957,4.5237,4.5237,4.5237,19
211.2222,211.2222,211.2222,34.3722,34.3722,34.3722,7.5008,7.5008,7.5008,6.3481,6.3481,6.3481,20
200.7778,200.7778,200.7778,25.6278,25.6278,25.6278,5.9736,5.9736,5.9736,4.8906,4.8906,4.8906,21
196.7778,196.7778,196.7778,21.3278,21.3278,21.3278,5.5069,5.5069,5.5069,4.2240,4.2240,4.2240,22
193.2222,193.2222,193.2222,22.7722,22.7722,22.7722,5.6160,5.6160,5.6160,4.9343,4.9343,4.9343,23
197.0000,197.0000,197.0000,17.5500,17.5500,17.5500,5.0221,5.0221,5.0221,3.7524,3.7524,3.7524,24
201.4444,201.4444,201.4444,21.5944,21.5944,21.5944,6.8508,6.8508,6.8508,4.9966,4.9966,4.9966,25
194.3333,194.3333,194.3333,19.5333,19.5333,19.5333,5.4744,5.4744,5.4744,4.5007,4.5007,4.5007,26
196.5556,196.5556,196.5556,21.0056,21.0056,21.0056,4.8776,4.8776,4.8776,3.6347,3.6347,3.6347,27
188.1111,188.1111,188.1111,8.5611,8.5611,8.5611,4.0454,4.0454,4.0454,2.3309,2.3309,2.3309,28
198.3333,198.3333,198.3333,22.4333,22.4333,22.4333,6.4430,6.4430,6.4430,5.1298,5.1298,5.1298,29
211.5556,211.5556,211.5556,25.1056,25.1056,25.1056,7.7154,7.7154,7.7154,5.5524,5.5524,5.5524,30
195.7778,195.7778,195.7778,18.0278,18.0278,18.0278,5.4277,5.4277,5.4277,4.2175,4.2175,4.2175,31
192.2222,192.2222,192.2222,9.3222,9.3222,9.3222,4.2248,4.2248,4.2248,1.8987,1.8987,1.8987,32
