Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
259.3333,259.3333,259.3333,18.8833,12.9833,12.9833,2.9616,2.9616,2.9616,2.0307,1.6318,1.6318,0
285.6667,285.6667,285.6667,38.8667,27.3667,27.3667,7.5182,7.5182,7.5182,5.5221,5.1469,5.1469,1
257.2222,257.2222,257.2222,11.9222,0.4722,0.4722,1.6624,1.6624,1.6624,0.2557,-0.2730,-0.2730,2
276.2222,276.2222,276.2222,36.3722,27.8222,27.8222,5.2275,5.2275,5.2275,4.1788,3.7077,3.7077,3
267.5556,267.5556,267.5556,21.0556,15.1056,15.1056,3.3005,3.3005,3.3005,2.4902,2.3245,2.3245,4
252.4444,252.4444,252.4444,23.0944,11.7444,11.7444,1.1762,1.1762,1.1762,0.8188,0.3598,0.3598,5
258.6667,258.6667,258.6667,20.9667,10.0667,10.0667,1.9838,1.9838,1.9838,1.1730,0.4441,0.4441,6
251.1111,251.1111,251.1111,32.5611,16.9611,16.9611,1.9326,1.9326,1.9326,2.5116,1.6458,1.6458,7
251.8889,251.8889,251.8889,23.9889,11.4389,11.4389,2.6127,2.6127,2.6127,1.7780,1.5710,1.5710,8
257.1111,257.1111,257.1111,30.3611,16.6111,16.6111,5.6122,5.6122,5.6122,4.1308,3.6431,3.6431,9
239.8889,239.8889,239.8889,16.9389,7.0389,7.0389,0.5229,0.5229,0.5229,0.1761,-0.4407,-0.4407,10
248.7778,248.7778,248.7778,14.4778,7.3278,7.3278,2.0095,2.0095,2.0095,0.2207,0.3104,0.3104,11
268.0000,268.0000,268.0000,33.7000,25.6000,25.6000,5.7755,5.7755,5.7755,4.1317,4.1905,4.1905,12
254.7778,254.7778,254.7778,28.9778,20.2778,20.2778,3.7075,3.7075,3.7075,2.7809,1.7712,1.7712,13
255.2222,255.2222,255.2222,27.0222,9.5722,9.5722,2.1592,2.1592,2.1592,0.7450,0.4021,0.4021,14
240.6667,240.6667,240.6667,11.8167,8.8167,8.8167,1.3548,1.3548,1.3548,0.1776,-0.1819,-0.1819,15
262.8889,262.8889,262.8889,39.8389,26.7889,26.7889,6.7632,6.7632,6.7632,5.9491,4.5902,4.5902,16
264.4444,264.4444,264.4444,26.7944,22.6444,22.6444,5.4222,5.4222,5.4222,2.9228,2.6928,2.6928,17
272.3333,272.3333,272.3333,44.3833,27.8333,27.8333,6.6166,6.6166,6.6166,5.9270,4.3733,4.3733,18
268.7778,268.7778,268.7778,39.6778,25.7778,25.7778,6.9943,6.9943,6.9943,5.3864,4.2828,4.2828,19
284.0000,284.0000,284.0000,45.9500,42.6000,42.6000,8.5209,8.5209,8.5209,6.8909,6.4906,6.4906,20
257.6667,257.6667,257.6667,37.2667,14.5667,14.5667,3.7031,3.7031,3.7031,3.5747,2.3501,2.3501,21
258.7778,258.7778,258.7778,31.6778,19.7278,19.7278,5.4845,5.4845,5.4845,4.1281,3.6120,3.6120,22
