Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
174.1111,166.8889,166.8889,-4.2389,-11.4611,-11.4611,-0.8481,-1.1758,-1.1758,-0.9781,-1.3058,-1.3058,0
178.8889,178.1111,178.1111,3.8889,3.1111,3.1111,0.8039,0.8717,0.8717,0.5343,0.6021,0.6021,1
169.5556,165.4444,165.4444,-6.1944,-10.3056,-10.3056,0.2643,-0.2347,-0.2347,-0.1607,-0.6596,-0.6596,2
165.3333,156.7778,156.7778,-13.6667,-22.2222,-22.2222,-1.7542,-3.2447,-3.2447,-2.2860,-3.7765,-3.7765,3
164.5556,162.4444,162.4444,-7.4944,-9.6056,-9.6056,-1.6694,-1.3266,-1.3266,-1.9170,-1.5741,-1.5741,4
181.1111,165.0000,165.0000,4.9111,-11.2000,-11.2000,1.3631,-0.9642,-0.9642,0.9814,-1.3459,-1.3459,5
167.7778,163.3333,163.3333,-0.8722,-5.3167,-5.3167,-0.2491,-0.2483,-0.2483,-0.1535,-0.1527,-0.1527,6
162.1111,152.5556,152.5556,-8.6889,-18.2444,-18.2444,-1.1128,-2.3394,-2.3394,-1.5576,-2.7842,-2.7842,7
165.5556,162.6667,162.6667,1.2056,-1.6833,-1.6833,-0.1071,-0.1069,-0.1069,0.2073,0.2075,0.2075,8
157.1111,156.5556,156.5556,-11.0389,-11.5944,-11.5944,-2.2371,-1.9291,-1.9291,-2.2125,-1.9045,-1.9045,9
163.5556,161.3333,161.3333,-1.8444,-4.0667,-4.0667,-1.3770,-1.4176,-1.4176,-0.6115,-0.6521,-0.6521,10
171.4444,159.5556,159.5556,1.7444,-10.1444,-10.1444,-0.0119,-1.1569,-1.1569,-0.0016,-1.1466,-1.1466,11
162.0000,162.7778,162.7778,-16.9500,-16.1722,-16.1722,-2.5543,-2.1861,-2.1861,-3.2470,-2.8787,-2.8787,12
162.7778,159.0000,159.0000,-5.7722,-9.5500,-9.5500,-1.2708,-1.3503,-1.3503,-1.5617,-1.6411,-1.6411,13
180.2222,164.0000,164.0000,7.0722,-9.1500,-9.1500,0.9864,-0.1972,-0.1972,1.2274,0.0438,0.0438,14
163.7778,159.4444,159.4444,-5.3222,-9.6556,-9.6556,-0.9515,-1.3605,-1.3605,-0.4460,-0.8550,-0.8550,15
157.0000,153.6667,153.6667,-9.6500,-12.9833,-12.9833,-1.9124,-1.4353,-1.4353,-1.7456,-1.2685,-1.2685,16
148.4444,148.8889,148.8889,-10.7056,-10.2611,-10.2611,-2.5856,-2.4514,-2.4514,-2.0064,-1.8721,-1.8721,17
158.5556,155.3333,155.3333,-9.3944,-12.6167,-12.6167,-2.0193,-1.9332,-1.9332,-2.2454,-2.1592,-2.1592,18
157.7778,153.1111,153.1111,-7.9222,-12.5889,-12.5889,-1.6647,-2.4525,-2.4525,-1.8051,-2.5928,-2.5928,19
168.6667,166.2222,166.2222,-3.5833,-6.0278,-6.0278,0.3135,0.3094,0.3094,-0.1420,-0.1461,-0.1461,20
157.7778,149.2222,149.2222,-11.7222,-20.2778,-20.2778,-1.8708,-2.3698,-2.3698,-2.3512,-2.8502,-2.8502,21
165.2222,163.5556,163.5556,0.9722,-0.6944,-0.6944,-0.1344,-0.1483,-0.1483,0.0886,0.0748,0.0748,22
