Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
184.6667,184.6667,184.6667,21.1167,14.3167,14.3167,1.4141,1.4141,1.4141,2.3985,2.2267,2.2267,0
176.6667,176.6667,176.6667,15.5167,5.1167,5.1167,0.1550,0.1550,0.1550,0.7451,0.0834,0.0834,1
180.2222,180.2222,180.2222,18.3222,15.1222,15.1222,2.4495,2.4495,2.4495,2.7851,2.6273,2.6273,2
166.5556,166.5556,166.5556,11.4556,3.6056,3.6056,-0.6440,-0.6440,-0.6440,0.0267,-0.2412,-0.2412,3
175.6667,175.6667,175.6667,18.3667,13.0167,13.0167,0.9725,0.9725,0.9725,1.6456,1.1260,1.1260,4
164.3333,164.3333,164.3333,7.7333,8.6833,8.6833,-0.6368,-0.6368,-0.6368,-0.2802,0.2458,0.2458,5
159.8889,159.8889,159.8889,6.9889,-0.4611,-0.4611,-1.1464,-1.1464,-1.1464,-0.3771,-0.9245,-0.9245,6
168.3333,168.3333,168.3333,15.6833,4.9333,4.9333,0.2621,0.2621,0.2621,0.8314,0.4666,0.4666,7
164.2222,164.2222,164.2222,8.9222,3.0222,3.0222,0.3753,0.3753,0.3753,1.3004,0.8074,0.8074,8
164.4444,164.4444,164.4444,11.4944,3.9944,3.9944,0.1610,0.1610,0.1610,0.6853,0.4924,0.4924,9
176.8889,176.8889,176.8889,18.0389,14.7389,14.7389,1.9628,1.9628,1.9628,2.2426,2.3305,2.3305,10
175.2222,175.2222,175.2222,27.5222,17.5722,17.5722,1.9315,1.9315,1.9315,2.8662,2.5260,2.5260,11
161.6667,161.6667,161.6667,6.8667,1.6167,1.6167,0.5013,0.5013,0.5013,0.6819,1.1471,1.1471,12
157.7778,157.7778,157.7778,10.0778,6.4278,6.4278,-0.7324,-0.7324,-0.7324,-0.0213,0.2128,0.2128,13
155.4444,155.4444,155.4444,7.3944,4.0944,4.0944,-1.2913,-1.2913,-1.2913,-0.2485,-0.4951,-0.4951,14
156.3333,156.3333,156.3333,0.4833,-5.7167,-5.7167,-0.9469,-0.9469,-0.9469,-1.0441,-0.8410,-0.8410,15
154.0000,154.0000,154.0000,5.6500,-1.1000,-1.1000,-1.3230,-1.3230,-1.3230,-0.6635,-1.1525,-1.1525,16
160.4444,160.4444,160.4444,7.0944,6.6944,6.6944,0.1681,0.1681,0.1681,0.8043,1.0993,1.0993,17
