,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,161.1111,161.1111,161.1111,-3.9889,-3.9889,-3.9889,0.5049,0.5049,0.5049,0.415,0.415,0.415,0
1,166.1111,166.1111,166.1111,8.3111,8.3111,8.3111,1.7133,1.7133,1.7133,1.9629,1.9629,1.9629,1
2,151.6667,151.6667,151.6667,-6.4333,-6.4333,-6.4333,-1.5079,-1.5079,-1.5079,-1.4371,-1.4371,-1.4371,2
3,166.1111,166.1111,166.1111,10.4111,10.4111,10.4111,1.3517,1.3517,1.3517,2.0332,2.0332,2.0332,3
4,163.0,163.0,163.0,8.75,8.75,8.75,2.0091,2.0091,2.0091,2.1399,2.1399,2.1399,4
5,161.4444,161.4444,161.4444,0.2444,0.2444,0.2444,0.4828,0.4828,0.4828,0.0702,0.0702,0.0702,5
6,160.4444,160.4444,160.4444,3.0944,3.0944,3.0944,0.6976,0.6976,0.6976,0.8999,0.8999,0.8999,6
7,161.0,161.0,161.0,1.25,1.25,1.25,1.446,1.446,1.446,1.2198,1.2198,1.2198,7
8,165.0,165.0,165.0,7.15,7.15,7.15,2.0523,2.0523,2.0523,1.9462,1.9462,1.9462,8
9,166.7778,166.7778,166.7778,12.1778,12.1778,12.1778,2.7682,2.7682,2.7682,3.1051,3.1051,3.1051,9
10,155.8889,155.8889,155.8889,3.7889,3.7889,3.7889,0.6816,0.6816,0.6816,1.6625,1.6625,1.6625,10
11,169.5556,169.5556,169.5556,12.4556,12.4556,12.4556,2.4846,2.4846,2.4846,2.3965,2.3965,2.3965,11
12,158.5556,158.5556,158.5556,0.7556,0.7556,0.7556,1.4067,1.4067,1.4067,1.2138,1.2138,1.2138,12
13,155.5556,155.5556,155.5556,5.8556,5.8556,5.8556,0.4608,0.4608,0.4608,0.9691,0.9691,0.9691,13
14,169.3333,169.3333,169.3333,10.8333,10.8333,10.8333,2.9056,2.9056,2.9056,2.5731,2.5731,2.5731,14
15,155.3333,155.3333,155.3333,0.4333,0.4333,0.4333,0.6613,0.6613,0.6613,0.1567,0.1567,0.1567,15
16,159.1111,159.1111,159.1111,5.0111,5.0111,5.0111,1.6787,1.6787,1.6787,1.7764,1.7764,1.7764,16
17,167.7778,167.7778,167.7778,12.3778,12.3778,12.3778,2.5817,2.5817,2.5817,2.6095,2.6095,2.6095,17
18,156.0,156.0,156.0,4.9,4.9,4.9,0.7201,0.7201,0.7201,1.3626,1.3626,1.3626,18
19,155.0,155.0,155.0,3.85,3.85,3.85,0.9369,0.9369,0.9369,1.0329,1.0329,1.0329,19
20,157.1111,157.1111,157.1111,0.7611,0.7611,0.7611,1.5807,1.5807,1.5807,1.4547,1.4547,1.4547,20
21,162.5556,162.5556,162.5556,10.3056,10.3056,10.3056,1.8977,1.8977,1.8977,2.0096,2.0096,2.0096,21
22,161.1111,161.1111,161.1111,2.9111,2.9111,2.9111,1.3595,1.3595,1.3595,1.2158,1.2158,1.2158,22
23,148.2222,148.2222,148.2222,-5.8778,-5.8778,-5.8778,-0.9591,-0.9591,-0.9591,-0.9021,-0.9021,-0.9021,23
24,161.0,161.0,161.0,-0.75,-0.75,-0.75,1.497,1.497,1.497,0.8953,0.8953,0.8953,24
