Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
181.8889,181.8889,181.8889,-18.5611,-18.5611,-18.5611,-2.1334,-2.1334,-2.1334,-2.9762,-2.9762,-2.9762,0
204.5556,204.5556,204.5556,7.2556,7.2556,7.2556,2.9034,2.9034,2.9034,2.4924,2.4924,2.4924,1
186.8889,186.8889,186.8889,-8.6611,-8.6611,-8.6611,-0.8147,-0.8147,-0.8147,-1.6625,-1.6625,-1.6625,2
191.6667,191.6667,191.6667,-0.3333,-0.3333,-0.3333,-0.1929,-0.1929,-0.1929,-0.4648,-0.4648,-0.4648,3
186.2222,186.2222,186.2222,-15.2778,-15.2778,-15.2778,0.3335,0.3335,0.3335,-1.2049,-1.2049,-1.2049,4
201.2222,201.2222,201.2222,1.7722,1.7722,1.7722,2.4596,2.4596,2.4596,1.6209,1.6209,1.6209,5
191.7778,191.7778,191.7778,-2.8222,-2.8222,-2.8222,0.9012,0.9012,0.9012,-0.5279,-0.5279,-0.5279,6
183.6667,183.6667,183.6667,-11.2333,-11.2333,-11.2333,0.3149,0.3149,0.3149,-0.7225,-0.7225,-0.7225,7
181.1111,181.1111,181.1111,-13.4389,-13.4389,-13.4389,0.0056,0.0056,0.0056,-0.2128,-0.2128,-0.2128,8
176.8889,176.8889,176.8889,-11.7111,-11.7111,-11.7111,-0.0491,-0.0491,-0.0491,-0.1495,-0.1495,-0.1495,9
179.1111,179.1111,179.1111,-14.6889,-14.6889,-14.6889,-0.5252,-0.5252,-0.5252,-1.3064,-1.3064,-1.3064,10
180.4444,180.4444,180.4444,-7.3556,-7.3556,-7.3556,-0.3335,-0.3335,-0.3335,-0.7837,-0.7837,-0.7837,11
182.4444,182.4444,182.4444,-7.1056,-7.1056,-7.1056,0.1854,0.1854,0.1854,0.0637,0.0637,0.0637,12
176.7778,176.7778,176.7778,-5.6222,-5.6222,-5.6222,0.1561,0.1561,0.1561,0.1250,0.1250,0.1250,13
186.3333,186.3333,186.3333,2.9333,2.9333,2.9333,1.1441,1.1441,1.1441,1.0478,1.0478,1.0478,14
173.7778,173.7778,173.7778,-8.8722,-8.8722,-8.8722,-0.3953,-0.3953,-0.3953,-0.9553,-0.9553,-0.9553,15
184.0000,184.0000,184.0000,1.2500,1.2500,1.2500,0.7905,0.7905,0.7905,0.9722,0.9722,0.9722,16
175.8889,175.8889,175.8889,-15.3611,-15.3611,-15.3611,-0.1253,-0.1253,-0.1253,-1.0504,-1.0504,-1.0504,17
169.8889,169.8889,169.8889,-16.9611,-16.9611,-16.9611,-2.0148,-2.0148,-2.0148,-2.2046,-2.2046,-2.2046,18
188.8889,188.8889,188.8889,0.1389,0.1389,0.1389,1.3778,1.3778,1.3778,1.1311,1.1311,1.1311,19
174.0000,174.0000,174.0000,-10.1500,-10.1500,-10.1500,0.1740,0.1740,0.1740,-0.4497,-0.4497,-0.4497,20
180.1111,180.1111,180.1111,-12.1889,-12.1889,-12.1889,-0.2399,-0.2399,-0.2399,-1.2890,-1.2890,-1.2890,21
183.6667,183.6667,183.6667,-5.1833,-5.1833,-5.1833,0.3671,0.3671,0.3671,-0.4410,-0.4410,-0.4410,22
181.2222,181.2222,181.2222,-4.4778,-4.4778,-4.4778,0.9893,0.9893,0.9893,0.6661,0.6661,0.6661,23
180.4444,180.4444,180.4444,-11.1556,-11.1556,-11.1556,0.4182,0.4182,0.4182,-0.6207,-0.6207,-0.6207,24
173.4444,173.4444,173.4444,-10.8056,-10.8056,-10.8056,-0.5561,-0.5561,-0.5561,-0.4482,-0.4482,-0.4482,25
177.3333,177.3333,177.3333,-5.9667,-5.9667,-5.9667,-0.2734,-0.2734,-0.2734,-1.0610,-1.0610,-1.0610,26
182.3333,182.3333,182.3333,4.6333,4.6333,4.6333,0.8804,0.8804,0.8804,0.7523,0.7523,0.7523,27
177.3333,177.3333,177.3333,-2.0167,-2.0167,-2.0167,-0.1035,-0.1035,-0.1035,0.2878,0.2878,0.2878,28
183.4444,183.4444,183.4444,-8.1556,-8.1556,-8.1556,0.0196,0.0196,0.0196,-0.6425,-0.6425,-0.6425,29
183.0000,183.0000,183.0000,-4.4000,-4.4000,-4.4000,-0.2681,-0.2681,-0.2681,-0.8373,-0.8373,-0.8373,30
192.2222,192.2222,192.2222,8.3222,8.3222,8.3222,2.5604,2.5604,2.5604,2.7547,2.7547,2.7547,31
181.8889,181.8889,181.8889,-5.7611,-5.7611,-5.7611,0.4572,0.4572,0.4572,-0.7277,-0.7277,-0.7277,32
173.8889,173.8889,173.8889,-12.0611,-12.0611,-12.0611,-1.0486,-1.0486,-1.0486,-1.6263,-1.6263,-1.6263,33
181.8889,181.8889,181.8889,-6.2111,-6.2111,-6.2111,0.6105,0.6105,0.6105,-0.3185,-0.3185,-0.3185,34
174.2222,174.2222,174.2222,-8.5778,-8.5778,-8.5778,-0.4738,-0.4738,-0.4738,-0.5598,-0.5598,-0.5598,35
184.0000,184.0000,184.0000,-2.8000,-2.8000,-2.8000,0.9005,0.9005,0.9005,0.1204,0.1204,0.1204,36
181.2222,181.2222,181.2222,-9.6778,-9.6778,-9.6778,1.1184,1.1184,1.1184,-0.0047,-0.0047,-0.0047,37
187.4444,187.4444,187.4444,8.4444,8.4444,8.4444,1.9904,1.9904,1.9904,2.1762,2.1762,2.1762,38
179.0000,179.0000,179.0000,-8.2000,-8.2000,-8.2000,0.1955,0.1955,0.1955,-0.9580,-0.9580,-0.9580,39
172.4444,172.4444,172.4444,-9.9556,-9.9556,-9.9556,-0.2844,-0.2844,-0.2844,-0.7815,-0.7815,-0.7815,40
190.4444,190.4444,190.4444,0.4444,0.4444,0.4444,1.8329,1.8329,1.8329,0.8070,0.8070,0.8070,41
185.3333,185.3333,185.3333,-4.7667,-4.7667,-4.7667,1.0800,1.0800,1.0800,-0.1269,-0.1269,-0.1269,42
184.1111,184.1111,184.1111,4.7111,4.7111,4.7111,1.6227,1.6227,1.6227,1.9562,1.9562,1.9562,43
182.3333,182.3333,182.3333,4.1833,4.1833,4.1833,0.2585,0.2585,0.2585,0.2377,0.2377,0.2377,44
179.6667,179.6667,179.6667,2.7167,2.7167,2.7167,0.9162,0.9162,0.9162,1.6313,1.6313,1.6313,45
179.7778,179.7778,179.7778,-6.0722,-6.0722,-6.0722,0.3363,0.3363,0.3363,-0.2457,-0.2457,-0.2457,46
179.1111,179.1111,179.1111,-4.8389,-4.8389,-4.8389,0.5203,0.5203,0.5203,-0.3077,-0.3077,-0.3077,47
181.5556,181.5556,181.5556,-4.0444,-4.0444,-4.0444,0.6525,0.6525,0.6525,0.0059,0.0059,0.0059,48
182.6667,182.6667,182.6667,-2.1833,-2.1833,-2.1833,0.9952,0.9952,0.9952,0.7948,0.7948,0.7948,49
176.2222,176.2222,176.2222,-4.2778,-4.2778,-4.2778,-0.0253,-0.0253,-0.0253,-0.1830,-0.1830,-0.1830,50
166.8889,166.8889,166.8889,-13.3611,-13.3611,-13.3611,-1.6082,-1.6082,-1.6082,-1.6900,-1.6900,-1.6900,51
174.1111,174.1111,174.1111,-10.5389,-10.5389,-10.5389,0.0653,0.0653,0.0653,-0.5418,-0.5418,-0.5418,52
181.1111,181.1111,181.1111,0.9611,0.9611,0.9611,1.4057,1.4057,1.4057,0.8968,0.8968,0.8968,53
180.5556,180.5556,180.5556,2.0056,2.0056,2.0056,0.1794,0.1794,0.1794,0.1239,0.1239,0.1239,54
