,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,189.3333,189.3333,189.3333,-1.2667,-9.9667,-9.9667,-2.373,-2.373,-2.373,-1.188,-1.7291,-1.7291,0
1,187.7778,187.7778,187.7778,0.9278,0.1778,0.1778,-2.9995,-2.9995,-2.9995,-1.0455,-1.2518,-1.2518,1
2,185.2222,185.2222,185.2222,-9.4778,-6.1778,-6.1778,-3.4322,-3.4322,-3.4322,-2.7187,-2.7488,-2.7488,2
3,175.6667,175.6667,175.6667,-13.9333,-17.2833,-17.2833,-4.4507,-4.4507,-4.4507,-3.2777,-3.9159,-3.9159,3
4,172.1111,172.1111,172.1111,-15.2389,-19.0389,-19.0389,-5.5427,-5.5427,-5.5427,-3.7454,-4.4387,-4.4387,4
5,173.2222,173.2222,173.2222,-11.6278,-10.6778,-10.6778,-4.7305,-4.7305,-4.7305,-3.3811,-3.2367,-3.2367,5
6,200.3333,200.3333,200.3333,7.7333,1.3833,1.3833,-0.0248,-0.0248,-0.0248,0.8324,0.4295,0.4295,6
7,193.8889,193.8889,193.8889,3.3389,-3.4611,-3.4611,-1.3801,-1.3801,-1.3801,-0.2735,-0.6796,-0.6796,7
8,184.5556,184.5556,184.5556,-4.1444,-6.9944,-6.9944,-3.6826,-3.6826,-3.6826,-1.9444,-2.8275,-2.8275,8
9,183.1111,183.1111,183.1111,-2.8389,-4.4889,-4.4889,-2.6376,-2.6376,-2.6376,-0.9866,-1.0581,-1.0581,9
10,192.0,192.0,192.0,2.9,-0.75,-0.75,-1.8846,-1.8846,-1.8846,-0.2584,-1.235,-1.235,10
11,177.2222,177.2222,177.2222,-16.6278,-21.4278,-21.4278,-4.0851,-4.0851,-4.0851,-4.0072,-3.9519,-3.9519,11
12,185.6667,185.6667,185.6667,-1.5833,-11.5333,-11.5333,-3.4487,-3.4487,-3.4487,-2.1708,-2.6162,-2.6162,12
13,178.0,178.0,178.0,-9.85,-13.65,-13.65,-3.4783,-3.4783,-3.4783,-2.2487,-2.8824,-2.8824,13
14,184.6667,184.6667,184.6667,4.5667,-5.1833,-5.1833,-1.7193,-1.7193,-1.7193,0.5147,-0.7125,-0.7125,14
15,196.5556,196.5556,196.5556,1.3556,-7.1944,-7.1944,-0.876,-0.876,-0.876,0.1383,-0.6494,-0.6494,15
16,180.7778,180.7778,180.7778,-13.0722,-13.9722,-13.9722,-3.724,-3.724,-3.724,-2.5888,-3.0538,-3.0538,16
17,192.5556,192.5556,192.5556,-8.4944,-12.6444,-12.6444,-3.4658,-3.4658,-3.4658,-2.9582,-3.9582,-3.9582,17
18,181.3333,181.3333,181.3333,-7.9167,-16.4167,-16.4167,-3.8979,-3.8979,-3.8979,-3.2563,-3.8201,-3.8201,18
19,183.3333,183.3333,183.3333,-5.6167,-15.7167,-15.7167,-4.2922,-4.2922,-4.2922,-2.9657,-3.6937,-3.6937,19
20,181.5556,181.5556,181.5556,-4.9944,-17.7944,-17.7944,-4.31,-4.31,-4.31,-2.531,-3.7232,-3.7232,20
21,180.0,180.0,180.0,-11.5,-17.3,-17.3,-3.4346,-3.4346,-3.4346,-2.3891,-2.8988,-2.8988,21
22,190.0,190.0,190.0,0.95,-12.55,-12.55,-2.4495,-2.4495,-2.4495,-1.2991,-2.5217,-2.5217,22
23,202.0,202.0,202.0,7.25,3.3,3.3,-0.9718,-0.9718,-0.9718,-0.2537,-0.263,-0.263,23
24,184.7778,184.7778,184.7778,-2.1222,-13.2722,-13.2722,-2.8811,-2.8811,-2.8811,-1.5162,-2.2682,-2.2682,24
25,191.0,191.0,191.0,10.2,2.15,2.15,-1.5897,-1.5897,-1.5897,0.6024,-0.3896,-0.3896,25
26,189.5556,189.5556,189.5556,3.2056,-5.3944,-5.3944,-2.5039,-2.5039,-2.5039,-0.6995,-1.3577,-1.3577,26
27,185.8889,185.8889,185.8889,-0.8111,-9.6111,-9.6111,-3.812,-3.812,-3.812,-1.8762,-2.8045,-2.8045,27
28,178.8889,178.8889,178.8889,-10.0111,-13.0111,-13.0111,-4.4885,-4.4885,-4.4885,-3.2753,-4.1485,-4.1485,28
29,184.8889,184.8889,184.8889,-0.9111,-1.1611,-1.1611,-2.2044,-2.2044,-2.2044,-0.9496,-0.6347,-0.6347,29
30,187.0,187.0,187.0,-0.55,-10.65,-10.65,-3.4574,-3.4574,-3.4574,-2.5159,-3.3169,-3.3169,30
31,171.4444,171.4444,171.4444,-13.1556,-25.2056,-25.2056,-4.8759,-4.8759,-4.8759,-4.5132,-5.5039,-5.5039,31
32,175.2222,175.2222,175.2222,-10.7278,-13.5278,-13.5278,-4.2782,-4.2782,-4.2782,-2.8531,-3.2261,-3.2261,32
33,195.4444,195.4444,195.4444,10.6444,-1.7556,-1.7556,-1.5347,-1.5347,-1.5347,-0.2839,-0.9003,-0.9003,33
34,182.4444,182.4444,182.4444,-0.9056,-5.3056,-5.3056,-2.8673,-2.8673,-2.8673,-2.1075,-2.0475,-2.0475,34
35,191.7778,191.7778,191.7778,2.2278,-5.8222,-5.8222,-2.6966,-2.6966,-2.6966,-2.4828,-3.383,-3.383,35
36,177.5556,177.5556,177.5556,-7.6944,-18.2444,-18.2444,-4.8879,-4.8879,-4.8879,-3.8205,-5.3899,-5.3899,36
