Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
183.5556,183.5556,183.5556,3.0556,4.1056,4.1056,0.6270,0.6270,0.6270,1.2416,1.2316,1.2316,0
180.2222,180.2222,180.2222,-0.0778,1.9722,1.9722,1.1225,1.1225,1.1225,1.4866,1.7458,1.7458,1
167.3333,167.3333,167.3333,-14.9167,-16.9167,-16.9167,-2.1080,-2.1080,-2.1080,-2.3081,-2.3472,-2.3472,2
176.6667,176.6667,176.6667,-3.4333,-3.2833,-3.2833,0.9657,0.9657,0.9657,0.9873,0.8974,0.8974,3
170.6667,170.6667,170.6667,0.3167,0.5667,0.5667,-0.2735,-0.2735,-0.2735,0.8909,0.6813,0.6813,4
173.6667,173.6667,173.6667,-3.2333,-1.8833,-1.8833,0.4329,0.4329,0.4329,0.9776,0.6572,0.6572,5
167.8889,167.8889,167.8889,-13.1611,-7.1611,-7.1611,-0.9962,-0.9962,-0.9962,-1.4727,-1.0851,-1.0851,6
180.0000,180.0000,180.0000,0.4000,-1.8000,-1.8000,1.3866,1.3866,1.3866,1.2652,1.2212,1.2212,7
171.4444,171.4444,171.4444,-6.3556,-8.9056,-8.9056,-0.1562,-0.1562,-0.1562,-0.0772,-0.6612,-0.6612,8
171.8889,171.8889,171.8889,-3.3111,-5.7111,-5.7111,0.1959,0.1959,0.1959,0.6660,-0.2143,-0.2143,9
166.6667,166.6667,166.6667,-2.5333,-7.3333,-7.3333,-1.0817,-1.0817,-1.0817,-0.0022,-0.8318,-0.8318,10
167.7778,167.7778,167.7778,-6.7722,-7.8222,-7.8222,-0.8693,-0.8693,-0.8693,-0.4094,-1.0469,-1.0469,11
173.4444,173.4444,173.4444,-0.4556,-0.1056,-0.1056,0.4988,0.4988,0.4988,0.7833,0.3812,0.3812,12
167.4444,167.4444,167.4444,-6.2556,-9.9556,-9.9556,-0.7067,-0.7067,-0.7067,-0.3198,-0.9793,-0.9793,13
170.7778,170.7778,170.7778,-2.2222,-3.5222,-3.5222,0.4774,0.4774,0.4774,0.3207,0.1740,0.1740,14
169.0000,169.0000,169.0000,-8.6000,-4.7500,-4.7500,-0.4428,-0.4428,-0.4428,-0.9279,-0.9125,-0.9125,15
166.1111,166.1111,166.1111,-2.8889,-3.5389,-3.5389,-0.6311,-0.6311,-0.6311,-0.1651,-0.5965,-0.5965,16
161.1111,161.1111,161.1111,-8.0389,-10.6389,-10.6389,-1.3252,-1.3252,-1.3252,-1.1178,-1.3558,-1.3558,17
169.7778,169.7778,169.7778,-8.2222,-8.0222,-8.0222,0.1304,0.1304,0.1304,-0.2736,-0.4896,-0.4896,18
165.0000,165.0000,165.0000,-3.1500,-12.3000,-12.3000,-1.6176,-1.6176,-1.6176,-0.9043,-1.8029,-1.8029,19
169.4444,169.4444,169.4444,-0.3056,1.8944,1.8944,0.7864,0.7864,0.7864,1.3460,0.9634,0.9634,20
