Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
216.3333,219.4444,219.4444,9.7833,12.8944,12.8944,2.2793,1.3571,1.3571,3.2352,2.3130,2.3130,0
213.6667,230.6667,230.6667,-3.9833,13.0167,13.0167,1.6616,2.5058,2.5058,1.3475,2.1917,2.1917,1
217.7778,225.5556,225.5556,-11.0722,-3.2944,-3.2944,0.5613,-0.7174,-0.7174,-0.6493,-1.9280,-1.9280,2
228.3333,241.6667,241.6667,-3.2667,10.0667,10.0667,2.4813,2.1336,2.1336,1.5713,1.2237,1.2237,3
216.7778,227.1111,227.1111,-15.8722,-5.5389,-5.5389,1.2515,-0.5108,-0.5108,0.3864,-1.3759,-1.3759,4
217.6667,229.8889,229.8889,-9.8333,2.3889,2.3889,0.6272,0.8390,0.8390,-0.4384,-0.2267,-0.2267,5
200.5556,214.4444,214.4444,-17.7444,-3.8556,-3.8556,-1.3729,-0.8999,-0.8999,-1.4460,-0.9730,-0.9730,6
190.2222,197.1111,197.1111,-26.1778,-19.2889,-19.2889,-1.1916,-2.0905,-2.0905,-0.9685,-1.8675,-1.8675,7
220.7778,230.4444,230.4444,0.4778,10.1444,10.1444,1.4202,1.8313,1.8313,0.9303,1.3414,1.3414,8
210.8889,221.2222,221.2222,-8.2111,2.1222,2.1222,1.0799,1.6381,1.6381,0.2798,0.8380,0.8380,9
200.3333,212.0000,212.0000,-10.2667,1.4000,1.4000,-1.8630,-1.3262,-1.3262,-1.5259,-0.9890,-0.9890,10
213.4444,236.1111,236.1111,-5.9556,16.7111,16.7111,2.0821,3.2463,3.2463,0.9097,2.0740,2.0740,11
192.3333,204.5556,204.5556,-12.0667,0.1556,0.1556,-0.8948,0.2466,0.2466,-1.1982,-0.0568,-0.0568,12
200.3333,216.3333,216.3333,-11.6667,4.3333,4.3333,0.9531,1.9182,1.9182,-0.3473,0.6178,0.6178,13
198.2222,207.4444,207.4444,-16.3278,-7.1056,-7.1056,-0.6244,-0.5821,-0.5821,-1.8186,-1.7763,-1.7763,14
201.5556,209.7778,209.7778,-14.6444,-6.4222,-6.4222,0.8454,0.9098,0.9098,-1.5077,-1.4433,-1.4433,15
227.6667,240.8889,240.8889,4.1667,17.3889,17.3889,3.1321,4.2483,4.2483,0.9875,2.1036,2.1036,16
199.2222,212.6667,212.6667,-10.3278,3.1167,3.1167,-0.3541,0.8096,0.8096,-1.1247,0.0390,0.0390,17
205.4444,217.8889,217.8889,-10.0056,2.4389,2.4389,1.0856,2.1543,2.1543,-0.1689,0.8998,0.8998,18
204.3333,215.6667,215.6667,-1.9167,9.4167,9.4167,1.6778,2.7711,2.7711,1.2059,2.2993,2.2993,19
200.6667,208.2222,208.2222,2.8167,10.3722,10.3722,2.0149,0.9698,0.9698,3.3409,2.2958,2.2958,20
204.1111,201.0000,201.0000,8.7111,5.6000,5.6000,1.4399,0.1906,0.1906,1.5038,0.2545,0.2545,21
201.7778,211.1111,211.1111,-1.4222,7.9111,7.9111,1.0615,0.3832,0.3832,1.1084,0.4301,0.4301,22
192.7778,203.6667,203.6667,-18.0722,-7.1833,-7.1833,-0.6952,-0.5034,-0.5034,-1.5272,-1.3354,-1.3354,23
198.0000,214.0000,214.0000,-13.5500,2.4500,2.4500,-0.2907,0.8949,0.8949,-1.0447,0.1409,0.1409,24
211.4444,223.7778,223.7778,-3.8556,8.4778,8.4778,2.8967,4.5435,4.5435,1.6229,3.2697,3.2697,25
197.5556,198.4444,198.4444,1.3056,2.1944,2.1944,-0.2726,-1.5397,-1.5397,0.2276,-1.0394,-1.0394,26
198.8889,207.3333,207.3333,-8.5111,-0.0667,-0.0667,0.2418,0.4215,0.4215,-0.6729,-0.4931,-0.4931,27
197.5556,213.7778,213.7778,-2.1444,14.0778,14.0778,0.6317,1.4774,1.4774,1.6146,2.4604,2.4604,28
201.1111,209.5556,209.5556,-3.5889,4.8556,4.8556,0.8178,0.9548,0.9548,0.6684,0.8054,0.8054,29
201.2222,216.5556,216.5556,-8.5778,6.7556,6.7556,0.6419,1.8108,1.8108,0.2787,1.4476,1.4476,30
192.7778,211.0000,211.0000,-15.4722,2.7500,2.7500,-0.8685,-0.9069,-0.9069,-1.5350,-1.5733,-1.5733,31
211.2222,231.6667,231.6667,-4.3778,16.0667,16.0667,1.9581,4.9142,4.9142,1.1458,4.1019,4.1019,32
217.6667,226.6667,226.6667,4.0667,13.0667,13.0667,2.3982,2.5584,2.5584,2.0149,2.1751,2.1751,33
190.2222,213.3333,213.3333,-16.4778,6.6333,6.6333,-0.7996,1.2433,1.2433,-1.1380,0.9050,0.9050,34
218.5556,228.1111,228.1111,10.5056,20.0611,20.0611,3.8264,3.2674,3.2674,3.7565,3.1975,3.1975,35
191.1111,208.3333,208.3333,-12.2889,4.9333,4.9333,-0.9690,0.5466,0.5466,-1.2768,0.2388,0.2388,36
223.2222,230.1111,230.1111,10.0222,16.9111,16.9111,4.1933,2.7730,2.7730,3.2652,1.8449,1.8449,37
211.5556,216.6667,216.6667,-4.5444,0.5667,0.5667,3.0779,2.5221,2.5221,1.2072,0.6515,0.6515,38
199.5556,207.3333,207.3333,-23.3944,-15.6167,-15.6167,0.7657,0.2299,0.2299,-1.9359,-2.4718,-2.4718,39
181.4444,195.6667,195.6667,-28.8556,-14.6333,-14.6333,-2.9670,-3.3968,-3.3968,-4.0780,-4.5078,-4.5078,40
205.5556,205.5556,205.5556,-1.3444,-1.3444,-1.3444,0.3377,-0.4806,-0.4806,0.1097,-0.7085,-0.7085,41
192.0000,201.1111,201.1111,-15.2000,-6.0889,-6.0889,-1.3611,-1.9968,-1.9968,-1.7280,-2.3637,-2.3637,42
