Set,Compact,Expanded,STD,SEM,Count,N_replicates
Sec2_GFP,0.265355587808418,0.7346444121915822,0.0313270731356992,0.0601224069854416,173,3
WT,0.324334772330147,0.675665227669853,0.0348398580478353,0.0767092223417013,136,3
Sec9_GFP,0.0898018300066489,0.9101981699933512,0.0187389090704194,0.0355088452336265,202,3
Sec18_AA,0.0572966175717598,0.94270338242824,0.0128035304084354,0.0348007504500289,220,3
