3.310720852186058855e-02 2.993671925794526290e-02 2.768328984077239943e-02 2.544273766597492450e-02 2.329950389265178848e-02 1.884525886663583269e-02 1.496826883814712274e-02 1.052078072963325700e-02 6.614656472286948273e-03 4.160748281818118892e-03 2.339043038623316636e-03 1.201455045739271239e-03 7.460832267972136375e-04 3.639898259720061782e-04 2.130913100824418163e-04 1.495295200894505893e-04 1.484077616197152698e-04 9.359123614560505629e-05 8.815277326462036384e-05 7.748389394008611602e-05
2.707824793685061765e-02 2.881533953873106554e-02 2.881963495601384817e-02 2.646645602290323071e-02 2.359377706424559823e-02 1.941927215639714308e-02 1.581374907917380487e-02 1.145397160719796754e-02 7.781751626100895901e-03 4.731991944509496284e-03 2.661604210513273620e-03 1.500248292502181146e-03 7.049336467891642545e-04 3.793785590095252866e-04 2.019204589089472653e-04 1.692280477280557740e-04 1.189199722210780759e-04 1.007687032582298164e-04 1.059746221675252482e-04 8.283155477834802378e-05
2.640808077493059236e-02 2.705809792794357585e-02 2.672772766977750056e-02 2.515477126573869779e-02 2.377224132039503640e-02 2.050711502172890971e-02 1.594940097435648338e-02 1.281267946684875453e-02 8.765497904990211808e-03 5.678045444809219459e-03 2.998137581020220762e-03 1.822312519380234761e-03 9.599672843475694087e-04 5.032470272748131197e-04 2.376548950331829155e-04 1.770558826664333162e-04 1.742987176807247486e-04 1.038254521871555204e-04 8.969852791020732315e-05 1.001443409804901900e-04
2.314373756479755351e-02 2.489334806261142910e-02 2.315952538975053765e-02 2.309022253419534473e-02 2.381701606881390931e-02 2.147687640307886781e-02 1.802315622154735883e-02 1.383477283419614137e-02 1.047125135837736511e-02 7.392127020621514985e-03 4.619434990202281668e-03 2.745136042763034884e-03 1.445759066771035335e-03 7.975311884341736244e-04 3.878203270883948724e-04 2.300262221940950827e-04 1.493547546842947731e-04 1.069239640928451818e-04 1.288716478711291879e-04 8.710833790865249557e-05
2.120384464673448488e-02 2.021278298217017710e-02 2.234488225717872964e-02 2.307371355707089206e-02 2.190270103325856962e-02 2.153832911530123920e-02 1.898579152989196203e-02 1.579776869960849636e-02 1.232361319653817698e-02 8.444451939534093274e-03 5.864448787554577512e-03 3.489883466616116019e-03 2.261151962713381109e-03 1.022258589174237240e-03 5.283999537244468908e-04 3.591247830236750328e-04 2.278422984832407193e-04 1.484417747967157965e-04 1.343502821298994795e-04 1.362191444969080417e-04
1.761531219470895832e-02 1.820788893346301715e-02 1.977494169553271897e-02 2.124150530351527622e-02 2.127150232794421114e-02 2.164551360660556603e-02 1.963676660083598854e-02 1.768333234975476287e-02 1.394926436226976048e-02 1.107338468444938814e-02 7.447818932797951007e-03 4.427817376435015662e-03 2.613382176157222087e-03 1.504412541009550854e-03 6.718575251269425690e-04 4.378728822389595251e-04 2.923519425487878186e-04 2.143843411409217172e-04 1.358717331246622967e-04 1.548184903403309546e-04
1.391578910995370025e-02 1.595709481950870548e-02 1.846527736310785844e-02 1.858553965043045764e-02 1.990564658593419606e-02 2.060672492114716189e-02 1.957778103926371624e-02 1.908350882248004837e-02 1.615099701789177861e-02 1.311962455670017194e-02 9.292907539023516350e-03 6.487306221927390502e-03 3.969470035831169745e-03 2.185143168941470256e-03 1.183985997330745362e-03 6.646501198926212496e-04 3.243362355668203832e-04 1.770149510848878711e-04 1.879413808332826155e-04 1.592604631502945274e-04
1.159044838684730565e-02 1.250186769783763995e-02 1.405626503076480224e-02 1.643069175627397821e-02 1.874246457338482261e-02 2.031933288580083791e-02 2.140739480297394054e-02 1.952909421194214817e-02 1.723644718657389024e-02 1.543416688318579102e-02 1.158378147322457891e-02 8.318407855244552146e-03 5.394235224979134977e-03 3.450834750400288628e-03 1.886219360101106879e-03 1.036978169933416329e-03 4.757195538858692888e-04 2.481224342101678556e-04 2.201063118178914907e-04 1.374214506178855733e-04
9.205805152804181699e-03 1.031625448838168792e-02 1.243345129494054235e-02 1.424560855240084196e-02 1.652130067154823634e-02 1.918468984333798408e-02 2.038100681509313894e-02 2.071757187524364552e-02 1.962327077393495947e-02 1.715235572577179443e-02 1.402031858552127939e-02 1.015317331372325022e-02 6.644284415726448359e-03 4.020543826147052364e-03 2.612382447914903850e-03 1.279992514403040975e-03 6.818978652425385263e-04 3.553376409262056662e-04 2.812466177136793309e-04 1.695075792246099821e-04
6.298889024796435962e-03 8.757920489810477535e-03 1.091206221314939238e-02 1.268363312974103881e-02 1.440071528807587709e-02 1.728239528394318394e-02 1.950430741150540118e-02 2.095244815146640044e-02 2.054517592321691496e-02 1.852578106635757033e-02 1.546120561152470978e-02 1.184500107999081515e-02 8.831701050121314178e-03 5.653482922150584664e-03 3.794136255829175589e-03 2.057834645249076964e-03 1.220803930847294333e-03 6.426177415189634774e-04 3.814249578385993421e-04 2.484638228667627210e-04
6.072112341139573356e-03 6.239427467200566076e-03 7.007965028395939794e-03 8.860504980838969022e-03 1.331629111838925246e-02 1.505840964593615008e-02 1.791625490552588643e-02 1.982904582619753400e-02 2.127286991148905765e-02 2.051520796246054934e-02 1.826310034683988753e-02 1.504676758842015544e-02 1.163870564858049926e-02 7.849729638851901670e-03 4.917298547633089552e-03 2.966438147721501325e-03 1.685420229881110432e-03 7.796508674139954534e-04 4.384826402397958250e-04 3.263171568446033991e-04
4.383967157774127862e-03 4.363163349354832153e-03 5.503896910835638125e-03 8.325909605079832854e-03 1.034798114483674071e-02 1.493939885635253706e-02 1.635173626316317741e-02 1.979755845829942601e-02 2.043296037438327786e-02 2.222006347140572866e-02 1.997748767973206788e-02 1.623047829209395970e-02 1.310095808022216507e-02 9.543239485861231691e-03 6.103752986789699915e-03 3.965738975679397420e-03 2.236906038754941841e-03 1.160554239372465915e-03 6.059375948978594582e-04 4.083110351108607395e-04
3.046921898502454474e-03 3.528931861601981076e-03 5.483853568608292733e-03 6.878366795420302882e-03 8.015472223417311609e-03 1.110671592385479439e-02 1.397955327044259934e-02 1.776873335476427188e-02 2.088945227435120081e-02 2.065866274411549616e-02 2.128091887542827437e-02 1.894556320813541375e-02 1.545646494757979029e-02 1.195808070804567705e-02 8.322798552608321257e-03 5.602896928796276439e-03 3.294610001525523531e-03 1.925366734504195716e-03 1.207446280132356371e-03 6.491898481654812024e-04
2.646378579438215303e-03 2.834060419037285998e-03 3.559553522944041391e-03 5.773887169165523719e-03 7.857118945868072843e-03 1.037600514988875483e-02 1.259686797188394602e-02 1.671060676523756713e-02 1.955458301250093817e-02 2.066501986548936395e-02 2.089293411371371395e-02 1.965788567820486721e-02 1.726630850647020016e-02 1.365560966952449051e-02 9.848433944132239590e-03 7.222204002046207251e-03 4.275249405628843077e-03 2.430235601609853722e-03 1.318729274780515654e-03 8.583284024353370067e-04
1.674350000432958370e-03 2.702487542955176857e-03 2.874188845849150013e-03 4.018973524761066535e-03 5.605289932637188242e-03 8.467492783065130174e-03 1.081136293118581219e-02 1.407149812543243526e-02 1.747822914340061221e-02 2.019888742862022135e-02 2.012633055034597149e-02 2.148590824311785025e-02 1.885259357377716549e-02 1.648824021116552033e-02 1.247885130740466857e-02 9.226510583923191317e-03 6.299315299409993102e-03 3.853585311715827712e-03 2.169862968780700459e-03 1.116041692019332805e-03
