,File_ID,Site_ID,Label,N_Locs,R_Raw,R_2nd,R_PCA,R_w,GFP_Distance,Nt_Locs_Gr,PCA_Ratio,PCA_Theta,PCA_Center_X,PCA_Center_Y,GFP_Center_X,GFP_Center_Y,Mass_Center_X,Mass_Center_Y,Fill_Factor,Ratio_Var,Nexos,Inner_Radius,z1,z2,varX,varY,Mean_Angle,R_Tau,Sigma_Tau,Tau_Center_X,Tau_Center_Y,Tau_Shift,R_LM,Sigma_LM,LM_Center_X,LM_Center_Y,LM_Shift,Inner_Radius_Tau,z1_Tau,z2_Tau,varX_Tau,varY_Tau,Mean_Angle_Tau,Fill_Factor_Tau,Ratio_Var_Tau,GT,Rv,Max_Exos
0,Ring_Random_MaxExos_6_Rv_3,0,Exp_Path,65,41.08208519337607,39.39754082861706,39.56524676226172,28.58303078277974,2.5993060314160186,66,0.6714211945277174,0.6933335304150302,-9.327471167375565,-1.7319315313200043,0,0,-11.326648948319031,-3.3931600060150573,0.9375,1.0002211939769696,6,8.289110524659277,0.06477635319628164,0.10192176638332939,0.49784695165971543,0.4979570724068752,-2.9406726868982247,29.49426116535606,12.293293391557453,8.82069920878553,-0.4303076070121948,8.831189000838009,25.920143121200887,11.495473049448155,3.4107661959292566,0.6669720950327936,3.4753672926535644,8.089798846254059,0.2594703382775614,0.14853071868233697,0.47395770204131776,0.4587174415128101,-3.086540297143864,0.625,0.9678446822092595,Random,16.173617004818535,6.0
1,Ring_Random_MaxExos_6_Rv_3,1,Exp_Path,108,49.32301076499661,43.91823282313481,49.09046868944219,35.97008759798934,17.068637903820104,113,0.7408457580528446,-0.9668580092836988,-0.7824520351578492,-13.326241178441483,0,0,-10.468262943386046,0.7280630356337219,0.875,0.9617102648732867,5,8.821625210779201,0.08180933770315042,0.2814421628272891,0.5063475733653934,0.4869596588991784,-3.0032782533650617,39.688800421420375,13.603563277244682,16.170379780221225,-18.718794230401688,24.736095885905417,37.21464591076859,13.400003415486562,16.388096128605955,-18.25507961097671,24.531971513181063,18.529548762439294,0.6606961591383053,0.14422997485227568,0.3346353376184628,0.22884524768142836,2.2936325232851513,0.5625,0.6838645592843757,Random,15.582178469410822,6.0
2,Ring_Random_MaxExos_6_Rv_3,2,Exp_Path,46,64.6912725754396,44.57183381279059,38.71199277347949,28.154947130384272,1.415261842333392,52,0.5890227235155552,-0.5072908687937117,2.555340954410586,-4.802050444364774,0,0,3.830007207366641,-4.187077253128052,0.75,1.2088626145209367,6,13.213073494953571,0.04509941040442524,0.14565395191295483,0.45180086648241563,0.5461651766987576,-1.104662524364366,47.2520039276677,18.500811219558923,-19.76845608921374,28.78131185638605,34.91641116045176,28.28009336217192,14.849774796297334,2.362070659627697,1.0507176313047344,2.5852244277448437,18.716969950802273,0.7572391903278288,0.3876709693228598,0.21949718824248357,0.20709162038917064,-0.9116935607065411,0.3125,0.9434818826033972,Random,17.449866938513992,6.0
3,Ring_Random_MaxExos_6_Rv_3,3,Exp_Path,53,58.78327687470162,51.13716789940714,52.3407360832818,37.63634668998248,7.971336179943414,55,0.724041964057098,-1.0937993390348724,-1.7307594666735282,-7.926852787118805,0,0,-5.390507047664573,-0.8452958864715295,0.5,0.690918467318419,5,14.162274634279875,0.020495256925172477,0.3348857333259112,0.5911461514929088,0.4084337929506625,-2.5568158186677143,37.08123121921734,15.305646196442384,-0.03959108323994234,6.389631913284994,6.38975456814596,33.394687667685155,14.934829553160675,1.0805676031368026,1.7023297804191384,2.0163216574372966,13.635594770630123,0.1705427453642578,0.2933843709124173,0.583435460863231,0.3874797111403909,-1.476574622560388,0.5,0.6641346594995946,Random,15.78064493365414,6.0
4,Ring_Random_MaxExos_6_Rv_3,4,Exp_Path,50,50.48894707336647,35.75339180949401,34.25225312631225,27.213386659106813,1.6725079607815414,53,0.60187645640626,0.11780319991174854,-1.898010290135772,-4.050665418516966,0,0,-0.5471033053755342,-5.036734988782489,0.75,1.2662386237992733,5,5.938197113659214,0.01508230597527899,0.13942043845229654,0.4411594231724737,0.5586131008739943,0.1919033189086783,26.739368118827173,12.820158895598304,-7.913284167317907,-0.42106923930320594,7.924478886148391,22.651724112265452,12.085951294354691,-1.6752304317897677,-2.0415644161094124,2.640905576638191,6.048448503184884,0.26685279128053874,0.08138109529511622,0.3909753114036896,0.5378142763820957,0.06563881397569248,0.625,1.3755709393803437,Random,16.562756052786842,6.0
5,Ring_Random_MaxExos_6_Rv_3,5,Exp_Path,66,51.36331249669591,40.57106785612691,38.34053394997012,26.242132884283407,4.394219112933816,71,0.5750346277358133,-0.18450862851495015,-9.774462723661113,7.157779633132363,0,0,-6.213752620266919,4.582802900798775,0.8125,1.1233797933728087,5,12.254212713997395,0.05499890910190279,0.07069605839708114,0.46952275005593336,0.5274523699416673,1.489524782809971,30.69876850959714,12.32804969275022,-6.0339316760898045,-8.136599218785886,10.129786686740596,26.90117648388569,11.622544379974356,-3.855496708798149,-2.0224168088220753,4.353736857018282,11.845158096839379,0.28100656444459476,0.17697074415147784,0.4403908533794991,0.48064445735954664,1.079204008927741,0.8125,1.091404268892387,Random,15.731520982833862,6.0
6,Ring_Random_MaxExos_6_Rv_3,6,Exp_Path,61,51.62818641268509,36.26323305703586,36.727706588823224,28.14957404709213,4.158980909674393,64,0.6418236849926027,0.650105953307884,12.688157538910477,-2.2965273013746605,0,0,9.377526916928565,-4.813836796020024,0.75,0.9565582528039744,4,5.997652344694299,0.10241036050078021,0.15191853353419857,0.5057411997031086,0.4837709183589915,-0.6017996797615038,27.740899611775532,12.538475019127194,-8.849779959662033,4.506581575080675,9.931157174634402,23.676939897616442,11.948601850404673,-3.1150340522915654,4.7679664012131795,5.69534377803779,7.463892977740026,0.35187745021689193,0.18713640742373988,0.41635522776318823,0.4598270322656705,-0.5068223563119584,0.625,1.1044103726907157,Random,15.183699404378581,6.0
7,Ring_Random_MaxExos_6_Rv_3,7,Exp_Path,38,50.36061854241862,39.842896530661356,39.93610196332099,27.875321612762797,1.9477663910683591,39,0.6984247465986242,1.229240442075227,7.971219960019951,9.273073826818061,0,0,8.623631140561695,11.10832682454878,0.5,0.5193996303570014,4,15.468228621659874,0.07675869715343768,0.3796837571666067,0.6542769147427849,0.33983118766852183,-1.9872236606095794,30.086095137148824,10.660467877882008,-2.1392259624977905,9.522084654750675,9.75942538733008,28.26050050403503,10.211461031564161,1.3074327220187805,9.554774103064611,9.643810890057912,12.10905290244535,0.30535633276174523,0.2198062451024267,0.5969325788153355,0.3098249312269627,-1.6612056851041892,0.5,0.5190283496368001,Random,15.262442678178575,6.0
8,Ring_Random_MaxExos_6_Rv_3,8,Exp_Path,47,56.900749942710426,36.81301197924103,35.18740464257427,28.233995393669062,8.906149014753202,51,0.6834302241909916,0.4852730796270952,8.088967444097008,-1.184791133475061,0,0,-0.37628440223759857,-3.9522812330269943,0.625,1.1724462103229183,5,5.387643273992813,0.09272750155649973,0.2566166396965636,0.45635266168809985,0.5350489487669895,0.0318743287975458,27.898109522355938,12.474016065473315,10.428443975319299,10.394639639019548,14.724163031271075,25.167717528734297,11.873056612860712,14.405453901957896,5.152364800091835,15.299149164403207,7.600409066148183,0.5027917102125704,0.12457973101070412,0.33057022003775627,0.4166302761037623,-2.3409703348012894,0.375,1.2603382000235128,Random,15.70888217644297,6.0
9,Ring_Random_MaxExos_6_Rv_3,9,Exp_Path,57,43.95357405110729,34.269266121982476,31.676654532210815,22.13631066035518,1.744136084838259,61,0.6451386193352537,0.8371797977636054,-4.46670378191447,0.199682194216107,0,0,-2.985148459350217,-0.7206462844351096,0.875,1.1706939429259111,5,6.510274251405127,0.039327018003365764,0.1456846469258482,0.4599696741720911,0.538483711482872,-0.1387491396813762,26.563317726315624,13.017310167628041,0.35904160249752354,-10.310486970234331,10.316736520610377,21.991576318004782,11.459206445778717,-3.6962199021279316,-1.4512076640380616,3.9708998034512812,5.282204130267367,0.3201665460337293,0.16454181719906097,0.42636065262633316,0.47113273017449875,1.4594125541735963,0.5,1.1050098719766346,Random,18.09408721549875,6.0
