Frame,X,Y,Intensity_Corrected,Intensity_Raw
0,228.8417,475.2694,12.1611,205.111
1,228.8417,475.2694,13.6056,207.556
2,228.8417,475.2694,2.0889,198.889
3,228.8417,475.2694,8.4222,196.222
4,228.8417,475.2694,18.8667,205.667
5,228.8417,475.2694,6.9833,193.333
6,228.8417,475.2694,8.6556,198.556
7,228.8417,475.2694,8.9278,189.778
8,228.8417,475.2694,15.2278,187.778
9,228.8417,475.2694,7.7056,186.556
10,228.8417,475.2694,0.0944,181.444
11,228.8417,475.2694,3.9944,182.444
12,228.8417,475.2694,8.7056,190.556
13,228.8417,475.2694,10.0778,189.778
14,228.8417,475.2694,12.3333,193.333
15,228.8417,475.2694,9.4611,192.111
16,228.8417,475.2694,19.9667,201.667
17,228.8417,475.2694,6.2611,186.111
18,228.8417,475.2694,9.6833,186.333
19,228.8417,475.2694,4.8333,186.333
20,228.8417,475.2694,8.7611,190.111
21,228.8417,475.2694,19.7167,200.667
22,228.8417,475.2694,18.0611,195.111
23,228.8417,475.2694,-2.9056,176.444
24,228.8417,475.2694,9.9889,187.889
25,228.8417,475.2694,6.5778,189.778
26,228.8417,475.2694,9.3000,187.000
27,228.8417,475.2694,6.8722,184.222
28,228.8417,475.2694,18.8389,192.889
29,228.8417,475.2694,15.5778,196.778
30,228.8417,475.2694,24.7944,206.444
31,228.8417,475.2694,15.0278,192.778
32,228.8417,475.2694,1.7000,183.000
33,228.8417,475.2694,5.4444,183.444
34,228.8417,475.2694,15.9889,191.889
35,228.8417,475.2694,5.5056,181.556
36,228.8417,475.2694,15.3389,190.889
37,228.8417,475.2694,7.3111,185.111
38,228.8417,475.2694,3.9111,183.111
39,228.8417,475.2694,18.0278,193.778
40,228.8417,475.2694,13.6611,182.111
41,228.8417,475.2694,9.8167,189.667
42,228.8417,475.2694,13.6389,189.889
43,228.8417,475.2694,3.4389,182.889
44,228.8417,475.2694,11.7611,185.111
45,228.8417,475.2694,10.4944,179.444
46,228.8417,475.2694,7.5167,184.667
47,228.8417,475.2694,3.0056,177.556
48,228.8417,475.2694,11.3222,187.222
49,228.8417,475.2694,-3.0167,176.333
50,228.8417,475.2694,2.8444,176.444
51,228.8417,475.2694,-5.3000,174.000
52,228.8417,475.2694,9.3111,182.111
53,228.8417,475.2694,5.5778,181.778
54,228.8417,475.2694,6.1111,182.111
55,228.8417,475.2694,17.0611,189.111
56,228.8417,475.2694,8.5889,176.889
57,228.8417,475.2694,8.1778,180.778
58,228.8417,475.2694,5.7056,181.556
59,228.8417,475.2694,5.3889,183.889
60,228.8417,475.2694,11.5667,183.667
61,228.8417,475.2694,11.4278,190.778
62,228.8417,475.2694,2.3778,181.778
63,228.8417,475.2694,5.0056,181.556
64,228.8417,475.2694,8.1722,192.222
65,228.8417,475.2694,-2.3389,177.111
66,228.8417,475.2694,17.2333,193.333
67,228.8417,475.2694,17.5778,185.778
68,228.8417,475.2694,5.4111,180.111
69,228.8417,475.2694,8.9000,176.000
70,228.8417,475.2694,8.1222,182.222
71,228.8417,475.2694,10.7444,182.444
72,228.8417,475.2694,11.5944,177.444
73,228.8417,475.2694,0.8944,178.444
74,228.8417,475.2694,13.7667,184.667
75,228.8417,475.2694,13.2111,187.111
76,228.8417,475.2694,12.0333,182.333
77,228.8417,475.2694,6.6389,185.889
78,228.8417,475.2694,14.0444,192.444
79,228.8417,475.2694,5.6111,178.111
80,228.8417,475.2694,6.5111,182.111
81,228.8417,475.2694,-1.3500,177.000
82,228.8417,475.2694,20.4222,192.222
83,228.8417,475.2694,18.0111,189.111
84,228.8417,475.2694,16.2500,190.000
85,228.8417,475.2694,8.7500,186.000
86,228.8417,475.2694,3.1222,184.222
87,228.8417,475.2694,16.7222,192.222
88,228.8417,475.2694,15.4444,191.444
89,228.8417,475.2694,10.0111,183.111
90,228.8417,475.2694,9.4222,180.222
91,228.8417,475.2694,10.5944,185.444
92,228.8417,475.2694,19.4000,187.000
93,228.8417,475.2694,14.1722,184.222
94,228.8417,475.2694,13.7611,184.111
95,228.8417,475.2694,0.6611,167.111
96,228.8417,475.2694,15.3944,184.444
97,228.8417,475.2694,3.9556,172.556
98,228.8417,475.2694,5.5667,181.667
99,228.8417,475.2694,5.7000,175.000
100,228.8417,475.2694,1.9722,174.222
101,228.8417,475.2694,5.3667,177.667
102,228.8417,475.2694,6.4389,175.889
103,228.8417,475.2694,3.5444,175.444
104,228.8417,475.2694,12.8889,186.889
