,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,129.6667,210.7778,210.7778,-0.6333,5.1778,5.1778,0.2609,2.2696,2.2696,0.2977,2.0539,2.0539,0
1,126.7778,211.6667,211.6667,-2.9722,4.5167,4.5167,-0.5489,3.2458,3.2458,-0.5859,2.3783,2.3783,1
2,126.6667,212.4444,212.4444,-1.4833,7.3944,7.3944,-0.1754,2.1949,2.1949,-0.1995,0.8867,0.8867,2
3,124.5556,206.7778,206.7778,-4.1944,7.7278,7.7278,-0.274,2.3724,2.3724,-0.2368,1.8076,1.8076,3
4,132.3333,202.2222,202.2222,1.9833,-6.2778,-6.2778,0.634,0.6446,0.6446,0.4115,-0.9477,-0.9477,4
5,122.5556,205.4444,205.4444,-1.6944,4.8944,4.8944,-0.7611,2.2612,2.2612,-0.2558,1.0441,1.0441,5
6,128.6667,205.2222,205.2222,-1.2333,9.3222,9.3222,0.0157,2.5988,2.5988,-0.156,2.0475,2.0475,6
7,130.4444,204.2222,204.2222,0.2944,7.1222,7.1222,0.5866,2.748,2.748,0.3081,2.3094,2.3094,7
8,124.2222,193.3333,193.3333,-2.7278,-2.8167,-2.8167,-0.3825,0.63,0.63,-0.3642,-0.3286,-0.3286,8
9,128.1111,194.6667,194.6667,-1.2889,-5.2833,-5.2833,0.1398,0.9161,0.9161,-0.0833,-0.4084,-0.4084,9
10,129.6667,201.2222,201.2222,0.2667,-7.1778,-7.1778,0.6394,0.6025,0.6025,0.4734,-0.8062,-0.8062,10
11,131.4444,201.0,201.0,3.3444,1.2,1.2,0.3556,1.5797,1.5797,0.0884,1.0865,1.0865,11
12,126.5556,200.6667,200.6667,0.4056,5.8167,5.8167,-0.2777,1.8005,1.8005,-0.0799,1.1072,1.1072,12
13,128.8889,210.7778,210.7778,1.5389,18.0778,18.0778,0.0808,3.8036,3.8036,-0.0538,3.139,3.139,13
14,127.6667,208.4444,208.4444,-0.5333,7.6444,7.6444,0.249,3.0878,3.0878,0.3602,2.236,2.236,14
15,131.2222,199.5556,199.5556,2.9722,5.3056,5.3056,0.4832,1.9716,1.9716,0.2681,1.7589,1.7589,15
16,126.6667,200.0,200.0,-2.4333,0.65,0.65,-0.1307,3.005,3.005,-0.3261,1.4659,1.4659,16
17,130.3333,203.2222,203.2222,2.7833,-0.2778,-0.2778,0.4395,1.7488,1.7488,0.502,0.2228,0.2228,17
18,129.3333,198.5556,198.5556,0.4333,1.2056,1.2056,0.0184,1.8209,1.8209,-0.0509,0.5479,0.5479,18
19,130.2222,204.1111,204.1111,0.9222,-2.2889,-2.2889,0.2469,2.0101,2.0101,0.393,0.235,0.235,19
20,129.0,202.1111,202.1111,1.4,-1.1389,-1.1389,-0.0792,1.1101,1.1101,-0.1826,0.1051,0.1051,20
21,128.4444,201.0,201.0,-0.1556,1.1,1.1,-0.0648,1.7356,1.7356,-0.1496,0.9172,0.9172,21
22,128.0,196.4444,196.4444,2.05,4.0444,4.0444,-0.0122,2.1528,2.1528,0.1513,1.5641,1.5641,22
23,130.5556,197.4444,197.4444,0.8556,-2.6056,-2.6056,0.6417,1.0396,1.0396,0.4859,-0.1196,-0.1196,23
24,126.4444,205.8889,205.8889,-3.2056,8.8889,8.8889,-0.428,2.6902,2.6902,-0.5361,1.8175,1.8175,24
25,127.7778,183.4444,183.4444,2.9278,-12.0556,-12.0556,0.404,-0.0927,-0.0927,0.8069,-0.6542,-0.6542,25
26,128.0,202.7778,202.7778,-3.1,4.7778,4.7778,-0.0003,2.8981,2.8981,-0.2082,2.223,2.223,26
27,126.8889,195.1111,195.1111,-0.1611,-1.6389,-1.6389,-0.0812,1.056,1.056,-0.1021,0.3099,0.3099,27
28,126.8889,207.6667,207.6667,-1.5611,3.1167,3.1167,0.1703,2.7198,2.7198,0.1284,0.8116,0.8116,28
29,131.5556,203.5556,203.5556,0.6556,11.2056,11.2056,0.9489,2.6852,2.6852,0.6737,2.381,2.381,29
30,123.5556,202.2222,202.2222,-5.2444,7.6722,7.6722,-0.6887,2.4739,2.4739,-0.6273,1.4167,1.4167,30
31,130.0,196.7778,196.7778,2.65,0.9778,0.9778,0.4639,1.942,1.942,0.6725,1.2223,1.2223,31
32,127.7778,202.7778,202.7778,0.5278,-1.7722,-1.7722,0.2396,2.2214,2.2214,0.2002,0.6745,0.6745,32
33,127.3333,196.0,196.0,0.0333,-4.05,-4.05,0.0925,1.4004,1.4004,0.1266,0.0303,0.0303,33
34,131.3333,203.4444,203.4444,6.5833,7.2944,7.2944,0.4018,3.2439,3.2439,0.6207,2.1041,2.1041,34
35,127.7778,199.7778,199.7778,-0.0722,-5.0222,-5.0222,0.2331,1.7899,1.7899,0.0581,0.5791,0.5791,35
