,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,133.8889,198.6667,198.6667,-5.1111,18.3667,18.3667,-1.0801,1.9277,1.9277,-0.6056,3.0911,3.0911,0
1,136.7778,180.1111,180.1111,-3.0222,-1.8389,-1.8389,-1.5558,-0.0798,-0.0798,-1.2971,0.465,0.465,1
2,143.7778,180.5556,180.5556,7.4278,4.6056,4.6056,0.3974,-0.8795,-0.8795,0.6992,0.1983,0.1983,2
3,141.5556,179.2222,179.2222,6.3556,11.0222,11.0222,-0.2713,-0.2098,-0.2098,0.6742,0.9349,0.9349,3
4,132.6667,182.5556,182.5556,-4.8833,4.9556,4.9556,-1.0901,-0.1324,-0.1324,-0.976,0.0024,0.0024,4
5,133.2222,182.3333,182.3333,-1.0778,12.3833,12.3833,-1.6688,-0.0004,-0.0004,-1.0147,1.4484,1.4484,5
6,140.6667,186.6667,186.6667,2.0667,13.2167,13.2167,0.0236,0.6029,0.6029,0.2467,1.2223,1.2223,6
7,134.7778,184.0,184.0,-1.8722,12.8,12.8,-1.0051,0.5415,0.5415,-0.702,1.4384,1.4384,7
8,136.2222,180.6667,180.6667,2.2222,15.7667,15.7667,-0.4733,-0.4298,-0.4298,0.0221,0.7328,0.7328,8
9,139.5556,182.1111,182.1111,5.4056,6.5111,6.5111,0.0534,-0.6927,-0.6927,0.7461,0.3294,0.3294,9
10,143.8889,177.7778,177.7778,8.6389,5.2278,5.2278,0.8204,0.083,0.083,1.3543,0.7109,0.7109,10
11,139.3333,184.1111,184.1111,1.2333,13.3611,13.3611,0.4418,0.952,0.952,0.6106,2.0812,2.0812,11
12,135.6667,183.6667,183.6667,-0.6833,12.9167,12.9167,-0.9802,0.9253,0.9253,-0.5744,1.7498,1.7498,12
13,141.0,171.2222,171.2222,4.3,3.0222,3.0222,0.1801,-0.7009,-0.7009,0.4369,0.3562,0.3562,13
14,136.6667,181.2222,181.2222,3.3667,7.5722,7.5722,-0.5062,0.5563,0.5563,0.4493,1.1842,1.1842,14
15,133.8889,184.1111,184.1111,-2.1611,10.9111,10.9111,-1.0544,0.6591,0.6591,-0.7192,1.2988,1.2988,15
16,140.8889,185.7778,185.7778,3.9389,16.4778,16.4778,0.4361,1.1001,1.1001,0.5902,2.2647,2.2647,16
