Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
210.3333,210.3333,210.3333,14.4333,-6.2167,-6.2167,0.3609,0.3609,0.3609,1.1206,-0.2908,-0.2908,0
209.6667,209.6667,209.6667,4.9167,-10.1833,-10.1833,-0.2535,-0.2535,-0.2535,-0.4583,-1.8684,-1.8684,1
200.3333,200.3333,200.3333,2.8333,-14.5667,-14.5667,-1.5736,-1.5736,-1.5736,-1.6374,-3.1803,-3.1803,2
202.0000,202.0000,202.0000,8.9000,-6.5000,-6.5000,-0.7596,-0.7596,-0.7596,-0.0418,-1.0305,-1.0305,3
213.7778,213.7778,213.7778,16.0278,-1.8222,-1.8222,0.8925,0.8925,0.8925,0.4206,-0.5897,-0.5897,4
206.7778,206.7778,206.7778,10.7278,-3.8222,-3.8222,0.2806,0.2806,0.2806,-0.1044,-0.9097,-0.9097,5
211.1111,211.1111,211.1111,17.3611,-3.6889,-3.6889,1.0766,1.0766,1.0766,1.7984,-0.2417,-0.2417,6
215.5556,215.5556,215.5556,23.5056,7.2056,7.2056,2.2260,2.2260,2.2260,2.7101,1.2865,1.2865,7
207.4444,207.4444,207.4444,13.3944,-1.4556,-1.4556,1.2184,1.2184,1.2184,1.1866,0.2864,0.2864,8
212.5556,212.5556,212.5556,19.6056,-1.7444,-1.7444,1.5396,1.5396,1.5396,1.6953,0.2824,0.2824,9
200.0000,200.0000,200.0000,11.7500,-1.3000,-1.3000,-0.2326,-0.2326,-0.2326,0.4495,-0.6987,-0.6987,10
197.3333,197.3333,197.3333,5.0333,-12.5667,-12.5667,-1.3466,-1.3466,-1.3466,-0.7548,-2.5205,-2.5205,11
204.2222,204.2222,204.2222,13.9722,-5.8278,-5.8278,-0.2690,-0.2690,-0.2690,0.1927,-1.7014,-1.7014,12
190.7778,190.7778,190.7778,2.0278,-14.0722,-14.0722,-2.0076,-2.0076,-2.0076,-1.1858,-2.2816,-2.2816,13
206.4444,206.4444,206.4444,14.1444,-0.3556,-0.3556,-0.0873,-0.0873,-0.0873,0.2685,-0.5339,-0.5339,14
197.2222,197.2222,197.2222,7.8722,-11.6778,-11.6778,-0.4199,-0.4199,-0.4199,-0.0580,-1.6384,-1.6384,15
199.2222,199.2222,199.2222,19.9222,1.7722,1.7722,0.1108,0.1108,0.1108,1.6323,0.3347,0.3347,16
201.5556,201.5556,201.5556,10.9056,-5.7944,-5.7944,-0.8610,-0.8610,-0.8610,-0.6542,-1.8455,-1.8455,17
192.1111,192.1111,192.1111,12.2611,-7.0389,-7.0389,-0.6624,-0.6624,-0.6624,0.4248,-0.3978,-0.3978,18
204.0000,204.0000,204.0000,18.6500,4.9500,4.9500,1.0201,1.0201,1.0201,1.9607,1.3370,1.3370,19
195.1111,195.1111,195.1111,11.3611,1.6611,1.6611,-0.2659,-0.2659,-0.2659,0.3671,0.3024,0.3024,20
185.4444,185.4444,185.4444,6.0944,-3.5056,-3.5056,-0.9505,-0.9505,-0.9505,-0.2256,-0.3090,-0.3090,21
193.1111,193.1111,193.1111,6.5611,-6.5389,-6.5389,-0.1507,-0.1507,-0.1507,0.3564,-0.2420,-0.2420,22
202.2222,202.2222,202.2222,17.6722,6.7722,6.7722,1.5838,1.5838,1.5838,2.7302,1.8872,1.8872,23
188.8889,188.8889,188.8889,3.4389,-7.9111,-7.9111,-0.8640,-0.8640,-0.8640,-0.7715,-0.9689,-0.9689,24
188.1111,188.1111,188.1111,3.3111,-9.3889,-9.3889,-0.5183,-0.5183,-0.5183,-0.2200,-0.7057,-0.7057,25
200.1111,200.1111,200.1111,16.1611,0.9611,0.9611,1.4423,1.4423,1.4423,1.8215,0.9398,0.9398,26
208.3333,208.3333,208.3333,17.9333,5.3333,5.3333,3.4758,3.4758,3.4758,3.2993,2.9794,2.9794,27
190.8889,190.8889,190.8889,6.4889,-8.5611,-8.5611,0.0159,0.0159,0.0159,0.6656,-0.2115,-0.2115,28
186.4444,186.4444,186.4444,0.3444,-10.1556,-10.1556,-0.9852,-0.9852,-0.9852,-1.2037,-1.3492,-1.3492,29
202.5556,202.5556,202.5556,13.4556,0.8556,0.8556,2.7272,2.7272,2.7272,2.0692,1.6375,1.6375,30
200.7778,200.7778,200.7778,13.3278,4.9778,4.9778,2.7491,2.7491,2.7491,2.3345,2.1815,2.1815,31
208.1111,208.1111,208.1111,23.6111,10.1611,10.1611,3.5959,3.5959,3.5959,3.6984,3.3301,3.3301,32
195.4444,195.4444,195.4444,15.5944,5.3944,5.3944,2.0837,2.0837,2.0837,2.2258,2.0075,2.0075,33
209.2222,209.2222,209.2222,23.8222,15.9722,15.9722,4.6132,4.6132,4.6132,4.1100,4.3166,4.3166,34
210.2222,210.2222,210.2222,25.0722,14.1722,14.1722,3.7380,3.7380,3.7380,3.5710,3.3765,3.3765,35
211.8889,211.8889,211.8889,25.0389,15.5389,15.5389,4.2640,4.2640,4.2640,3.8216,3.4771,3.4771,36
208.1111,208.1111,208.1111,18.7111,7.9111,7.9111,2.9983,2.9983,2.9983,2.4487,2.4169,2.4169,37
211.8889,211.8889,211.8889,25.9889,15.8389,15.8389,3.9490,3.9490,3.9490,3.5738,3.2821,3.2821,38
224.3333,224.3333,224.3333,37.4333,29.3333,29.3333,6.9482,6.9482,6.9482,6.3363,6.8769,6.8769,39
215.5556,215.5556,215.5556,27.8056,12.1556,12.1556,4.8967,4.8967,4.8967,4.5095,3.8208,3.8208,40
227.8889,227.8889,227.8889,33.2889,23.2889,23.2889,6.8216,6.8216,6.8216,5.8933,5.7081,5.7081,41
225.2222,225.2222,225.2222,32.4222,22.1722,22.1722,6.2484,6.2484,6.2484,5.2154,5.2320,5.2320,42
223.6667,223.6667,223.6667,20.1667,20.1667,20.1667,6.1001,6.1001,6.1001,4.9740,4.9740,4.9740,43
210.1111,210.1111,210.1111,8.3111,8.3111,8.3111,3.0652,3.0652,3.0652,2.1007,2.1007,2.1007,44
218.1111,218.1111,218.1111,21.7611,21.7611,21.7611,5.5843,5.5843,5.5843,5.3576,5.3576,5.3576,45
229.3333,229.3333,229.3333,22.2333,22.2333,22.2333,6.8481,6.8481,6.8481,5.8583,5.8583,5.8583,46
219.0000,219.0000,219.0000,16.6500,16.6500,16.6500,4.8532,4.8532,4.8532,4.0560,4.0560,4.0560,47
217.3333,217.3333,217.3333,22.8333,22.8333,22.8333,5.1697,5.1697,5.1697,4.8209,4.8209,4.8209,48
215.3333,215.3333,215.3333,21.8833,21.8833,21.8833,5.0429,5.0429,5.0429,5.4471,5.4471,5.4471,49
217.0000,217.0000,217.0000,16.9500,16.2000,16.2000,4.9040,4.9040,4.9040,4.8586,4.4315,4.4315,50
214.8889,214.8889,214.8889,13.7389,13.7389,13.7389,4.4860,4.4860,4.4860,3.5663,3.5663,3.5663,51
207.3333,207.3333,207.3333,4.4833,4.4833,4.4833,3.3191,3.3191,3.3191,2.7517,2.7517,2.7517,52
219.6667,219.6667,219.6667,17.8167,17.8167,17.8167,4.9054,4.9054,4.9054,3.8854,3.8854,3.8854,53
213.6667,213.6667,213.6667,14.2167,14.2167,14.2167,4.2095,4.2095,4.2095,4.0641,4.0641,4.0641,54
223.4444,223.4444,223.4444,18.2944,18.2944,18.2944,5.8256,5.8256,5.8256,5.4254,5.4254,5.4254,55
215.4444,215.4444,215.4444,11.1944,11.1944,11.1944,4.6703,4.6703,4.6703,3.9888,3.9888,3.9888,56
224.6667,224.6667,224.6667,29.4167,29.4167,29.4167,6.5365,6.5365,6.5365,6.6105,6.6105,6.6105,57
218.6667,218.6667,218.6667,20.3667,20.3667,20.3667,4.7578,4.7578,4.7578,4.7189,4.7189,4.7189,58
213.5556,213.5556,213.5556,16.0056,16.0056,16.0056,3.9666,3.9666,3.9666,3.8950,3.8950,3.8950,59
228.8889,228.8889,228.8889,27.2389,27.2389,27.2389,6.9434,6.9434,6.9434,6.3925,6.3925,6.3925,60
225.2222,225.2222,225.2222,20.9222,20.9222,20.9222,5.8628,5.8628,5.8628,4.9841,4.9841,4.9841,61
231.4444,231.4444,231.4444,27.3444,27.3444,27.3444,7.0067,7.0067,7.0067,6.1515,6.1515,6.1515,62
220.6667,220.6667,220.6667,18.5667,18.5667,18.5667,5.3139,5.3139,5.3139,5.0576,5.0576,5.0576,63
225.4444,225.4444,225.4444,23.7944,23.7944,23.7944,6.6274,6.6274,6.6274,6.2387,6.2387,6.2387,64
227.0000,227.0000,227.0000,28.9000,28.9000,28.9000,6.6972,6.6972,6.6972,6.7249,6.7249,6.7249,65
219.1111,219.1111,219.1111,22.5611,22.5611,22.5611,5.6346,5.6346,5.6346,5.5353,5.5353,5.5353,66
229.5556,229.5556,229.5556,23.3056,23.3056,23.3056,7.6422,7.6422,7.6422,6.7131,6.7131,6.7131,67
229.8889,229.8889,229.8889,28.6889,28.6889,28.6889,7.1567,7.1567,7.1567,7.0237,7.0237,7.0237,68
219.6667,219.6667,219.6667,18.6667,18.6667,18.6667,4.0822,4.0822,4.0822,3.5420,3.5420,3.5420,69
227.1111,227.1111,227.1111,30.6611,30.6611,30.6611,7.4061,7.4061,7.4061,7.7202,7.7202,7.7202,70
211.4444,211.4444,211.4444,15.5444,15.5444,15.5444,4.1213,4.1213,4.1213,3.9930,3.9930,3.9930,71
214.1111,214.1111,214.1111,16.6111,16.6111,16.6111,5.0227,5.0227,5.0227,4.5812,4.5812,4.5812,72
221.2222,221.2222,221.2222,30.2722,30.2722,30.2722,6.3948,6.3948,6.3948,6.6172,6.6172,6.6172,73
