,Mean_X,Intensity_Raw,Mean_Xt,Mean_BG_X,Intensity_Corrected,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
0,168.6667,168.6667,168.6667,-11.3333,-11.3333,-11.3333,-1.2959,-1.2959,-1.2959,-1.0481,-1.0481,-1.0481,0
1,171.6667,171.6667,171.6667,-7.7333,-7.7333,-7.7333,-1.4123,-1.4123,-1.4123,-1.5402,-1.5402,-1.5402,1
2,174.2222,174.2222,174.2222,-1.6278,-1.6278,-1.6278,-0.3644,-0.3644,-0.3644,0.4671,0.4671,0.4671,2
3,175.8889,175.8889,175.8889,-6.1111,-6.1111,-6.1111,0.1956,0.1956,0.1956,0.0614,0.0614,0.0614,3
4,178.5556,178.5556,178.5556,-0.7444,-0.7444,-0.7444,0.3887,0.3887,0.3887,1.1619,1.1619,1.1619,4
5,166.2222,166.2222,166.2222,-5.8278,-5.8278,-5.8278,-1.4059,-1.4059,-1.4059,-0.2961,-0.2961,-0.2961,5
6,173.3333,173.3333,173.3333,-5.5167,-5.5167,-5.5167,-0.1624,-0.1624,-0.1624,-0.338,-0.338,-0.338,6
7,172.7778,172.7778,172.7778,-3.9722,-3.9722,-3.9722,0.3995,0.3995,0.3995,0.7476,0.7476,0.7476,7
8,168.7778,168.7778,168.7778,-5.6222,-5.6222,-5.6222,-0.7962,-0.7962,-0.7962,-0.0108,-0.0108,-0.0108,8
9,176.0,176.0,176.0,-3.55,-3.55,-3.55,0.1972,0.1972,0.1972,-0.0159,-0.0159,-0.0159,9
10,171.8889,171.8889,171.8889,-5.4111,-5.4111,-5.4111,-0.2808,-0.2808,-0.2808,-0.1824,-0.1824,-0.1824,10
11,169.8889,169.8889,169.8889,-10.8111,-10.8111,-10.8111,-0.4927,-0.4927,-0.4927,-0.6207,-0.6207,-0.6207,11
12,175.2222,175.2222,175.2222,-3.8278,-3.8278,-3.8278,0.3899,0.3899,0.3899,0.3184,0.3184,0.3184,12
13,170.3333,170.3333,170.3333,-6.5667,-6.5667,-6.5667,-0.0486,-0.0486,-0.0486,0.2164,0.2164,0.2164,13
14,169.2222,169.2222,169.2222,0.7222,0.7222,0.7222,-0.6689,-0.6689,-0.6689,0.4011,0.4011,0.4011,14
15,176.0,176.0,176.0,-0.6,-0.6,-0.6,1.0491,1.0491,1.0491,0.6754,0.6754,0.6754,15
16,171.6667,171.6667,171.6667,4.8167,4.8167,4.8167,0.8147,0.8147,0.8147,1.7554,1.7554,1.7554,16
17,172.3333,172.3333,172.3333,-0.4667,-0.4667,-0.4667,0.2439,0.2439,0.2439,0.4937,0.4937,0.4937,17
18,165.6667,165.6667,165.6667,-6.5333,-6.5333,-6.5333,-0.571,-0.571,-0.571,-0.077,-0.077,-0.077,18
