Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
222.2222,222.2222,222.2222,15.0222,15.0222,15.0222,4.5287,4.5287,4.5287,3.4514,3.4514,3.4514,0
205.4444,205.4444,205.4444,-1.3556,-1.3556,-1.3556,0.9502,0.9502,0.9502,-0.0663,-0.0663,-0.0663,1
201.6667,201.6667,201.6667,4.0667,4.0667,4.0667,1.4386,1.4386,1.4386,1.2777,1.2777,1.2777,2
202.0000,202.0000,202.0000,-3.5000,-3.5000,-3.5000,0.6649,0.6649,0.6649,-0.5463,-0.5463,-0.5463,3
201.7778,201.7778,201.7778,-0.5222,-0.5222,-0.5222,1.6697,1.6697,1.6697,0.2820,0.2820,0.2820,4
189.7778,189.7778,189.7778,-9.6222,-9.6222,-9.6222,-1.0113,-1.0113,-1.0113,-0.8880,-0.8880,-0.8880,5
193.0000,193.0000,193.0000,-2.9000,-2.9000,-2.9000,0.9761,0.9761,0.9761,0.5749,0.5749,0.5749,6
187.6667,187.6667,187.6667,-12.6333,-12.6333,-12.6333,-1.3667,-1.3667,-1.3667,-1.6629,-1.6629,-1.6629,7
191.6667,191.6667,191.6667,-2.9833,-2.9833,-2.9833,0.0987,0.0987,0.0987,0.1334,0.1334,0.1334,8
197.7778,197.7778,197.7778,2.3278,2.3278,2.3278,1.1900,1.1900,1.1900,1.0135,1.0135,1.0135,9
195.3333,195.3333,195.3333,-2.1667,-2.1667,-2.1667,1.5202,1.5202,1.5202,0.9613,0.9613,0.9613,10
215.3333,215.3333,215.3333,17.8833,17.8833,17.8833,4.5404,4.5404,4.5404,3.9479,3.9479,3.9479,11
198.1111,198.1111,198.1111,-1.4889,-1.4889,-1.4889,0.9860,0.9860,0.9860,-0.1314,-0.1314,-0.1314,12
196.8889,196.8889,196.8889,4.6889,4.6889,4.6889,2.1682,2.1682,2.1682,1.7420,1.7420,1.7420,13
