G3Amplitude1,G3Amplitude2,G3Amplitude3,G3freeAmplitude1,G3freeAmplitude2,G3freeAmplitude3,G3freexcent,G3freeycent
14730.8892292755,1648.20923672968,2895.06318396116,6796.87380382521,257.016492010086,730.124389890681,17393.7075927142,61715.1278544349
13819.9980540622,1811.8490327215,4104.97571406077,8606.78039388661,1360.1682987638,3778.24056873854,26794.5637419083,49979.5057873479
13183.9514283758,280.140772462181,1390.96766579275,5415.80890566125,199.599881872469,1693.08768498868,25673.8322648086,50617.8654958934
6888.24735515716,3.28357567371796e-14,118.305478308732,2182.09653065794,2.46979946092912e-14,794.77516241096,19601.6469313098,49342.5379920808
5296.20742425821,3910.48275798476,2225.38162463051,2635.60137262497,2398.27503305787,1361.80393367035,32988.1333311583,48609.5979496344
14886.0569367776,125.47555170644,9597.74631573731,8664.45284201235,78.0081986380975,6329.01320588077,33798.8575433662,48301.9049784572
12046.2963810129,5.55704620534692e-11,1346.4068118216,4390.534075169,6.16289485224813e-14,776.919083126674,40284.4236850813,39196.2186768255
11277.4297330973,942.107327160984,1660.74529960296,4621.32614000647,916.805978866718,1911.4204651285,25646.4380342764,41797.4281604463
11769.2346057896,0.083909931627597,1871.20994988081,2769.52530131416,1.81129432341175,5584.80867565147,17564.3777980104,37099.1616709737
8895.88866337138,2810.49576312068,5289.98513060333,4159.30146287159,201.88375435311,6317.29381987583,22078.4922094379,50004.8395106806
13160.3546050957,1109.33042830864,4200.07401525462,6207.02876498239,855.611950468653,3837.85569903571,22545.9219152663,48207.2819799525
16716.949652935,2.49130977008235e-05,4000.05220703976,3.83204624225027e-14,3295.13435270695,16642.7894355933,15208.9999999957,47212.9999999757
12937.1648346245,2.38430699328896e-14,24.697263609903,91.9936418177459,11779.2315293204,2.20356800627627,14636.0000734495,42734.2591565467
7846.91793712422,4.68810663212291e-10,3429.19783548711,3195.69225993767,4.77851913563367e-11,2812.23002703942,29395.503388583,45499.2650742281
13011.7356649145,4.31028083694235e-14,0.0158457924819426,4828.43822997208,2.64932390723045e-14,312.524281710054,15496.4107866275,52594.8552912454
5472.31176429347,4.28466263255341e-12,14.79643640097,1210.74397369071,8.2774879964783e-14,2455.7990076736,29402.86125409,49815
6987.73569734831,281.587387429896,705.322082513608,2641.42357632859,139.253552941899,505.538054076389,30695.9589262525,49648.4383194418
7502.9851028805,1072.84409205659,2845.40739977711,2652.5520226428,950.805848627247,2768.97903735114,33611.4750691903,57070.7851631973
11838.2945540382,7.79544593977469,2083.40416532791,5110.35417282615,1.75678037562138,1603.9414445783,33778.8529617033,57183.3331639215
7848.35292045083,3.27404996826019e-14,1654.75472892687,2281.67438502548,2.42158522918137e-14,2856.94460359747,34741.553782108,56396.8427378688
10266.8131806591,493.434987535496,1553.80925855299,4087.47182271809,563.808219509077,1823.11100401625,27374.5941370202,44470.4783695027
7264.97608443903,17.0390145501619,1871.800616769,1966.57843740928,63.9582571733916,3047.67085233444,27113.7801908723,44417.6700385952
6743.70222200277,501.396456183311,2249.22873098828,2366.16735696369,431.490812062677,2284.64189445705,26989.7808046076,43333.3908123898
28062.4345657948,0.669144173614182,11090.7626833022,0.00344967521272997,22733.3682593038,16252.3416114935,38052.3830540075,57284.8550735301
6529.20387206977,7.42849571902779e-14,0.0167277568228033,814.387788573685,64.0794983497668,5377.52793533641,38316.7100478564,46132
3628.7575373313,1905.37726451245,1953.63770528181,760.846508803574,4542.16529181452,45.4721176374952,38424.1308860871,47450.6739947422
6260.06430380191,731.695870660129,2672.52216182308,2852.47565388245,389.491841205303,1409.71366446482,24366.6063080784,36801.3381669649
12590.4095249793,0.149403255580979,1237.34582402583,4716.87810224437,16.958410849258,1344.33894459218,24641.1977208667,37805.0864337401
5202.21512265769,0.359543099830097,460.942800228596,1986.98702226959,536.994906816124,81.4504308493118,28543.1749999077,56643.198105626
11706.7303411416,3.8021488828319,546.349222352787,3766.79421136581,659.194062887736,3688.15546099343,19830.9183012436,41011.9706937104
21431.4827755629,1398.13420803031,2875.45168301354,6268.69812495827,18512.9313044235,4623.04874013472,29622,36897.5349829769
3441.04887211267,438.665549186829,6.37945760145135,1592.41871356425,366.458158262516,84.2089466718597,33303.7513877826,50697.1005402505
7373.66496359551,3388.80713539068,2399.35694550261,2045.53550137812,2711.6838726542,3260.10764926752,37172.1181836258,40830.0818469136
16386.2681214783,397.332576017999,4282.77103133428,4562.19376765652,49.4761972888719,8954.42961652748,35476.90744751,41010.1828816558
9975.14925143982,124.466304536729,680.039529158617,3684.43215560745,30.4304128216245,797.04884414787,30520.3795891353,61576.4529943851
6043.05618345224,94.007970700092,1149.59529303013,2426.90075550784,125.476546963221,1695.14142064378,18265.0814982021,46591.073767005
8184.35235060428,11.4805810197914,753.396085939848,3261.49493958825,5.84801633362413,953.658147109981,17530.5971981578,49761.6532342522
26950.5525633164,7.6302446562694e-10,1233.00437111163,10875.761671054,1.41884187315795e-10,3073.15797577353,39902.8499573479,35765.0192446881
15750.1306393588,3523.67095667598,4970.95353060486,7084.40837292072,3053.80003289195,3298.44167436284,26570.9192731229,54145.0485628255
10092.9708421716,1745.33505498517,1733.57558256613,4405.43571453,764.393766253633,836.990325097172,26315.0305525892,53436.5584292907
3375.75973320445,433.900999853605,1096.94906795976,834.095997160566,313.224056976716,1482.0162760565,27720.4090276654,54451.998590627
12756.1761816541,4531.6821169015,6544.46890573,6935.36438202804,1905.95070555068,4690.17099914931,27863.2334750963,53222.1436540367
9415.87698161759,6075.48957585672,282.887792045638,3466.68844302761,3174.15485002505,166.779636560697,28361.390683444,44562.7462946052
4786.84973910697,16.7985520336284,1347.85459966707,2046.46793039108,13.0541508633881,771.648067958657,34543.8731421284,53679.6381230747
15344.0869435973,264.685179484142,3469.55284396444,5576.72333193403,197.432905788573,3833.38796500581,34858.8695962117,59453.4327558791
4534.83474195619,4.39941973640704e-14,1.45340662340834,1146.39214596517,3.39536338110265e-14,1335.06119453695,24110.5696839267,47257.325066136
33249.6651662948,3093.39300640486,7823.378993991,12125.4587084642,3053.12217053664,11126.9426156796,28107.0692321269,45545.964398303
20946.5078859764,8.33009160850982e-14,0.108635365451497,4585.37321007423,10198.4207500205,0.0484640366541101,15059.9565089907,47232.7992916973
10569.1978784281,520.492329871568,1650.64545065886,4377.07833961282,513.766658796684,1794.81817249084,20115.6488375828,54075.1745053404
7953.6656964134,168.577244164458,1278.42291191558,3542.37799781713,85.9413247893851,1155.31738607306,27591.4584790079,51593
7153.16412035613,30.9568163709371,1520.43700106348,2015.61685765714,25.9875729559361,1914.52991345212,25304.8574924,53617.0010275897
522.515722875442,3.20751254888921e-14,0.019902394634879,2.75052352936792e-14,3.63064719222889e-14,311.400141921006,34170.6417789941,46658.639952116
9246.32081762417,762.040760608501,3760.67827134534,2352.59529671831,469.563698684865,5151.43915360911,34876.6868442635,48734.7738510088
5933.95256042703,603.914970142162,4353.2596211808,2071.80325684381,278.130507835901,3917.01270361288,39551.906439321,44749.2651776902
6581.90019152513,5.09076324529592e-11,6.69384443224639,1673.8136447157,6.03466999656997e-13,861.52599417395,39609.9959691607,40168.2935903927
5241.64415951712,427.202812195581,3052.33826648562,512.244922585968,365.285862892715,3294.41137971342,28098.3935932806,54452.9505440867
12996.7152656824,0.234680241191277,510.16135519383,0.000102244595749268,2.54606442325874e-14,13159.3174172444,14763,48799.0048160033
15666.9788254257,10155.7116467575,2940.75786867765,5106.55963395528,6852.31079766206,4073.77954183534,22927.0654464802,61608.7260614788
6784.58411764815,1299.35606997119,3292.70086656254,2927.44621685739,144.779554778039,2940.11267434097,33676.8021133746,57856.5018884357
11668.8554527778,0.000322191158860338,5438.38879044005,4002.3947816129,43.36554793469,6461.83656480985,29785.6108677311,38108.9509748078
9963.04921970007,5.66535469925991,1187.23528521631,3833.33293676911,0.353998275961231,1493.17879097149,32099.4811904634,41718.69112996
5735.43657472602,1919.00465090254,4592.80075377324,1818.02453697812,1227.37207773589,3867.09149002484,34229.9796491048,45589.650833325
4166.73421570338,620.564025795393,501.775148969104,1557.84059895191,601.227022994021,418.483328142235,38409.802676607,52796.9862675603
4403.76487924002,49.2126790667989,1939.81495994555,36.2213511146671,100.325614712286,5582.10595765355,23844.0739725271,44418.5996895134
20137.8050285969,326.421772982996,2468.78831998377,7992.57295469651,48.7534074021259,323.478086738251,24761.8051043318,40668.6380101662
10387.8981586299,0.0098814073596283,186.237786172965,3485.00848200332,0.00481835855590427,1907.81440534997,25010.857183557,41039.4676308982
4214.18299103269,523.767053166387,4922.26556798773,1654.05185330698,331.356039854266,3741.56176364698,21170.6075945242,55838.6778030599
6958.33400080907,196.684546089591,1322.39431510695,2891.48122298578,476.79744525191,1166.850914203,23006.6637307282,41425.2434232425
