Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
169.1111,169.5556,169.5556,-4.1389,12.0556,12.0556,3.1196,2.9633,2.9633,1.1564,1.8460,1.8460,0
153.6667,157.8889,157.8889,-10.1833,12.1389,12.1389,0.4725,1.6743,1.6743,-0.2649,1.5337,1.5337,1
161.7778,170.3333,170.3333,0.4778,25.1833,25.1833,1.4172,3.8580,3.8580,-0.0558,3.7414,3.7414,2
178.0000,165.1111,165.1111,8.6500,11.1111,11.1111,3.6515,1.8528,1.8528,2.3515,1.1299,1.1299,3
171.2222,176.4444,176.4444,-1.7778,21.7444,21.7444,2.0756,4.7340,4.7340,0.4679,3.9446,3.9446,4
156.3333,164.5556,164.5556,-8.5167,16.8056,16.8056,0.8272,1.8591,1.8591,-0.1460,1.7871,1.7871,5
172.3333,157.4444,157.4444,10.5333,6.2944,6.2944,3.4982,0.9959,0.9959,2.6015,0.5191,0.5191,6
177.1111,149.8889,149.8889,18.2611,3.4889,3.4889,5.0387,-0.6374,-0.6374,4.5910,-0.7078,-0.7078,7
159.5556,158.3333,158.3333,-0.9444,11.3333,11.3333,0.1803,1.0552,1.0552,-0.5633,1.1921,1.1921,8
160.8889,150.8889,150.8889,9.4889,2.0889,2.0889,1.6813,-0.4004,-0.4004,2.1536,-0.9417,-0.9417,9
174.4444,158.6667,158.6667,10.9444,10.8167,10.8167,4.1464,0.8179,0.8179,3.1159,0.2362,0.2362,10
172.2222,142.8889,142.8889,15.2222,-1.7611,-1.7611,3.1160,-1.1254,-1.1254,2.7759,-0.7149,-0.7149,11
165.3333,141.4444,141.4444,11.8833,-3.8056,-3.8056,1.6463,-1.5167,-1.5167,1.3934,-1.2093,-1.2093,12
170.2222,156.2222,156.2222,12.4722,5.6222,5.6222,2.8166,0.7182,0.7182,2.3677,1.0878,1.0878,13
176.0000,156.2222,156.2222,21.1500,7.8722,7.8722,3.0366,0.5573,0.5573,3.3507,0.9005,0.9005,14
176.6667,167.8889,167.8889,20.5167,19.3889,19.3889,4.7729,2.6930,2.6930,4.8313,2.4551,2.4551,15
183.4444,183.4444,183.4444,16.6944,15.6944,15.6944,5.2420,5.2420,5.2420,4.0997,3.2626,3.2626,16
208.8889,208.8889,208.8889,40.8889,44.1389,44.1389,9.6854,9.6854,9.6854,8.4459,7.9178,7.9178,17
233.6667,233.6667,233.6667,62.9667,64.0167,64.0167,14.2623,14.2623,14.2623,13.1340,11.9950,11.9950,18
204.8889,204.8889,204.8889,25.7389,38.9889,38.9889,8.6325,8.6325,8.6325,6.1154,7.0734,7.0734,19
191.5556,195.6667,195.6667,15.8556,34.8167,34.8167,6.1211,6.3986,6.3986,3.6869,4.9703,4.9703,20
195.0000,187.5556,187.5556,18.1500,24.0556,24.0556,5.8788,4.4638,4.4638,3.4053,3.1766,3.1766,21
180.4444,174.1111,174.1111,10.3944,10.9111,10.9111,3.8076,1.8813,1.8813,2.1289,0.8949,0.8949,22
169.2222,170.6667,170.6667,1.4722,11.3167,11.3167,1.6273,2.2348,2.2348,0.1422,1.2770,1.2770,23
183.7778,198.7778,198.7778,18.7278,43.6778,43.6778,4.2349,6.5965,6.5965,2.4464,6.4400,6.4400,24
176.7778,177.3333,177.3333,25.6278,20.5333,20.5333,3.5404,3.8012,3.8012,3.4606,3.3582,3.3582,25
155.8889,155.0000,155.0000,5.0389,6.5000,6.5000,-0.1298,0.5121,0.5121,0.4961,1.2057,1.2057,26
176.4444,178.5556,178.5556,25.1444,25.1056,25.1056,3.2028,4.7636,4.7636,3.1883,4.7231,4.7231,27
173.3333,172.4444,172.4444,21.5333,19.2444,19.2444,2.6894,3.2808,3.2808,2.8107,3.2482,3.2482,28
175.5556,177.1111,177.1111,24.4056,23.0611,23.0611,1.8079,3.2255,3.2255,2.6444,3.8410,3.8410,29
181.4444,178.6667,178.6667,35.5444,27.4167,27.4167,4.7259,5.2779,5.2779,5.4481,5.1867,5.1867,30
153.8889,163.5556,163.5556,12.8389,20.4056,20.4056,0.9866,2.6765,2.6765,1.6960,3.2597,3.2597,31
160.8889,161.5556,161.5556,17.1389,11.8556,11.8556,1.6476,2.2079,2.2079,1.8772,1.9316,1.9316,32
