,Frame,Intensity_Corrected,Intensity_Raw
224,224,4.9167,163.6667
225,225,16.4778,173.7778
226,226,13.0167,171.6667
227,227,15.6833,175.3333
228,228,15.5944,170.4444
229,229,9.6944,162.4444
230,230,11.7833,169.3333
231,231,2.4944,161.4444
232,232,11.6833,166.3333
233,233,10.4,165.0
234,234,1.2889,153.8889
235,235,7.7111,161.1111
236,236,10.3389,161.8889
237,237,7.55,165.0
238,238,6.8333,162.3333
239,239,12.4056,166.5556
240,240,16.8778,172.7778
241,241,5.4222,163.2222
242,242,4.7222,164.2222
243,243,8.9389,163.8889
244,244,10.0778,165.7778
245,245,9.1833,164.3333
246,246,13.65,169.0
247,247,4.4111,165.1111
248,248,4.1889,161.8889
249,249,7.2167,167.6667
250,250,6.9111,169.1111
251,251,14.6833,173.3333
252,252,21.65,173.0
253,253,6.5667,165.6667
254,254,-0.9778,159.2222
255,255,20.4667,175.6667
256,256,2.3889,157.8889
257,257,6.4222,160.2222
258,258,1.0333,157.3333
259,259,2.3944,158.4444
260,260,6.2111,166.1111
261,261,6.8,159.0
262,262,7.3444,156.4444
263,263,5.0556,161.5556
264,264,6.9778,159.7778
265,265,11.9056,162.5556
266,266,8.5056,159.5556
267,267,4.9389,153.8889
268,268,6.1333,162.3333
269,269,13.4889,160.8889
270,270,8.05,161.0
271,271,12.3722,169.2222
272,272,16.1222,166.2222
273,273,0.4167,159.6667
274,274,9.0444,164.4444
275,275,4.5778,157.7778
276,276,3.0778,157.7778
277,277,12.6,166.0
278,278,8.25,164.0
279,279,3.3667,154.6667
280,280,6.4333,162.3333
281,281,-1.75,156.0
282,282,5.3278,160.7778
283,283,-0.3944,149.5556
284,284,-11.4444,149.5556
285,285,-2.7556,149.4444
286,286,-8.4556,147.4444
287,287,-3.6556,152.4444
288,288,6.3222,154.2222
289,289,2.15,155.0
290,290,0.9944,157.4444
291,291,0.6667,154.6667
292,292,1.0556,153.5556
293,293,4.2444,158.4444
294,294,-2.9556,150.4444
295,295,-8.4944,144.5556
296,296,-0.0667,152.3333
297,297,-6.5333,149.6667
298,298,12.2,166.0
299,299,4.9167,158.6667
300,300,-0.1778,150.2222
301,301,-5.4278,150.2222
302,302,-2.5833,148.6667
303,303,10.9056,156.5556
304,304,-0.8333,149.6667
305,305,-1.4667,150.3333
306,306,-4.6833,144.6667
307,307,2.8333,156.3333
308,308,-7.7333,145.6667
309,309,-4.4111,147.8889
310,310,-3.5333,144.6667
311,311,-2.6056,147.4444
312,312,8.5278,152.7778
313,313,4.6389,153.8889
314,314,-3.2111,146.8889
315,315,0.25,146.0
316,316,-0.6278,149.2222
317,317,2.0333,151.3333
318,318,-4.2444,143.5556
319,319,0.2,147.0
320,320,-1.4722,144.7778
321,321,10.4056,155.5556
322,322,1.0,147.0
323,323,9.7222,157.2222
324,324,-0.6444,152.5556
325,325,-6.2611,146.8889
326,326,4.4111,150.1111
327,327,-3.4222,143.7778
328,328,-0.4556,149.4444
329,329,7.6778,155.7778
330,330,-4.0556,149.4444
331,331,-0.6944,145.5556
332,332,-1.8611,152.8889
333,333,-3.8,147.0
334,334,7.1056,157.5556
335,335,-0.1667,151.3333
336,336,0.5056,149.5556
337,337,-2.9944,147.5556
338,338,4.4444,147.4444
339,339,-6.3333,140.6667
340,340,-0.1556,147.4444
341,341,1.5389,146.8889
342,342,-2.4556,145.4444
343,343,-0.0611,148.8889
344,344,-1.8278,144.2222
345,345,-5.2111,144.8889
346,346,-6.7778,140.2222
347,347,6.6889,148.8889
348,348,-0.2111,145.8889
349,349,4.15,150.0
350,350,6.2056,156.5556
351,351,8.4444,156.4444
352,352,-4.6389,145.1111
353,353,0.4056,149.5556
354,354,0.8889,150.8889
355,355,-0.2111,147.8889
356,356,2.0222,147.2222
357,357,-7.0778,141.2222
358,358,3.4722,152.2222
359,359,5.5,160.0
360,360,1.6389,151.8889
361,361,3.9389,150.8889
362,362,3.9222,154.2222
363,363,0.7111,146.1111
364,364,-1.3556,148.4444
365,365,7.1111,153.1111
366,366,1.7556,147.5556
367,367,4.0833,146.3333
368,368,4.1056,150.5556
369,369,1.6889,147.8889
370,370,3.9278,147.7778
371,371,-4.2389,146.1111
372,372,1.4111,148.1111
373,373,0.3111,148.1111
374,374,0.8167,149.6667
375,375,2.1778,153.7778
376,376,-2.8278,142.2222
377,377,2.0944,147.4444
378,378,0.7333,146.3333
379,379,-4.1278,143.2222
380,380,0.5111,146.1111
381,381,5.0556,146.5556
382,382,4.7778,152.7778
383,383,4.7944,154.4444
384,384,-4.7667,145.3333
385,385,-1.2278,146.2222
386,386,3.6444,148.4444
387,387,-3.0167,147.3333
388,388,-8.5611,139.8889
389,389,2.75,154.0
390,390,-0.95,151.0
391,391,7.3667,152.6667
392,392,-0.2056,143.4444
393,393,1.3167,150.6667
394,394,5.5056,148.5556
395,395,1.1889,147.8889
396,396,-7.5667,141.3333
397,397,-6.6167,141.3333
398,398,-6.85,140.0
399,399,7.1056,156.5556
400,400,12.0222,156.2222
401,401,1.0111,148.1111
402,402,-7.6722,138.7778
403,403,-2.3,142.0
404,404,-2.4833,146.6667
405,405,0.6389,150.8889
406,406,1.3833,145.3333
407,407,5.5278,150.7778
408,408,3.7444,152.4444
409,409,3.1667,149.6667
410,410,-1.1944,141.5556
411,411,-4.4556,142.4444
412,412,1.3778,148.7778
413,413,-0.75,155.0
414,414,6.6389,156.8889
415,415,0.0278,147.7778
416,416,-1.3833,139.6667
417,417,3.2556,152.5556
418,418,-1.3889,150.1111
419,419,-6.5278,144.2222
420,420,1.8444,152.4444
421,421,-5.9056,142.4444
422,422,-1.6278,149.2222
423,423,6.9333,160.3333
424,424,0.85,150.0
425,425,1.7333,147.3333
