Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
145.6667,145.6667,145.6667,7.4167,7.4167,7.4167,-0.4530,-0.4530,-0.4530,0.7844,0.7844,0.7844,0
140.4444,140.4444,140.4444,-2.3556,-2.3556,-2.3556,-0.8582,-0.8582,-0.8582,0.0258,0.0258,0.0258,1
146.1111,146.1111,146.1111,11.0111,11.0111,11.0111,0.7293,0.7293,0.7293,2.0914,2.0914,2.0914,2
135.3333,135.3333,135.3333,-1.0167,-1.0167,-1.0167,-1.1172,-1.1172,-1.1172,0.1198,0.1198,0.1198,3
139.6667,139.6667,139.6667,4.9667,4.9667,4.9667,-0.8693,-0.8693,-0.8693,-0.1627,-0.1627,-0.1627,4
154.0000,154.0000,154.0000,9.6000,9.6000,9.6000,0.9604,0.9604,0.9604,1.3562,1.3562,1.3562,5
149.4444,149.4444,149.4444,2.9444,2.9444,2.9444,0.5809,0.5809,0.5809,0.6317,0.6317,0.6317,6
150.0000,150.0000,150.0000,3.1500,3.1500,3.1500,0.3489,0.3489,0.3489,0.5930,0.5930,0.5930,7
145.7778,145.7778,145.7778,7.8778,7.8778,7.8778,-0.1237,-0.1237,-0.1237,0.8878,0.8878,0.8878,8
147.5556,147.5556,147.5556,6.7556,6.7556,6.7556,0.9473,0.9473,0.9473,1.0251,1.0251,1.0251,9
148.6667,148.6667,148.6667,0.6667,0.6667,0.6667,0.4268,0.4268,0.4268,0.0654,0.0654,0.0654,10
149.6667,149.6667,149.6667,0.5667,0.5667,0.5667,-0.1137,-0.1137,-0.1137,-0.3149,-0.3149,-0.3149,11
152.5556,152.5556,152.5556,8.7056,8.7056,8.7056,1.3631,1.3631,1.3631,1.5150,1.5150,1.5150,12
149.7778,149.7778,149.7778,3.3278,3.3278,3.3278,1.3941,1.3941,1.3941,1.0246,1.0246,1.0246,13
149.1111,149.1111,149.1111,6.7611,6.7611,6.7611,1.4573,1.4573,1.4573,1.7487,1.7487,1.7487,14
153.1111,153.1111,153.1111,15.9111,15.9111,15.9111,1.8632,1.8632,1.8632,2.6305,2.6305,2.6305,15
