Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
141.2222,211.3333,211.3333,5.6222,-10.4667,-10.4667,0.4774,0.4561,0.4561,0.5891,-0.8967,-0.8967,0
138.7778,213.3333,213.3333,1.2778,-2.7667,-2.7667,0.0068,1.9343,1.9343,0.0204,0.5590,0.5590,1
135.8889,196.8889,196.8889,-2.6111,-10.5111,-10.5111,0.1986,0.5209,0.5209,-0.1795,0.3768,0.3768,2
134.7778,195.4444,195.4444,3.1778,-8.9556,-8.9556,0.0328,0.3591,0.3591,0.4206,-0.3641,-0.3641,3
138.5556,202.4444,202.4444,4.7056,-7.2556,-7.2556,-0.1419,1.1207,1.1207,0.0487,-0.2287,-0.2287,4
136.2222,195.1111,195.1111,-0.6278,-9.4889,-9.4889,-0.2296,0.2910,0.2910,-0.5505,-0.1733,-0.1733,5
138.0000,208.7778,208.7778,4.3000,-0.8222,-0.8222,0.4327,2.7731,2.7731,0.4560,1.5807,1.5807,6
131.2222,187.5556,187.5556,-5.1778,-10.9444,-10.9444,-0.5236,-0.7753,-0.7753,-0.7941,-1.5341,-1.5341,7
134.5556,199.8889,199.8889,-0.8444,0.6389,0.6389,-0.2846,1.9359,1.9359,-0.3866,1.4179,1.4179,8
135.2222,200.7778,200.7778,0.7722,1.0278,1.0278,0.1159,2.2344,2.2344,0.2406,1.5379,1.5379,9
138.1111,199.7778,199.7778,4.8611,-5.8222,-5.8222,0.3488,0.9163,0.9163,0.3958,0.2992,0.2992,10
134.2222,202.3333,202.3333,1.3722,-1.1167,-1.1167,-0.2667,1.5422,1.5422,-0.0894,0.7041,0.7041,11
133.6667,190.6667,190.6667,-0.8833,-8.9833,-8.9833,-0.0126,0.9641,0.9641,0.0230,0.3423,0.3423,12
136.4444,187.1111,187.1111,2.0944,-12.9389,-12.9389,0.2429,-0.7255,-0.7255,0.2865,-1.4556,-1.4556,13
132.3333,191.0000,191.0000,-2.0167,-18.0500,-18.0500,-0.8874,-1.0531,-1.0531,-1.0375,-2.1550,-2.1550,14
134.8889,189.5556,189.5556,-1.2111,-9.2444,-9.2444,-0.5322,0.9852,0.9852,-0.6117,0.2618,0.2618,15
140.0000,191.7778,191.7778,4.4500,-13.0222,-13.0222,0.4977,-0.2980,-0.2980,0.3909,-1.6192,-1.6192,16
136.8889,183.0000,183.0000,2.0389,-14.8500,-14.8500,0.4077,-0.2590,-0.2590,0.2733,-1.8367,-1.8367,17
140.3333,191.8889,191.8889,4.7833,-9.5611,-9.5611,0.5660,1.7938,1.7938,0.6575,0.3002,0.3002,18
142.0000,187.1111,187.1111,5.7000,-0.9389,-0.9389,0.9388,1.4340,1.4340,0.8593,0.9280,0.9280,19
