Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
125.4444,125.1111,125.1111,-2.5556,-2.7889,-2.7889,-0.5873,-0.2233,-0.2233,-0.6766,-0.0806,-0.0806,0
127.8889,124.8889,124.8889,-0.2111,-5.3611,-5.3611,-0.3469,-0.7586,-0.7586,-0.4822,-0.8596,-0.8596,1
123.8889,122.0000,122.0000,-0.0611,-4.0500,-4.0500,-0.2705,-0.6900,-0.6900,-0.1267,-0.5514,-0.5514,2
136.5556,128.1111,128.1111,8.7556,-2.6389,-2.6389,1.1290,0.2601,0.2601,0.9182,0.3685,0.3685,3
131.8889,134.2222,134.2222,1.5389,3.3722,3.3722,0.6738,0.8500,0.8500,0.3396,0.8348,0.8348,4
131.1111,129.0000,129.0000,3.4111,-2.3500,-2.3500,0.0731,-0.2840,-0.2840,0.1912,-0.3155,-0.3155,5
134.3333,135.0000,135.0000,2.9333,5.6500,5.6500,1.1149,1.2588,1.2588,0.8312,1.4154,1.4154,6
128.5556,127.7778,127.7778,4.4556,-6.1222,-6.1222,-0.2028,-0.0561,-0.0561,0.2772,-0.2324,-0.2324,7
137.8889,134.1111,134.1111,9.0889,6.5111,6.5111,1.3168,1.4201,1.4201,1.1337,1.4756,1.4756,8
124.4444,124.5556,124.5556,-1.2556,-1.1444,-1.1444,-0.8813,-0.4762,-0.4762,-0.5326,-0.1292,-0.1292,9
137.2222,135.5556,135.5556,8.0222,4.0056,4.0056,1.3168,0.8937,0.8937,1.0070,0.5151,0.5151,10
133.5556,132.2222,132.2222,3.1556,2.2222,2.2222,1.0093,1.0769,1.0769,0.4622,0.8629,0.8629,11
126.7778,124.5556,124.5556,-2.3222,-3.1444,-3.1444,-0.0760,-0.4743,-0.4743,-0.4189,-0.5025,-0.5025,12
138.7778,129.7778,129.7778,11.9778,0.2778,0.2778,1.8667,0.8727,0.8727,1.7453,0.8403,0.8403,13
