Quality,I_BG,Raw_I,Radius,Frames,Set_ID
16.188079833984375,32.17857142857139,329.3333333333333,1.5,4,1
15.07183837890625,30.22619047619048,318.9047619047619,1.5,4,1
19.22100830078125,40.64285714285712,309.2857142857143,1.5,4,1
17.08575439453125,42.821428571428555,281.57142857142856,1.5,5,1
22.82757568359375,51.6071428571429,350.7142857142857,1.5,5,1
21.89364624023437,43.97619047619043,377.6190476190476,1.5,4,1
13.14276123046875,34.10714285714283,369.2857142857143,1.5,4,1
20.3458251953125,51.500000000000014,375.2857142857143,1.5,4,1
21.140777587890625,43.547619047619044,389.04761904761904,1.5,6,1
13.28167724609375,33.54761904761904,334.6666666666667,1.5,4,1
11.50665283203125,27.5,309.1428571428572,1.5,5,1
14.978271484375,35.797619047619044,339.04761904761904,1.5,6,1
17.8157958984375,41.190476190476204,403.04761904761904,1.5,7,1
22.80517578125,56.78571428571427,399.57142857142856,1.5,5,1
16.873382568359375,36.54761904761904,298.57142857142856,1.5,5,1
12.3426513671875,28.869047619047592,320.6190476190476,1.5,3,1
16.89178466796875,38.79761904761903,339.6190476190476,1.5,5,1
12.288787841796877,31.96428571428572,391.7142857142857,1.5,4,1
23.075653076171875,49.27380952380958,420.3809523809524,1.5,5,1
17.83404541015625,51.107142857142826,392.5238095238095,1.5,6,1
14.90325927734375,40.059523809523796,372.95238095238096,1.5,4,1
17.147979736328125,43.24999999999999,348.04761904761904,1.5,4,1
15.228607177734377,37.29761904761903,361.4761904761905,1.5,4,1
13.430572509765623,28.345238095238074,307.7619047619048,1.5,4,1
13.868988037109377,24.797619047619037,315.6666666666667,1.5,4,1
21.3184814453125,54.904761904761926,380.04761904761904,1.5,7,1
16.336669921875,35.64285714285711,309.85714285714283,1.5,5,1
15.474945068359377,35.42857142857145,307.42857142857144,1.5,5,1
