Quality,I_BG,Raw_I,Radius,Distance,Cell_ID,Nu_ID,Set_ID
41.3443603515625,116.82295081967214,475.4754098360656,3.5,60.296863501069424,0,1,1
28.926483154296875,89.21768149882905,429.5409836065574,3.5,60.296863501069424,0,2,1
38.17730712890625,118.86615925058543,486.4590163934426,3.5,35.69895259991197,1,1,1
37.735626220703125,108.86604215456681,501.1803278688525,3.5,35.69895259991197,1,2,1
57.4014892578125,167.51791569086643,541.639344262295,3.5,70.64241627526538,2,1,1
58.38214111328125,178.33583138173304,591.2786885245902,3.5,70.64241627526538,2,2,1
39.385101318359375,118.09812646370028,492.5409836065574,3.5,45.12727786771,3,1,1
36.013397216796875,98.44086651053868,409.7704918032787,3.5,45.12727786771,3,2,1
26.609893798828125,81.92259953161596,383.7377049180328,3.5,80.6934645917868,4,1,1
29.6171875,93.66955503512884,384.5409836065574,3.5,80.6934645917868,4,2,1
45.879638671875,128.30843091334896,511.9836065573771,3.5,45.7128069491609,5,1,1
40.46383666992188,114.14742388758783,454.8688524590164,3.5,45.7128069491609,5,2,1
45.42919921875,137.3185011709602,471.0327868852459,3.5,66.06416184329387,6,1,1
44.06939697265625,134.3371194379391,481.344262295082,3.5,66.06416184329387,6,2,1
48.14376831054688,145.1213114754098,478.7213114754098,3.5,57.69592028142384,7,1,1
45.779876708984375,137.89309133489462,467.7377049180328,3.5,57.69592028142384,7,2,1
45.05029296875,135.59859484777516,514.655737704918,3.5,64.66872077450815,8,1,1
52.985443115234375,156.45562060889927,480.37704918032784,3.5,64.66872077450815,8,2,1
40.1029052734375,124.54882903981262,555.327868852459,3.5,16.857785532377044,9,1,1
44.2421875,130.01147540983607,413.3114754098361,3.5,16.857785532377044,9,2,1
33.50726318359375,93.13079625292738,344.27868852459017,3.5,58.77808686772514,10,1,1
33.793975830078125,94.94625292740048,318.08196721311475,3.5,58.77808686772514,10,2,1
69.79022216796875,199.90866510538643,624.344262295082,3.5,58.02652792811775,11,1,1
62.4136962890625,189.6038641686182,663.1967213114754,3.5,58.02652792811775,11,2,1
