28 28
22 22
25 25
33 33
45 45
35 35
38 38
20 20
139 139
53 53
52 52
106 106
46 46
59 59
35 35
33 33
28 28
52 52
49 49
45 45
53 53
34 34
33 33
38 38
18 18
24 24
32 32
49 49
37 37
23 23
39 39
58 58
26 26
33 33
31 31
22 22
79 79
46 46
27 27
22 22
59 59
42 42
39 39
28 28
67 67
54 54
37 37
51 51
27 27
57 57
96 96
121 121
33 33
46 46
67 67
37 37
80 80
127 127
148 148
50 50
47 47
53 53
55 55
74 74
22 22
82 82
34 34
122 122
71 71
45 45
35 35
42 42
37 37
83 83
73 73
97 97
70 70
38 38
37 37
35 35
26 26
86 86
81 81
26 26
32 32
64 64
59 59
26 26
57 57
33 33
50 50
42 42
84 84
63 63
49 49
34 34
41 41
64 64
54 54
45 45
27 27
41 41
26 26
100 100
52 52
53 53
58 58
74 74
37 37
24 24
49 49
53 53
60 60
47 47
59 59
87 87
39 39
76 76
62 62
58 58
70 70
50 50
54 54
102 102
48 48
63 63
62 62
78 78
31 31
43 43
58 58
69 69
49 49
60 60
33 33
31 31
48 48
48 48
38 38
97 97
52 52
81 81
81 81
26 26
32 32
47 47
38 38
115 115
78 78
58 58
34 34
69 69
116 116
41 41
54 54
79 79
96 96
44 44
60 60
42 42
80 80
44 44
40 40
42 42
31 31
40 40
59 59
58 58
22 22
53 53
38 38
74 74
121 121
85 85
67 67
95 95
22 22
100 100
76 76
32 32
77 77
20 20
28 28
29 29
48 48
67 67
52 52
33 33
96 96
45 45
61 61
32 32
38 38
44 44
67 67
29 29
77 77
78 78
37 37
71 71
82 82
50 50
36 36
95 95
29 29
33 33
40 40
32 32
58 58
32 32
48 48
27 27
48 48
57 57
38 38
63 63
75 75
42 42
141 141
94 94
27 27
47 47
45 45
53 53
30 30
36 36
35 35
62 62
68 68
53 53
60 60
22 22
15 15
25 25
20 20
47 47
23 23
83 83
143 143
51 51
73 73
82 82
65 65
54 54
59 59
50 50
33 33
51 51
41 41
110 110
74 74
35 35
51 51
56 56
41 41
52 52
40 40
19 19
60 60
86 86
60 60
41 41
45 45
40 40
93 93
62 62
39 39
47 47
38 38
29 29
68 68
62 62
88 88
43 43
46 46
43 43
29 29
35 35
19 19
32 32
35 35
36 36
31 31
24 24
18 18
45 45
43 43
54 54
41 41
34 34
46 46
86 86
64 64
38 38
37 37
58 58
33 33
76 76
54 54
26 26
50 50
94 94
