Quality,I_BG,Raw_I,Radius,Frames,Set_ID
17.22149658203125,41.48809523809524,326.0952380952381,1.5,5,2
23.265594482421875,47.64285714285711,412.57142857142856,1.5,4,2
21.16656494140625,44.059523809523796,358.8095238095238,1.5,3,2
17.542755126953125,38.845238095238074,319.23809523809524,1.5,4,2
22.64459228515625,45.29761904761904,348.3333333333333,1.5,4,2
13.20758056640625,28.440476190476204,327.3809523809524,1.5,4,2
21.445037841796875,53.523809523809575,349.3809523809524,1.5,4,2
17.86090087890625,34.07142857142861,359.42857142857144,1.5,3,2
12.6776123046875,32.71428571428573,303.42857142857144,1.5,3,2
17.504425048828125,39.88095238095235,372.8095238095238,1.5,4,2
12.78948974609375,30.10714285714283,273.57142857142856,1.5,3,2
19.924346923828125,47.97619047619048,356.7142857142857,1.5,5,2
15.497589111328123,40.428571428571445,303.1428571428572,1.5,3,2
20.32870483398437,51.30952380952378,381.0952380952381,1.5,6,2
33.28338623046875,88.09523809523806,450.5238095238095,1.5,5,2
20.91180419921875,50.440476190476204,313.7619047619048,1.5,4,2
22.473358154296875,48.80952380952383,283.6666666666667,1.5,3,2
