Quality,I_BG,Raw_I,Radius,Distance,Cell_ID,Nu_ID,Set_ID
46.178009033203125,140.99519906323184,426.1639344262295,3.5,51.908597639863004,0,1,2
39.82144165039063,116.7954332552693,443.1803278688525,3.5,51.908597639863004,0,2,2
65.63507080078125,196.52259953161598,581.7868852459017,3.5,61.30493456864368,1,1,2
61.3350830078125,187.2064402810304,580.327868852459,3.5,61.30493456864368,1,2,2
45.87591552734375,130.21053864168618,471.2131147540984,3.5,59.69604590272389,2,1,2
46.260772705078125,137.58758782201403,485.0491803278688,3.5,59.69604590272389,2,2,2
37.392852783203125,114.28758782201402,365.4590163934426,3.5,58.528558429832,3,1,2
26.919586181640625,84.5352459016393,344.4918032786885,3.5,58.528558429832,3,2,2
44.156829833984375,131.10854800936772,483.344262295082,3.5,47.795154363507756,4,1,2
43.73214721679688,127.60854800936772,417.344262295082,3.5,47.795154363507756,4,2,2
41.73846435546875,121.27775175644032,540.0491803278688,3.5,52.313763404252754,5,1,2
36.14892578125,109.35351288056205,482.3606557377049,3.5,52.313763404252754,5,2,2
36.23159790039063,111.67915690866509,448.2295081967213,3.5,68.14266373990364,6,1,2
47.31683349609375,137.06557377049185,540.8196721311475,3.5,68.14266373990364,6,2,2
57.3382568359375,176.26920374707254,527.7049180327868,3.5,79.76039512520015,7,1,2
56.182861328125,177.33067915690867,553.016393442623,3.5,79.76039512520015,7,2,2
32.408172607421875,97.92107728337237,399.1639344262295,3.5,67.51854157727212,8,1,2
31.6824951171875,90.72025761124121,351.9672131147541,3.5,67.51854157727212,8,2,2
57.0880126953125,163.55620608899295,523.4262295081967,3.5,44.201708594435175,9,1,2
50.9735107421875,152.0853629976581,528.1639344262295,3.5,44.201708594435175,9,2,2
36.051849365234375,102.4443793911007,381.344262295082,3.5,54.447271947749215,10,1,2
27.34716796875,78.0833723653396,312.42622950819674,3.5,54.447271947749215,10,2,2
