,Unnamed: 0,File_ID,Site_ID,Label,N_Locs,R_Raw,R_2nd,R_PCA,R_w,GFP_Distance,Nt_Locs_Gr,PCA_Ratio,PCA_Theta,PCA_Center,GFP_Center,Mass_Center,Fit_Center,Ro,Sigma,Fit_Shift,Err_Ro,Fill_Factor,Ratio_Var,Err_Sigma,Cov,Corr_Coef,Nexos,Inner_Radius,z1,z2,varX,varY,Mean_Angle,R_Tau,Sigma_Tau,Tau_Center,Tau_Shift,R_LM,Sigma_LM,LM_Center,LM_Shift,Inner_Radius_Tau,z1_Tau,z2_Tau,varX_Tau,varY_Tau,Mean_Angle_Tau,Fill_Factor_Tau,Ratio_Var_Tau,Set,Model,Err_Ro_Norm,Err_Ro_dx,N_Locs_dx,Mass_Center_dx,Pred,Ring_Rand,Spot,File_ID_or
1104,1104,4,1,Sec18,65,63.59164667294026,63.59164667294026,77.61998100227842,63.93543958841244,31.79144349825299,63.0,0.7514185369286147,0.8736398909147672,[18967.36553809 49567.44242327],[18970.12 49571.56],[18987.77692308 49591.816     ],[-2.25582529 10.24393989],1.82854074634846e-17,29.497098146052256,10.489378061497234,1.7206212824958265,0.5625,0.8155217159209708,0.7971148507684579,-1.3118853326744004,-0.9565103764495207,3.5187008296780427,11.155379848509142,0.0666380820693809,0.3313195097510634,0.5483599327332149,0.4471994332848995,0.4176058614940745,49.50731283126524,17.959175001186026,[-18.58845446 -12.5665428 ],22.437661133557423,50.76651850191063,17.33982492921341,[-21.78203936 -21.0594792 ],30.2978366010364,21.96349844757861,0.5010330344519787,0.1883873544782908,0.440460428623312,0.3085054697645303,0.6996069561651004,0.625,0.7004158596693565,Sec18_AA,40001,13.872092266689364,2.363539123722332,39,[18984.65704675 49591.73889108],Ring_Rand,0.56,0.44,4
1105,1105,4,2,Sec18,57,79.2658073316437,79.2658073316437,79.45000198788354,71.55838365860784,3.862073828133009,56.0,0.6109835173124583,0.8991069603910915,[18022.4602799  49488.52898404],[18027.94 49495.  ],[18024.86368421 49491.55210526],[3.38564921 3.47448154],48.27341588405533,9.38539866884794,4.851251643134844,0.1433352799203133,0.5625,0.9565518588178972,0.1419743086115029,-0.0039943947063992,-0.1962854537082117,3.078863225968288,26.65685835193564,0.0646711951535869,0.1612269147758996,0.5089656233896384,0.4868520131277684,0.4340522574949813,55.76273494519716,18.2413780261468,[-8.65516522 -1.70970209],8.822412720189407,52.93324760186641,17.97640113098213,[-9.72245925 -1.22748842],9.799639879247223,26.940397951545947,0.1798258957633088,0.191636035581858,0.5015503726559586,0.4661122745569651,0.3677343239527909,0.5625,0.929342893493766,Sec18_AA,40002,1.0821576321315536,0.4032018906195255,38,[18018.80268902 49488.46537545],Ring_Rand,0.6,0.4,4
1106,1106,4,4,Sec18,38,72.614704643963,67.48598212857839,70.45211704555048,54.37789578866846,14.448059899785784,46.0,0.7300480606260672,0.5754828372567676,[36654.02725248 38034.99731534],[36672.88 38012.31],[36666.14815789 38042.86052632],[-5.86583318  7.9785552 ],33.76821693702776,17.889287254587476,9.902794658450146,0.3983205365668398,0.3125,0.9237243349076149,0.3665724217964898,-0.0805237615274816,-0.5514822857573263,2.089228617621338,16.589401535410435,0.1573520556681006,0.3842971157287809,0.5069543036288815,0.4682860269481415,2.202078138761583,54.58838493888525,18.388411381068025,[-12.69982413 -22.24756856],25.61717860529789,48.22373208187432,17.224972167296706,[  0.1931219  -17.27827468],17.279353917904682,28.207434210399764,0.4809885494064462,0.2715866637117066,0.3347269749132446,0.433923040426638,1.144241625078894,0.375,1.2963491829097529,Sec18_AA,40004,2.455412693282743,0.522922151062945,29,[36665.98286751 38041.98390806],Spot,0.4,0.6,4
1107,1107,4,7,Sec18,58,68.68598658064431,68.68598658064431,69.52172935458358,61.62187898050802,7.676697442272784,59.0,0.6262493795324341,1.4339048164066133,[18864.66000947 37827.4800542 ],[18864.5  37820.06],[18863.61241379 37819.87517241],[3.95511624 5.45607078],40.701664110127,13.54993366216147,6.738816873495521,0.1998172560085464,0.5625,0.6405226093777509,0.1941917131713652,-0.0132888442585912,-0.3424707838550783,3.188822626895726,23.24555958326233,0.1126840160755608,0.2365522335226894,0.6018218260920926,0.3854804864289901,-2.4053305441189274,52.69307410188799,14.610907498704298,[ 9.60788816 16.65009641],19.223351044243564,49.43193547681469,14.327760938458274,[ 8.74776077 12.85514789],15.549216883242144,26.54235708463144,0.359359621960266,0.1749768568945553,0.5477704501594762,0.3230902119450985,-2.1049473453872487,0.6875,0.5898277496550517,Sec18_AA,40007,1.5217628843974116,0.2351918704598762,36,[18868.56036303 37822.62593379],Ring_Rand,0.59,0.41,4
1108,1108,4,8,Sec18,35,69.63712438158136,65.48431195087909,68.10058066482203,65.51884518020778,13.353398543292531,36.0,0.62560957183485,-0.1794336396057022,[22753.47213406 42073.61006936],[22785.88 42068.44],[22766.61114286 42071.22685714],[-8.14297008 -2.6724352 ],31.72805443074771,14.878350912427994,8.570290053562509,0.2284506173701185,0.4375,1.118427924159293,0.2148243540430428,-0.0240617519764336,-0.4902881483401796,1.86930981576646,16.137356245093628,0.1189556851084697,0.0676239802521369,0.4653684620266763,0.5204810829536983,0.3222808215875859,45.27751756330479,18.368990840074154,[-5.50571996  6.94771969],8.864748230376328,41.467892971436,17.550057592049917,[-5.55617015  0.02335434],5.556219236572934,13.837452990830288,0.195233402161885,0.0743599351208451,0.4680238480087568,0.493860070671539,-0.3633893897413756,0.375,1.0552027909960235,Sec18_AA,40008,1.351532078859984,0.2478012668348913,29,[22766.00936121 42068.53396536],Ring_Rand,0.5,0.5,4
1109,1109,4,9,Sec18,45,67.20083399401766,61.04241645143264,62.43421711218985,56.7991400630286,9.363816055079583,44.0,0.7387199867468933,-0.7010167521473867,[27079.48540665 62839.1133924 ],[27062.38 62813.94],[27086.64111111 62833.07377778],[-5.48496678  5.51583181],40.56829732918175,12.786351159651504,7.778769898024479,0.2257631884885638,0.4375,1.19934239976784,0.2200806313134673,-0.0160630363338419,-0.3232903105950516,2.474086520867373,22.951346735694965,0.0595947511441422,0.5202162973561064,0.4530665465010139,0.5433819191350537,1.923295529164876,45.875244520008216,11.806368153927467,[  9.86013646 -10.3055934 ],14.26280289380819,44.20385660131982,11.698201910432651,[ 9.90058196 -9.57584618],13.773828557094223,24.20164889886772,0.3192163713733948,0.2927985866501303,0.4262304788362911,0.4718704294109118,2.3578263384981675,0.5,1.1070781017331948,Sec18_AA,40009,1.5144655088325805,0.3124258269934359,25,[27090.73022447 62830.34766543],Spot,0.48,0.52,4
1110,1110,4,11,Sec18,56,58.03629822074925,55.97742254136927,55.9826096478376,49.21882104793072,0.5443347405523229,62.0,0.5973490550186716,-1.4797661643392523,[31864.84894676 55350.85916901],[31885.   55323.12],[31864.79946429 55351.40125   ],[0.39944759 6.15628199],21.571349347153884,19.111004099648625,6.169227365982684,0.2857191626971466,0.375,0.8894550267863245,0.2237009921894198,-0.0493610294620287,-0.7722838083936225,3.0238835255045675,11.795305214063982,0.0292255075624218,0.1083006618117256,0.5288010857856268,0.4703447839220921,-1.4937157710951678,39.48959659809522,16.029649172588194,[-0.08079713  7.95349621],7.953906591821198,36.05416592564271,15.197322471308388,[4.81534513 4.86683843],6.846434477705296,14.218320675285652,0.165093089594049,0.0659059449882496,0.5109834246710718,0.4617608470972195,-1.6506062401734134,0.6875,0.9036708918581112,Sec18_AA,40011,2.1381264312972887,0.431642077030011,37,[31864.02550617 55355.16980754],Ring_Rand,0.61,0.39,4
1111,1111,4,12,Sec18,61,63.77409793919813,61.34204503443179,65.5358534977603,61.11349041232775,16.47666260343709,65.0,0.7008154774637899,-1.452433384878181,[40359.48661934 51857.86105216],[40346.84 51841.53],[40361.43229508 51841.49967213],[4.90862928 5.42938525],32.516499156842904,18.49977060625379,7.319348720167541,0.3257937959424697,0.5625,0.569731672615812,0.2950811735754476,-0.0564750569585985,-0.5874519716400242,3.353761728286884,17.70407620708033,0.0875675213593896,0.2928223576097585,0.6321665966956914,0.3601653325072817,-2.298625085567432,44.01426698241573,15.47899015897812,[1.76888442 3.78247388],4.175650937431302,42.1830071037527,14.941044487110414,[3.95906424 8.1943317 ],9.100618757766672,21.60233497080364,0.1462542115572518,0.3080358437881516,0.6340845397108671,0.3445251658908997,-2.1099324814919016,0.5,0.5433426370054661,Sec18_AA,40012,2.5445308891720733,0.2850884758788914,34,[40362.05756326 51842.80552872],Ring_Rand,0.57,0.43,4
1112,1112,4,14,Sec18,48,66.61821231158775,63.84087508727978,128.49972060524425,57.30567240658526,79.65653586478612,51.0,0.7544861438898077,0.1915459807099139,[39660.92220461 51896.21684198],[39569.5  51868.88],[39582.7225     51881.05208333],[-15.90894941  -1.63596906],30.79594047977858,13.601430476285833,15.992844219148015,0.1844870439324128,0.4375,1.2117988440911784,0.1749180195750493,-0.0148862581245127,-0.4613017705909687,2.584045921794812,14.42275954716284,0.0151800299034637,0.2218044616368599,0.4520164975051934,0.5477530691869364,-0.486179482528402,44.121654534341154,18.412618695148407,[3.68592123 1.3658153 ],3.930835374154279,40.540121261101575,17.445042506715115,[-2.51405253 -5.70346017],6.2329702452457285,12.360992948194223,0.062016744958484,0.2025517577014229,0.455541146996444,0.5406127763483105,-2.407872067042412,0.4375,1.186748507599755,Sec18_AA,40014,1.2781637337165224,0.7860174320974042,35,[39584.50498788 51883.72186668],Ring_Rand,0.51,0.49,4
1113,1113,4,15,Sec18,33,78.47339751635675,69.45850773665931,91.56509419165504,70.75947862127957,42.98905656283198,47.0,0.8233430538314047,1.5451142136480858,[40552.5830295  53159.00594415],[40538.25 53118.88],[40552.59088235 53201.995     ],[ 16.8173652 -13.2558848],1.7663772191735871e-22,16.574524027914933,21.4135997443434,1.2145876842766712,0.3125,0.4090768899382596,0.5631563260854635,-0.6540090280748174,-0.956149722442044,1.7043707143753015,13.42665140433714,0.3163694118310528,0.353604925056013,0.6386524409587785,0.2612579542988951,1.2350823268516022,56.24843961143465,10.693544788011858,[  0.97579728 -34.60555042],34.619305312326176,54.16827186302567,10.569378073842138,[ -0.6221852 -32.7956809],32.801582282057765,29.265100221726097,0.73326224554618,0.2119569123035064,0.3765097857787291,0.0858166934778445,1.3880874981686686,0.4375,0.2279268606534388,Sec18_AA,40015,6.9772750420408896,0.5892361308734234,20,[40556.73070126 53196.33917166],Spot,0.42,0.58,4
