,File_ID_or,File_ID,Site_ID,Set,Replicate,Label,Nt_Locs_Gr,Mass_Center_X,Mass_Center_Y,GFP_Center_X,GFP_Center_Y,Tau_Center_X,Tau_Center_Y,R_Raw,R_2nd,R_w,R_Tau,Sigma_Tau,Inner_Radius_Tau,z1_Tau,z2_Tau,N_Locs,Compact,Expanded,Pred
0,4,4,1,Sec18_AA,0,Sec18_AA_Rep0,63.0,18987.77692308,49591.816,18970.12,49571.56,-18.58845446,-12.5665428,63.59164667294026,63.59164667294026,63.93543958841244,49.50731283126524,17.959175001186026,21.96349844757861,0.5010330344519787,0.1883873544782908,65,0.0133434495969483,0.9866565504030516,Expanded
1,4,4,49,Sec18_AA,0,Sec18_AA_Rep0,86.0,26759.59512821,41125.8225641,26794.79,41150.21,10.6621706,0.58031763,68.46035755712474,63.60041794798542,59.50088994665541,45.8681666400799,15.288771337321844,21.916212026412392,0.2474601810531586,0.1693225043095775,78,0.0053204888756146,0.9946795111243852,Expanded
2,4,4,50,Sec18_AA,0,Sec18_AA_Rep0,74.0,15634.80552632,56343.32394737,15654.55,56370.49,3.7652848,-3.48762929,76.12598051789942,76.12598051789942,65.57987415371417,51.12828557742255,17.309422776352754,22.759457216098884,0.1684625105238316,0.2915362242746305,76,0.0055781337733462,0.9944218662266536,Expanded
3,4,4,51,Sec18_AA,0,Sec18_AA_Rep0,76.0,20706.32592593,37180.67049383,20711.6,37171.2,-3.16179888,11.70775452,77.75095524054346,77.75095524054346,76.75125589088897,56.84505110785343,23.993020797581227,21.923975721904803,0.1945916966529482,0.307643787463174,81,0.0379635044032347,0.9620364955967652,Expanded
4,4,4,52,Sec18_AA,0,Sec18_AA_Rep0,48.0,24670.37708333,56320.92416667,24679.66,56331.78,-1.6453379,5.38786262,57.17094944373976,57.17094944373976,56.22209881319293,41.22313852080774,13.042417855083183,21.719027287672485,0.1355340983782728,0.302294928652889,48,0.0147671566251605,0.9852328433748392,Expanded
5,4,4,53,Sec18_AA,0,Sec18_AA_Rep0,120.0,26892.799375,41661.43723214,26870.73,41674.25,-12.53611341,3.33642279,74.66252782767633,73.41486618334658,62.487595278567575,53.410026935225446,18.764455835272223,25.19443799014097,0.2703219037202454,0.3252520868068482,112,0.0057312501435503,0.9942687498564494,Expanded
6,4,4,54,Sec18_AA,0,Sec18_AA_Rep0,43.0,21152.85113636,49629.36454545,21173.24,49655.52,-10.26735634,5.4125554,72.22200646850432,72.22200646850432,67.32098023058099,51.09891509466642,16.296148301073295,26.14391466608128,0.2448339969507285,0.2182343455570166,44,0.0046703103993047,0.9953296896006952,Expanded
7,4,4,55,Sec18_AA,0,Sec18_AA_Rep0,42.0,20686.7923913,49838.24304348,20680.54,49801.51,-13.85645419,-8.37253714,65.55031364321617,65.55031364321617,61.83017022545761,49.5415770159717,16.560756292777903,22.95234012124411,0.3266523885342968,0.3315382321489878,46,0.0057643273947605,0.9942356726052396,Expanded
8,4,4,56,Sec18_AA,0,Sec18_AA_Rep0,73.0,34504.19694444,50655.61833333,34486.34,50684.68,-4.45886265,12.33703789,74.45999178030343,74.45999178030343,65.90849575625789,53.817212954832335,18.40920775034229,24.69245698662052,0.303056031387273,0.2034895755625469,72,0.0051349085324454,0.9948650914675546,Expanded
9,4,4,57,Sec18_AA,0,Sec18_AA_Rep0,104.0,24620.60097087,49229.87932039,24601.54,49248.24,-16.64495883,3.28071936,69.9218834087154,69.9218834087154,64.77315791595757,52.19338744274131,16.552096725568767,26.856133391966747,0.3391042914423279,0.1402389985028403,103,0.0047091944102216,0.9952908055897782,Expanded
10,4,4,58,Sec18_AA,0,Sec18_AA_Rep0,38.0,33073.57871795,55858.09461538,33071.8,55857.33,1.47250985,-8.47732709,65.78612540222453,65.78612540222453,65.93347372007483,47.77134996898729,13.957089580444691,24.068333463804617,0.209539489851152,0.1452976691842709,39,0.0056376888670894,0.9943623111329106,Expanded
11,4,4,59,Sec18_AA,0,Sec18_AA_Rep0,41.0,32658.6395,56204.4765,32642.96,56229.59,2.95715894,21.60080825,76.28435298206077,72.68253546003965,70.01668333331769,56.30826589754187,16.12150872998224,28.165462656589632,0.4130073308344505,0.16134425551028,40,0.0051663562601703,0.9948336437398294,Expanded
12,4,4,61,Sec18_AA,0,Sec18_AA_Rep0,78.0,24131.47407895,41898.39026316,24135.86,41918.42,-0.90746523,2.89009281,78.05692185053492,78.05692185053492,71.43699256221684,55.83717337044177,24.56306218124616,15.565859582197284,0.1218773910752731,0.2087951592181601,76,0.0570124660434003,0.9429875339565998,Expanded
13,4,4,62,Sec18_AA,0,Sec18_AA_Rep0,55.0,20302.33803922,60725.98745098,20300.63,60732.64,-8.74855812,-6.68645973,62.80349381105944,60.57896812704258,57.81990808792665,43.36710964851351,17.613809276226796,18.55297833387913,0.2944296855353391,0.0552113034617266,50,0.0141020601948042,0.985897939805196,Expanded
14,4,4,48,Sec18_AA,0,Sec18_AA_Rep0,65.0,22002.47015625,62478.32703125,22026.48,62502.25,5.90103977,8.65918066,69.31379703836849,63.4190700966818,74.58745004481857,45.04408610868523,20.14600771599318,11.04121288119253,0.2159052434668205,0.0872534801838912,63,0.1231481872284026,0.8768518127715972,Expanded
15,4,4,63,Sec18_AA,0,Sec18_AA_Rep0,49.0,31368.89909091,61985.54977273,31351.49,61994.98,4.92965761,6.78941925,69.11846520872655,65.93468036009622,56.04799480541835,47.83774468467159,17.30671985231731,20.268789878409,0.1183009854748703,0.2502153043377044,44,0.009539668125116,0.9904603318748838,Expanded
16,4,4,66,Sec18_AA,0,Sec18_AA_Rep0,47.0,37267.10302326,46638.81465116,37284.73,46658.59,4.30846445,-3.58913552,73.6984765212991,65.35435190548918,56.12108049117525,43.43750242179236,15.640800118704693,23.233679910112475,0.1249661398676129,0.2941386266697273,43,0.0080615271139597,0.9919384728860402,Expanded
17,4,4,67,Sec18_AA,0,Sec18_AA_Rep0,64.0,14791.80609375,50680.62984375,14778.7,50679.54,-2.51413333,-5.26930156,59.76634731954006,59.76634731954006,56.0959468310323,40.64966480823174,15.063423736456226,15.797392709516512,0.0221503960649022,0.0146540957279482,64,0.0724415330970548,0.9275584669029452,Expanded
18,4,4,68,Sec18_AA,0,Sec18_AA_Rep0,50.0,40199.30970588,55266.50676471,40247.32,55253.73,13.31667445,-5.00297667,69.99404925338918,56.237320610360754,50.51797219954505,40.20914891283794,11.439068852672497,20.09297499864676,0.4184118238425687,0.1271155100400448,33,0.0797905733488311,0.9202094266511688,Expanded
19,4,4,69,Sec18_AA,0,Sec18_AA_Rep0,89.0,17985.70613636,38720.86590909,17979.25,38737.94,21.45298556,-2.29523594,79.43769898156322,79.43769898156322,73.93834627695041,59.22394256862597,23.31796834637533,22.15410486693516,0.3414243867637406,0.0915522066584642,88,0.0282919468177042,0.9717080531822956,Expanded
