,File_ID,Site_ID,Label,N_Locs,R_Raw,R_2nd,R_PCA,R_w,GFP_Distance,Nt_Locs_Gr,PCA_Ratio,PCA_Theta,PCA_Center_X,PCA_Center_Y,GFP_Center_X,GFP_Center_Y,Mass_Center_X,Mass_Center_Y,Fill_Factor,Ratio_Var,Nexos,Inner_Radius,z1,z2,varX,varY,Mean_Angle,R_Tau,Sigma_Tau,Tau_Center_X,Tau_Center_Y,Tau_Shift,R_LM,Sigma_LM,LM_Center_X,LM_Center_Y,LM_Shift,Inner_Radius_Tau,z1_Tau,z2_Tau,varX_Tau,varY_Tau,Mean_Angle_Tau,Fill_Factor_Tau,Ratio_Var_Tau,Set
0,0,1,Wild_Type_Exo84,35,75.7807285926288,71.87060375563502,75.89125905697078,50.09473912309097,12.023391058931848,38.0,0.6909745492963938,1.0646301245991776,61085.738353307956,88182.72922700949,61067.5,88176.25,61081.84987912328,88171.35198212898,0.25,0.5735956704339807,2.9782798306635185,17.836919666072166,0.2021795874872247,0.31970458345546227,0.6095107100408962,0.3496127043625995,-2.202462518223483,54.986643348950444,22.323439838335602,2.5107650196751523,14.380904421300443,14.598436661458068,51.181626208229765,21.822322745945094,4.5098954891195815,15.30790172987199,15.95841510596209,18.476192557028117,0.4218760850371707,0.18558004341362264,0.5461746390432696,0.2758459298304401,-1.9880587068557096,0.25,0.5050507843308828,WT
1,0,2,Wild_Type_Exo84,61,89.15257416551057,89.15257416551057,93.2044846649591,66.04191199585921,35.918511794662,70.0,0.7337191800589793,1.4785691000479577,62030.296561104435,66388.76483813248,62031.56,66392.81,62027.96891788951,66424.60785093285,0.25,0.4656109133415968,5.020528857404217,24.752407690810003,0.16291900227062217,0.3391581399544221,0.6641990652755577,0.30925833342358733,-1.1397777349239557,60.67796652039328,21.72776418230883,-4.861486418217046,-21.747490571803368,22.28424098696622,55.814836738740986,20.93002645563327,-4.745170305182458,-8.892688840607375,10.07951169655794,29.139957909246476,0.206109092283295,0.40835765170097804,0.6921769823907117,0.26534205968744456,1.0247011757653397,0.5625,0.38334424061744876,WT
2,0,3,Wild_Type_Exo84,96,87.8463764286422,86.04929046637092,86.6482789517389,60.389592251978556,34.00628662831704,100.0,0.7530713261159456,0.6679710414059561,65578.19549367379,81926.214128824,65581.25,81905.62,65588.98987753857,81958.46174590227,0.3125,1.1967296137349364,8.083902397515264,10.061586985613275,0.12612032631709044,0.31307261575628953,0.44798124317925925,0.5361124201104115,-0.829246912526918,63.83433194663023,21.391163168006347,-12.741904898974473,-38.86414711291549,40.89960967135074,60.572309434368805,21.03928348513747,-11.465339189388509,-40.71269711743083,42.29630845952621,31.340487550248433,0.5338120000528209,0.17059130247684906,0.29676690157361296,0.4182778470259942,0.8558130421754586,0.5,1.409449115814691,WT
3,0,4,Wild_Type_Exo84,86,78.32812109249105,68.79081382667839,66.02199220400298,46.05068517481935,14.423789856845126,103.0,0.6771089636375043,-1.4009615160200988,65741.1879691534,78164.16308887512,65770.31,78174.69,65745.88116476608,78177.80199017895,0.375,0.7786205111332012,7.318059012487502,8.05945316964153,0.15315273808764523,0.12053736161282233,0.5490458659976195,0.42749837281863756,2.1077145336581062,54.31215666765813,19.611843809563776,-9.009466970561151,-30.67638860813287,31.972039552252784,47.6617401102593,19.160141527649042,-12.051586221420923,-24.43887612599397,27.248842117675768,26.364353653779258,0.5798533599876106,0.17727456633507666,0.43004158281003857,0.23372849810103988,1.4825108596769734,0.5625,0.5435020878069001,WT
4,0,5,Wild_Type_Exo84,55,75.69879341394072,73.32046937495045,71.0630547437451,51.996948504482845,12.625893107207125,53.0,0.5850134609782415,-1.5496541972623543,72543.9423868736,62137.20001923929,72525.94,62139.69,72556.513235165,62136.02233082996,0.3125,0.6910776754434114,4.6801540196141,14.57552991811523,0.2677451232192315,0.20300370704817836,0.5489473147641839,0.37936523422813484,2.598687548275533,52.81462549317798,21.92351821588153,-9.720742402364145,-10.935747298545778,14.63158917653074,50.651148551400915,21.047038226485345,-4.9881497247706195,-15.918238995800326,16.68148585720551,17.86840782028644,0.34199759812793856,0.10289846086429438,0.5325908438393372,0.3504467990353838,1.8889636278603439,0.5625,0.6580037998946533,WT
5,0,6,Wild_Type_Exo84,44,98.260307059186,98.260307059186,98.17352676970081,56.05921033959913,2.5770764888201407,50.0,0.866015419872088,-0.7717001833043349,74004.36812577111,58939.14902238633,74008.75,58924.06,74004.81806010805,58941.68651767138,0.125,0.8627841953885425,3.74412321569128,13.942768352970395,0.0822728848831477,0.4490583034914497,0.5331971222817008,0.4600340501313035,0.5422545831137302,458.4161240366223,25.882726633303434,316.4251479478225,-327.2875255896036,455.2383976120279,8074.627140049261,25.666055062044535,5778.700277584768,-5642.416959032573,8076.5243785762605,2.5375696795005305,0.9898630716156206,0.9598759369899276,0.009897473710804426,0.010273625740884501,2.3438909054711887,0.1875,1.0380048526594674,WT
6,0,7,Wild_Type_Exo84,35,81.73056101400711,74.15855673282815,67.9385634928916,47.08687887813817,16.714710996044573,45.0,0.7092885841268175,-1.2830421187363457,73832.74776347462,56566.276530279974,73869.69,56540.62,73823.60677230162,56580.27023758206,0.25,0.904376257633916,2.9782798306635185,20.575615466284667,0.024584287002522336,0.22399536349846325,0.5247889479961655,0.47460666483641195,0.18544937301800848,48.793328626801106,20.36078576582345,20.907468714936222,-2.543283021613755,21.06158912793775,45.38285964788958,19.670233262282345,19.07963313043844,-10.393790840902255,21.727017476785623,13.557730457914385,0.3463467064282436,0.3513342294934844,0.5535396655703266,0.3265042933759816,2.8358761530865033,0.1875,0.5898480518818385,WT
7,0,8,Wild_Type_Exo84,99,67.9302914346053,67.9302914346053,68.2243305065607,48.86173479309021,5.425953432020852,98.0,0.6165027228787847,-0.6398454510782154,79345.06508478797,64436.2413309808,79292.5,64447.19,79341.96363072323,64440.69351621176,0.6875,1.0117054574768334,8.42427723530538,14.764621022102828,0.05948731846563007,0.12706877401716338,0.4953315880504559,0.5011296708913129,3.0859575608863032,49.12022366204038,20.73735825392098,6.965589626288619,-0.3671735670577767,6.975260229568898,45.02557429844217,20.04531640063268,7.049023321664711,-5.614213376556878,9.011554895071281,14.006268448193827,0.16970277825894456,0.1267804164811254,0.48281836041072124,0.4883826066404741,3.0717924676102086,0.625,1.011524512499938,WT
8,0,9,Wild_Type_Exo84,153,94.23458456023113,94.23458456023113,94.47099269802379,64.71040418549485,13.268299665618372,151.0,0.6308948269361764,1.0658404435284894,80594.98798744433,63597.172944993705,80621.41,63588.59,80607.11947779669,63602.546465054824,0.9375,0.7640156504250667,12.934243836024422,23.14136039604326,0.0921908808065116,0.1955203833479586,0.5620703202135436,0.429430521282576,1.7488430463897282,66.9815804418118,25.345467418570394,-8.985742318485052,-7.408540815661269,11.646031170812316,64.6236282345225,23.92826666039539,-19.195327112399994,-12.43184802135968,22.869443110365037,28.27817742695146,0.2106275136648606,0.15616043032256602,0.5430569435718171,0.4125791069155417,1.183965700122078,0.875,0.759734521028143,WT
9,0,10,Wild_Type_Exo84,162,71.20331966617552,67.51423177070508,68.72813070058436,45.93335494091854,12.99076778970659,163.0,0.6373378084730049,0.6738847203165589,49731.1016510196,80700.93598570484,49740.62,80713.12,49738.54779146956,80711.58093944666,0.9375,1.132880109555895,13.529899802157125,10.564621697998527,0.09740329925271322,0.20781199635672878,0.46440144143916723,0.5261111558555193,0.5894915797110634,50.74907041648478,19.857431672913982,-12.378136398818821,-17.082599311451673,21.09581617153915,47.29626643992459,19.414359509955514,-14.868354323999215,-15.801922565606247,21.697205282556602,17.554834414604155,0.45205213602410216,0.07028600529697737,0.3713635511735884,0.42428531514245826,0.7951602540198287,0.8125,1.1425066186534079,WT
10,0,11,Wild_Type_Exo84,89,94.14981141259953,92.47275653485003,93.00839117561837,57.64126156672983,24.58696975677014,86.0,0.640276809726359,-0.5255166873496975,63285.302147909424,62235.411898499224,63280.0,62229.06,63305.39484786806,62221.24141896632,0.5,1.5338563301920587,7.48824643138256,16.15475626323684,0.08003554580834986,0.2666746247981125,0.3921273276499651,0.6014669837571944,1.1329592129511952,71.3457604910791,20.586555101482187,-38.570703374957255,12.072299190133702,40.41583311741874,68.12188405790484,20.279880271977724,-37.45821725374364,14.882683199066646,40.30647961596793,35.02344618637509,0.4597040746991549,0.07811979213508646,0.3243497452744858,0.4643224184305081,-0.16409112488652308,0.625,1.43154858357471,WT
11,0,12,Wild_Type_Exo84,43,69.02615330832947,65.04901996812511,63.91854900929315,49.877743269715324,9.602092699223848,47.0,0.5892219109629232,-0.7625082279754634,63620.02276294731,62786.81697747757,63651.88,62808.75,63618.31952394775,62777.36715413981,0.375,1.1308582664535485,3.573935796796222,17.700828254788043,0.2413785243887783,0.13279949891265133,0.441951688101366,0.49978471986253004,1.2710657756663624,44.901159774090516,18.88719621179087,-7.468416021016245,3.6413351060305805,8.308824177787303,42.07216748012428,18.23598852025245,-8.428105207203105,-0.8621656625530555,8.472088704290675,13.401902160542141,0.28096517920878583,0.2289616063143047,0.414114331476823,0.5069442365953519,0.6796335356551562,0.25,1.2241649179043792,WT
12,0,13,Wild_Type_Exo84,47,73.11542595689463,73.11542595689463,71.26536227905558,45.55967132443697,13.85518052676568,40.0,0.6228772069216649,-1.1288056770375499,69767.5569904371,86300.42118673134,69745.94,86301.88,69757.54406622413,86309.99758355555,0.3125,0.6554547822470408,3.999404344033867,15.58776697437262,0.23909686046777026,0.23554798031148116,0.5695309237227829,0.37330176759167266,-0.7569324614811147,52.889777920851046,24.016698469386334,-5.1346487473390106,-4.742440303498906,6.989660777949161,46.311388965183454,22.681851125149286,2.890456058370805,-1.7854265480826264,3.3974231682218705,16.574413266927557,0.24894656264032977,0.21025712568125032,0.5449721505928308,0.39305345835673366,-0.36959194767704234,0.125,0.7212358611888018,WT
13,0,14,Wild_Type_Exo84,59,75.98768965444204,71.99820293461094,70.40651766628366,51.8529407063156,14.650034308427147,56.0,0.6880091037306731,1.5628213918652663,74525.4808036394,63664.51366522634,74518.75,63682.81,74536.40637973708,63654.753783455955,0.625,0.486278690222683,5.020528857404217,22.78648523088995,0.19111000043387416,0.34506588920351916,0.6482478515451303,0.3152291161890342,2.409468182465489,50.059652898972544,17.972735648431556,-9.933402605556115,3.2436849335705693,10.449592301728414,47.79357770941381,17.403746107041286,-7.199456062724775,-3.7221646748884867,8.104731794827774,20.521870283328756,0.06473476304775597,0.4055519627490989,0.6952867986954172,0.30052261175773376,2.2791885085308907,0.5625,0.4322282723066385,WT
14,0,15,Wild_Type_Exo84,82,70.4357488096256,64.81769641040226,65.85862762957996,47.692591500214924,9.735890735130429,92.0,0.5616936440940283,-0.3102101847128299,55533.80924926936,79653.17515707127,55540.94,79653.75,55543.28362620987,79655.41652941774,0.75,0.9152417779517417,6.807496755802327,15.976860717238083,0.14186340394183772,0.08501082769912076,0.5116193610135028,0.4682554136085323,-1.515768836579972,45.54703919473517,16.91288980080374,5.7684649473099565,6.511055702957614,8.69879498639671,43.113529988217145,16.43008856417626,3.3634576999212284,9.55665772936574,10.131266192110706,19.737537070795206,0.2741437971018281,0.09213135804848235,0.4623701454810443,0.46247503302954734,-1.8644337330204428,0.8125,1.0002268475798624,WT
15,0,16,Wild_Type_Exo84,198,89.35039755889414,87.60814986855324,86.04288988012621,59.424632181166615,7.909660914889578,242.0,0.5583270958798034,1.2121580324189287,55966.41679316073,62603.48667884432,55950.62,62583.44,55972.876289669024,62598.92185238016,0.6875,0.640516279372084,16.76346076116323,20.004241980580183,0.17348508483800207,0.22105541405946194,0.5912181046505595,0.37868482068819176,2.4631510382069366,63.08491761022898,25.886228133362465,3.1110563319305715,-6.807236797779508,7.484460189050959,56.43287493922785,24.833124083077028,3.879998123678288,5.0391213129525605,6.359805739674741,21.127119676522533,0.2703411611842108,0.2152411774690402,0.5738014241475191,0.3531142324220534,2.226744244668181,0.75,0.6153944859001796,WT
16,0,17,Wild_Type_Exo84,159,82.34410572234661,75.73647829014966,74.63126416283063,48.09007300549159,16.40392907865981,175.0,0.6794904550904614,-0.6679022973573575,56235.62432764931,63288.859741714965,56213.12,63261.56,56228.808326542305,63303.78056669641,0.8125,0.8918228016524821,13.274618673814537,11.42439805724579,0.22592565777719908,0.1419305237893826,0.5016101911495294,0.4473474060084104,2.221151607927254,59.6847299246684,16.464833101060268,7.4961482556765135,-33.54979096738918,34.37703757781625,55.881392348988854,16.267880480145802,5.2511099702798925,-31.730157152088182,32.16173236652817,29.767371509776872,0.6068069508710234,0.26028671599299563,0.30767136073349727,0.32411396364111394,2.0037530194245687,0.625,1.053442097660364,WT
17,0,18,Wild_Type_Exo84,123,67.65211770681024,67.65211770681024,67.76593342954553,40.20326533670514,1.6432343179233873,124.0,0.6759443337915046,-0.819477904263729,57765.537516740296,63395.82954424538,57788.12,63381.88,57766.05499265714,63394.26991682222,0.75,0.8780370152198886,10.29633884315102,13.417188686214619,0.13428695886838712,0.2693586525042383,0.5228688277812816,0.4590981848965985,0.5963807756994512,48.37264526955845,20.314813935251095,1.3057549748744721,-11.340301220463273,11.415227891954247,45.797202244046396,19.68472917551783,1.9401781622106116,-16.47861938622269,16.592443707215438,16.66248095402403,0.30056572661554976,0.30140180050716353,0.4858778577726305,0.4237823862114361,1.4009111206162572,0.6875,0.8721994209700078,WT
18,0,19,Wild_Type_Exo84,47,70.39048895440672,57.65925234948897,55.44197388796871,40.13093793675235,1.8636569300335328,48.0,0.626866133080624,-1.0995524736651756,68670.27799191934,88059.2901832394,68664.38,88024.38,68668.60614384233,88058.46668997272,0.625,0.7503398492715891,3.999404344033867,16.28149095803721,0.24173871038376696,0.20060517129139938,0.537931188788182,0.4036312071138113,-0.8385456219050373,39.16118518725414,15.008360931582224,-0.4498362934429947,-6.701227445106643,6.716308655947033,37.288114075605506,14.266985029776846,-1.3111326757271844,0.42142095725366807,1.3771944367343791,18.54264143647912,0.1726737302059927,0.26136204994648404,0.568621810645793,0.401561972250955,-0.2565816009128567,0.4375,0.7062021975465461,WT
